AllCells	B Cells	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	0.767272094516785	0.394186725783749	0.8332813631055	0.956063898204995	NA	0.711809089618731
Cibersort-HPCA	0.904885524736554	0.684508851277215	0.921114032822924	0.992043193090601	0.909233556042059	0.968497599299695
Cibersort-ImmunoStates	0.953149444068487	0.955851928494535	0.968207705905275	0.987550544798447	0.877421414591712	0.985651655224478
Cibersort-LM22	0.96629812519563	0.958855819442275	0.980868072197496	0.993252941512619	0.948250184689156	0.988730504375216
Decon-BLUEPRINT	0.441435034020171	-0.74680965603446	0.916946649437555	NA	NA	0.845277760957223
Decon-HPCA	0.106525057009204	NA	0.939439156844901	0.633214978804078	0.751991566417011	0.972261284018999
Decon-ImmunoStates	0.871002066391761	0.881884343706005	0.870250844845339	0.901380156918393	0.711339315606596	0.983983591954258
Decon-LM22	0.91326745262483	0.868112873603865	0.857778977655782	0.792467337534483	0.888779102574813	0.985767165729133
dtangle-BLUEPRINT	0.544320252948601	0.810311224569103	0.885744403559279	0.6405646264821	0.891519983572431	0.977180033648668
dtangle-HPCA	0.516453707677965	-0.36428689850172	0.861189036870501	0.668444066214521	0.570252694320675	0.958128657460737
dtangle-ImmunoStates	0.578037946699122	0.663546059264979	0.791425473849746	0.737100677733569	0.581455459012017	0.988207516232296
dtangle-LM22	0.556759792980487	0.925033904436298	0.800527445351781	0.76959636837081	0.948179976982163	0.890005826584144
GEDIT-BLUEPRINT	0.943267402008844	0.979848907469256	0.98254082825879	0.960943747655868	0.975848068068689	0.990187921985198
GEDIT-HPCA	0.970391786885967	0.928896878074059	0.971550635465489	0.909268620416971	0.937320972499383	0.986834804605583
GEDIT-ImmunoStates	0.964440010146388	0.862518719340222	0.963427017921343	0.995043762722615	0.934847535759446	0.979432313971537
GEDIT-LM22	0.971536972702949	0.937333730587908	0.988888374687141	0.999152436331249	0.969467854060846	0.979016833459798
xCell-default	0.888340061349613	0.912821971897652	0.837269434829079	0.804211015261346	0.825638188386245	0.964744185326176
