AllCells	B Cells	Monocytes	NK	T Cells
Cibersort-BLUEPRINT	0.740019796141552	-0.296721672459043	0.665749368215653	NA	0.400538692518545
Cibersort-HPCA	0.765183165343147	0.272869030371672	0.915785888524046	0.922168353217888	0.738824889539703
Cibersort-ImmunoStates	0.787339060096173	0.863803086437612	0.858578041940667	0.97869999501787	0.935682512815541
Cibersort-LM22	0.612521330749799	0.804210832556439	0.817097274324781	0.988042213252837	0.918961370879871
Decon-BLUEPRINT	0.77856180872465	-0.0283763668406025	-0.544329793291723	NA	0.817935980429231
Decon-HPCA	0.540297455888081	0.595208818370762	0.843830047016175	0.513124724438922	0.469094022054351
Decon-ImmunoStates	-0.00398535777269099	0.733112466903937	0.711101815201082	-0.110266683488958	0.744776958659976
Decon-LM22	0.253027311605694	0.619023784500204	0.602010863882861	0.976021343593614	0.976855199480902
dtangle-BLUEPRINT	0.987842273277936	0.894654511745027	0.788004099184925	0.983183672838035	0.789418050905946
dtangle-HPCA	0.940852168012896	0.558676491628932	0.879258990265936	0.974182717364439	0.84221156654617
dtangle-ImmunoStates	0.419307600192051	0.590009539718261	0.713536581953112	0.94395832532138	0.93011709777427
dtangle-LM22	0.96173181551905	0.750716354104	0.813529435196955	0.979796709818697	0.921087762236486
GEDIT-BLUEPRINT	0.997571833518539	0.838293876776223	0.884738771556607	0.987829208894953	0.976059043146799
GEDIT-HPCA	0.872896518042643	0.838513136236646	0.898282202746298	0.987606414639125	0.98606614650969
GEDIT-ImmunoStates	0.836311997580223	0.904372391616422	0.914522580529416	0.983620879006502	0.973746354147539
GEDIT-LM22	0.800489268341851	0.631224961855465	0.892219778830953	0.987731469311227	0.963889925334752
xCell-default	0.0689443380412921	0.851556764901317	0.244852497218864	0.814552419909082	0.880642269419225
