AllCells	B Cells	Monocytes	NK	T Cells
Cibersort-BLUEPRINT	0.12577125	0.06188875	0.21515125	0.09875	0.127295
Cibersort-HPCA	0.110558125	0.0182475	0.25748375	0.07687125	0.08963
Cibersort-ImmunoStates	0.096871875	0.01316625	0.18091375	0.01061625	0.18279125
Cibersort-LM22	0.13809125	0.0308325	0.258995	0.05061125	0.21192625
Decon-BLUEPRINT	0.1229790625	0.06688875	0.27643	0.09875	0.0498475
Decon-HPCA	0.1552028125	0.1546725	0.15048125	0.05327375	0.26238375
Decon-ImmunoStates	0.2420775	0.09989625	0.418655	0.06111625	0.3886425
Decon-LM22	0.21817375	0.06330375	0.41431125	0.07713375	0.31794625
dtangle-BLUEPRINT	0.054638125	0.07614	0.01237625	0.03970625	0.09033
dtangle-HPCA	0.0862090625	0.04295125	0.06190375	0.04775	0.19223125
dtangle-ImmunoStates	0.16768125	0.03555625	0.29180875	0.0673025	0.2760575
dtangle-LM22	0.048634375	0.01842125	0.09350375	0.0207	0.0619125
GEDIT-BLUEPRINT	0.05515625	0.05935	0.0253375	0.040675	0.0952625
GEDIT-HPCA	0.08414375	0.0098125	0.146575	0.0249875	0.1552
GEDIT-ImmunoStates	0.088003125	0.0091	0.208525	0.0353	0.0990875
GEDIT-LM22	0.104990625	0.061275	0.2066	0.0203375	0.13175
xCell-default	0.221596875	0.0534875	0.1658375	0.0951625	0.5719
