Gene	HD30PBMC0	HD30PBMC1	HD30PBMC3	HD30PBMC7	HD31PBMC0	HD31PBMC1	HD31PBMC3	HD31PBMC7
RPS27	10799.76856	9540.205033	12897.67275	12319.93808	15757.41664	15734.14632	14867.40131	14054.67822
EEF1A1	10169.24121	8600.821215	10547.89043	10439.23969	10996.53567	12493.37992	11103.64147	10613.33722
B2M	10294.6882	10379.84537	10705.96082	9659.190186	11489.41916	11765.61933	9572.183531	9327.45503
TPT1	8843.153074	7832.582989	9811.161825	9591.760665	10229.29133	10396.1601	9840.76106	9864.787573
RPL41	6363.333648	6281.271145	7335.912807	7450.798394	8271.097034	8216.470824	7594.147158	7793.827399
S100A9	6070.040193	7767.79618	5668.431446	4981.190062	9487.815718	7679.700455	8874.76072	7954.137154
LYZ	7640.366102	7632.913692	6476.848119	5192.570554	7581.468149	7472.642411	7779.654142	7470.778529
RPS29	5395.786605	5605.967244	7123.413271	7389.213376	7534.264468	7552.879213	7037.192187	7514.574237
ACTB	6465.198921	7820.749185	6133.854738	5893.274724	6206.855591	5715.568332	6195.861288	5898.055278
HLA-B	6646.346696	7560.012498	6213.356441	6907.435921	5292.235808	5290.703987	4807.443458	5265.637121
RPLP1	5377.571594	5536.861834	6118.963107	6451.051507	6114.267746	5680.882187	5713.271	5877.875439
RPS12	4878.891647	4729.568328	6052.964887	5913.158551	5986.452765	6041.349448	5777.766593	6194.577481
RPLP2	4331.477315	4267.741292	4989.317119	5011.176342	5798.781491	5455.55312	5378.553105	5753.529153
RPS6	4585.521139	3790.675515	5114.201412	4896.252919	5446.21874	5604.315919	5286.67167	5417.498234
RPS18	5358.441881	5559.598824	6535.506683	7098.702454	3506.449519	3402.831421	3276.851889	3539.747581
RPL21	4266.225768	3345.177638	4809.08201	4458.352617	5651.163227	5544.722199	5065.186984	4937.831222
RPL31	3943.013887	3767.999438	4421.040861	4495.235024	4995.850377	5563.189537	5027.106772	5309.518893
RPL11	4017.135729	3694.896282	4271.341681	4511.215532	4993.834071	4974.782028	4829.681823	4724.827651
S100A8	3776.748307	4263.327447	3495.842745	2616.607658	5906.878135	5215.751754	5509.635222	5225.297083
RPS11	4317.492324	4302.97719	4745.988446	4766.955888	4684.210053	4438.869595	4221.749416	4461.933917
RPS15A	3526.677487	3491.778981	4267.881188	4381.319401	5147.533476	5010.302396	4840.098187	4848.752709
RPL30	3742.439449	3492.336989	4218.092567	4395.432018	4965.60429	4818.205363	4752.786266	4790.514999
RPL13A	4010.11403	3773.645211	4387.861684	4391.248622	4469.710077	4606.963105	4441.282139	4796.065181
RPS17	3747.497325	3463.219612	4464.547281	4371.094875	4848.572545	4730.311978	4402.965418	4801.084571
RPL39	3418.214663	3137.499414	4230.52602	4085.526463	5439.533976	5171.138649	4655.42966	4544.285456
CD74	4596.411288	6003.290453	3935.612687	4375.267814	4014.954649	4314.412112	3582.526865	3668.919658
RPS25	3831.319868	3212.42012	4413.146399	4081.344142	5023.381245	4789.773085	4546.697082	4565.449266
FTL	4748.491067	5130.954037	4079.089429	3738.452081	4197.21569	4021.288138	4059.121603	4084.136748
TMSB10	3842.340796	4362.033413	4145.379573	3817.049207	4539.943302	4054.036328	4042.849452	4120.636932
RPL19	3747.565896	3643.971832	4156.461332	4244.788769	4133.240178	4256.933912	4247.02491	4428.13445
RPL37A	3611.395761	3545.641593	4181.124563	4017.748803	4551.22257	4366.869509	4086.557484	4412.056261
RPL18A	3652.609307	3890.821607	4137.774731	4132.144318	4188.095016	4061.006761	4173.697725	4511.358802
RPS3A	3644.517094	3142.617658	4163.079408	4031.864054	4117.998811	4432.229237	4078.455487	4128.573769
HBB	2095.946569	3564.659771	3056.613938	4343.76743	3819.97622	2732.923337	6393.959252	5333.989945
RPS2	3287.159827	3721.330475	3658.186836	3933.324306	4179.151184	4063.072659	4079.82543	4418.850166
RPL13	3205.473618	3643.29396	3732.840323	4104.091907	4067.704302	3944.857894	4096.362003	4506.852763
RPS8	3397.760468	3219.595818	3790.463806	3892.099911	4112.32699	4351.20794	4160.192314	4195.134941
HLA-C	4315.68036	5326.775727	4159.28149	4311.007694	2989.803007	3327.905877	2944.169326	3150.996354
RPL3	3531.322734	3416.616568	3777.111599	4227.980827	3519.687089	3703.714278	3698.658628	4016.844478
RPS14	3159.518836	3322.627469	3862.399058	3843.379586	3733.929109	3832.144537	3680.227403	3993.499137
RPL26	3103.544547	3002.032324	3426.357409	3430.242318	3857.041406	3882.460938	3708.648945	3514.42582
RPL9	2983.183384	2572.410886	3435.403849	3216.080156	3941.141215	3972.300444	3858.309087	3777.298961
RPL27	2721.554634	2758.96851	3246.01963	3192.886265	3608.428039	3641.365406	3330.861055	3716.838644
RPS3	2865.012732	2893.693259	3304.964214	3470.652893	3289.739816	3283.872955	3255.974346	3596.592447
RPS28	2721.138018	3042.816882	3135.614007	3231.755389	3440.217119	3193.929306	3401.34243	3787.845031
RPS27A	2808.452224	2377.528009	3325.245899	3151.122558	3288.143021	3741.63975	3252.438615	3295.879402
RPL38	2578.273613	2396.171423	2959.640931	2940.128481	3594.083859	3304.643233	3206.754717	3151.91609
RPL17	2610.822576	2438.915509	2855.025325	2853.553278	3403.559249	3437.567737	3173.682664	3280.190212
RPS16	2446.823739	2603.313293	2845.814438	2937.706016	3361.418725	3149.804599	2949.287118	3204.542377
RPL23	2718.695173	2562.192933	3005.358994	2956.872332	3111.838105	3056.962616	2910.482719	2869.570673
RPL35A	2489.574281	2139.310083	2839.202045	2706.577462	3355.047307	3374.098994	3093.844434	3181.831246
RPS4X	2085.19611	1976.725366	2289.700556	2440.487203	3488.625736	3576.826147	3461.240354	3597.043705
RPL4	2785.2798	2363.585051	2902.431298	2816.058741	2767.04747	3025.689787	2948.644154	3119.427968
RPS24	2506.872823	2306.344936	2658.398819	2613.001526	3317.991069	3289.000651	3000.058888	2841.940556
RPS13	2408.866779	2221.050453	2871.030334	2571.665042	2946.18744	3152.305198	2857.0253	2974.696298
RPL10	2491.651952	2538.520271	2686.977432	3015.705106	2624.001611	2925.293595	2714.15292	2934.034854
RPS10	2259.047821	2322.012293	2606.49729	2583.078641	3083.198333	3026.931131	2952.988161	3068.977711
RPL7	2488.455176	2097.718924	2613.491348	2561.107986	3060.291224	3192.806175	2968.2096	2902.430417
RPS9	2912.222	2979.039852	3032.125262	3151.6554	2574.952035	2399.737438	2232.24397	2489.074716
RPL8	2350.793924	2502.049351	2476.593308	2719.046762	3011.438164	2812.002557	2802.612595	3049.900964
RPL36A	2345.077736	2032.980912	2441.877306	2644.099253	3253.592141	2967.206351	2990.18211	2721.278576
RPL12	2300.717848	2245.533028	2583.000019	2635.912687	2941.628009	2923.839495	2761.419642	2901.125937
RPL7A	2510.194195	2395.602973	2709.440873	2779.926123	2687.027354	2697.049241	2600.987463	2777.519534
PFN1	2643.324002	3344.094521	2621.112314	2840.187355	2443.723369	2199.141965	2515.37345	2526.203393
RPL18	2318.151625	2469.686575	2586.592896	2679.046354	2718.979971	2650.555778	2678.171448	2929.913036
