Mixture	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE
A	0.114834961333525	0.185678153287475	0.125822943079072	0.195963913740697	0	0.147018481343607	0	0.0145613955302661	0	0.0167324238423978	0	0	0	0.0872243182099128	0	0	0.0864786060681149	0	0.0256848035649323	0	9999	0.595713307638366	0.802108248678169
B	0.144853293858869	0.133866222646447	0.176139690890251	0.21660173176775	0	0.13214430048548	0	0.00849258584904462	0.0249954183436542	0	0.00206332249596609	0	0	0.0614552203336704	0	0.00211085610929873	0.0769905661685863	0.00309849358054568	0.014622861122881	0.0025654363475555	9999	0.589426698060536	0.807257918524367
C	0.00190816740334558	0.0350006624151514	0.599294455113337	0.200406450459565	0	0.0953935986676523	0	0.00579978271534899	0	0.00332510606179474	0.0113557105930315	0	0	0.00791459560081819	0	0.00951954042576506	0.0051475890777788	0.000461541345752128	0.00441346520566407	0.0200593349149955	9999	0.501276754663865	0.868001778421432
D	0.00445146125866142	0.0327117687561904	0.57148758596651	0.212295248467977	0	0.100242158920751	0	0.00682851465313322	0.00206852341784621	0	0.00899152131002872	0	0	0.0123983261488124	0	0.0185420680183994	0.00827606339284999	0	0.00448458169679751	0.0172221779920425	9999	0.587833863357999	0.820776989678665
E	0.0378423399146791	0.0581601384093796	0.135523230748924	0.277605284663884	0	0.355708664178614	0	0.00951915144884309	0.00667490751248973	0	0.0116820894480099	0	0	0.0394559610374566	0	0.0118880163548863	0.0167393845108308	0	0.0027794362651588	0.0364213955068445	9999	0.51374100946099	0.858207079768863
F	0	0.123733978190691	0.070036924107633	0.592819232585072	0	0.0513856240262528	0.00170376236788948	0.0204577267740968	0.0189937091254595	0	0.0019425352432006	0	0	0.0373014540472183	0	0.043872070890655	0.0136979857183284	0.00710960430540098	0.00915399277346316	0.00779139984463921	9999	0.489748097952491	0.873660395652721
G	0.211693081556107	0.216709837048918	0.0439485729935508	0	0	0.0682094770432393	0	0.016703131697874	0.0551656124485809	0.00189990248470492	0	0	0	0.0955529324189201	0	0	0.0913241709074074	0.120974274188944	0.0382227971679956	0.0395962100437589	9999	0.644098663061639	0.769035646069223
H	0.388908419419242	0.25980435034544	0.0650386813530331	0	0	0.0660457004260173	0	0.0179350533617406	0.0324898147218114	0	0	0	0.00149854151324268	0.053929190633025	0	0	0.060586087316176	0	0.0338662160976644	0.0198979448126077	9999	0.748826596314572	0.678587333982174
I	0.379935212243721	0.259699598506168	0.0626195020448193	0	0	0.0660873684943347	0	0.0156104925490991	0.0364965111748835	0	0	0	0.00782034802702173	0.0563488256474976	0	0	0.0705594535473106	0	0.0322729856367573	0.0125497021283872	9999	0.758409860989917	0.66584672099343
J	0	0.0105630235949769	0.758947637776256	0.113587251556539	0	0	0.00585761748024763	0.00443556421123586	0	0	0.00846707968003725	0.000172275776691711	0.00442279613033273	0	0.0159350538814876	0.0357383638273074	0	0	0.00903121483072268	0.032842121254166	9999	0.656485075196833	0.782749059626094
K	0	0.0289328251169518	0.251248651731545	0.175000789404395	0	0.460659409567569	0	0.000619682194239846	0	0.00196381676870135	0.0191067576264151	0	0	0.00903624120388298	0.00636319420247078	0.0229010316197148	0	0.0075961763422224	0.0123695077592578	0.00420191646263366	9999	0.705853839820303	0.722586010587229
L	0	0.0257518360273825	0.720675722153499	0.109466760640848	0	0	0	0.0158866285244929	0.00919242646814311	0.0239617476449478	0.0107446232119343	0	0.00512185824742208	0	0.0217016921382983	0.016885500237776	0	0.0116501565454442	0.00572275300483605	0.0232382951549752	9999	0.549909786017958	0.841388798373194
