Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
A	0.0681568404569637	0	0.00650674922709352	0.28107506935925	0.0535091345082111	0	0.0366644775593478	0.0050664799465581	0	0	0.136193796543749	0.0488106211854107	0.319055650934861	0	0	0.0193295297870521	0	0.00166696963299938	0.00386429523782181	0	0	0.0201003856206813	9999	0.703444743238599	0.726955349581724
B	0.0879694775676556	0	0	0.26181898412229	0.0332974978129899	0	0.0163669000642127	0.00602853790796676	0.026696643759636	0	0.143223958013322	0.0703642942325009	0.308751694204117	0	0	0.0350067588246386	0	0.0104752534906698	0	0	0	0	9999	0.700179141213659	0.728344655444833
C	0.0150977716281396	0.00239079448199261	0.00949438930843364	0.276516214359861	0.137592281081115	0.258236745160456	0.047078122593445	0.00692341116405809	0.0614986547311406	0.0350665187431349	0.0743536106025429	0.0113136912547882	0.0538195347664373	0	0	0.00790900396356071	0	0	0.00270925616089466	0	0	0	9999	0.754554918263998	0.667747051818588
D	0.0210199481548668	0	0.00843498548180113	0.316402813465286	0.15465698529087	0.210835217083277	0.0468360322133985	0	0.0746656447369937	0.0248329519582916	0.0791877314392655	0.00144460249142358	0.0590718553517172	0	0	0.00247753746103603	0	0	0.000133694871773736	0	0	0	9999	0.76864130272591	0.653430595525479
E	0.0106598682506872	0	0.0029071208799942	0.52814252353669	0.0688147472977243	0	0.028574619447494	0.00264702153791511	0	0.0822383528091033	0.100044864018898	0.0713438139364516	0.0941030605258392	0.00029757890057673	0	0	0	0	2.6037476867325e-05	0	0	0.0102003913817586	9999	0.786906452970103	0.621163857145106
F	0.0234919992897417	0	0	0.177780252133198	0	0.00656235429486846	0.0173195349620557	0.00173809348133936	0.00495607529338767	0	0.573567773571978	0.00684256611767891	0.137692053899628	0	0	0.019972801235819	0	0	0.0300764957203052	0	0	0	9999	0.80414936930729	0.594797512694133
G	0.0591747430360493	0.0242116234720322	0	0.0889376226614704	0.0344436999481954	0.02114787093012	0.0100346196637839	0	0.00459364899575229	0	0.123364792328586	0	0.423131492477266	0.0203804242592902	0	0.0246160046534584	0	0	0.00645682637828013	0	0	0.159506631195715	9999	0.669683679131902	0.747401158032014
H	0.0425074420970726	0.0119629446843243	0	0.0670972476558184	0.0106853294978705	0.0470254378842404	0	0	0.00126439708261431	0	0.0158724423060904	0.0162498083004801	0.749009467336334	0.000144796873896812	0.0021632508894826	0.0349182973949894	0	0	0.000554381944542712	0	0.000544756052243406	0	9999	0.637129683800574	0.771459460455033
I	0.048838818741721	0	0	0.0558920750494333	0.00212662181687329	0.0566246606690712	0.00191475737124922	0.000991327564070547	0	0	0.0371905740164969	0	0.739811208544805	0	0.00344913279284529	0.0531608234334345	0	0	0	0	0	0	9999	0.687509330768045	0.726029040406753
J	0.012050611452854	0.0114581859198317	0.0103375828072779	0.0325565390090441	0.230333840810303	0.519797434105543	0	0.00188802884137981	0.0919005356599759	0	0.0526187370874338	0.016699352429478	0	0	0	0	0	0	0.010704563799401	0	0.00965458807747795	0	9999	0.745255366083642	0.672746453695925
K	0.00448797162636678	0.00285063927293144	0.0106537878036457	0.755871406622388	0.0297490211375485	0	0.0479774503360662	0	0	0	0.103425868395411	0.0323404798425338	0	0.000669773417590422	0	0	0	0	0.0119736015455177	0	0	0	9999	0.794520769211958	0.607247718613434
L	0	0.00098289292926473	0	0.0239140936300445	0.087177199374457	0.533868223826892	0	0.000708534599327204	0.104697580090751	0.000327604962496317	0.188554863995551	0	0.0444697346988803	0	0	0	0	0	0.00402844280862234	0.0103500835227045	0.000920745561008169	0	9999	0.738086310267964	0.682096101290055
