Epithelial.Cell.Airway,Canonical.Epithelial.Cell,Epithelial.Cell.Placental,placental.pericyte,pulmonary.artery.endothelial.cell,vein.endothelial.cell,Glomerular.Endothelial.Cell,articular.chondrocyte.of.knee.joint,Canonical.Endothelial,hair.follicular.keratinocyte,Cardiac.Fibroblast,mononuclear.cell,myometrial.cell,kidney.epithelial.cell,subcutaneous.preadipocyte,Osteoblast,epithelial.cell.of.umbilical.artery,bronchus.fibroblast.of.lung,Smooth.Muscle,hair.follicle.dermal.papilla.cell,thoracic.aorta.endothelial.cell,epithelial.cell.of.proximal.tubule,Endometrial.or.Mammary.Endothelial,Skeletal.Muscle.Myoblast,skeletal.muscle.satellite.cell,Melanocyte,mesenchymal.stem.cell.of.Whartons.jelly,fibroblast.of.villous.mesenchyme
A,0,0,0,0,0,0,0.19370933231598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755310883616626,0.358434693776434,0,0.372324885545997,0,0,0
B,0,0,0,0,0,0,0.187822007480477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784672502521387,0.364036680989374,0,0.369674061278033,0,0,0
C,0,0,0,0,0,0,0.239581750797476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805237956375211,0.297781254457425,0,0.382113199107489,0,0,0
D,0,0,0,0,0,0,0.231580837826252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888919035174956,0.299842993423283,0,0.379684265233104,0,0,0
E,0,0,0,0,0,0,0.221841041453115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849766549952317,0.315842771558551,0,0.377339531993351,0,0,0
F,0,0,0,0,0,0,0.212912832041463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813810479020338,0.332012526716439,0,0.373693593339982,0,0,0
G,0,0,0,0,0,0,0.167481634517416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0928678857269355,0.381110246434891,0,0.358540233320725,0,0,0
H,0,0,0,0,0,0,0.16117576005343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825064694124209,0.391282096848362,0,0.365035673685666,0,0,0
I,0,0,0,0,0,0,0.164527136316842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783862846670068,0.386468922880811,0,0.370617656135466,0,0,0
J,0,0,0,0,0,0,0.246619122113208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903974001905759,0.280661750197152,0,0.382321727499234,0,0,0
K,0,0,0,0,0,0,0.227565261333526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105347482783309,0.303635456614633,0,0.363451799268726,0,0,0
L,0,0,0,0,0,0,0.218618597967173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900673314334702,0.309494477245532,0,0.381819593353868,0,0,0
