CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell
A,0.250914509478031,0,0.172231412551873,0.230204866467029,0,0.0507212280411203,0,0,0,0.017248044641518,0,0,0.00334413157820475,0.0121532564649822,0,0.052415068608254,0.0774849439991579,0.109746477593521,0.0235360605763087,0
B,0.24643199820814,0,0.18282959400227,0.227335679023223,0,0.0489103499888224,0,0,0,0.00981932128572487,0,0,0.0116069252457061,0,0,0.0386042601846432,0.0870320113787792,0.12228718606342,0.025142674619271,0
C,0.120599960133263,0,0.413323822875285,0.249682173483371,0,0.0278724525635873,0.0678651164492604,0,0,0.0130694810284604,0.00621578704294169,0,0.00420491310763066,0,0,0,0.0224628414808983,0.0333224958042835,0.0234846569454539,0.0178962990855638
D,0.125116103394859,0,0.402999643029806,0.256393516593105,0,0.0268154794168391,0.0606170364128657,0,0,0.0244140602503824,0,0,0,0,0,0,0.0356377454688769,0.0298865436163059,0.022591572552604,0.0155282992643557
E,0.169736879798902,0,0.229237901834765,0.301226416740656,0,0.119847667421274,0,0,0,0.019396284119849,0.0287279549192334,0,0.00200349147604084,0,0,0.0327425051030263,0.0205492984586513,0.0548688888306987,0.0216627112969028,0
F,0.157620512071506,0.0185861020102273,0.0595805306208726,0.422334945118527,0,0.0241538427297292,0,0.00548521897895456,0,0.0168253546457523,0,0,0,0,0,0.105723125227067,0.051602282460722,0.102197188022288,0.0358908981143535,0
G,0.209074042793743,0,0.131516382229893,0.132815700949259,0,0.0016706843019372,0,0,0,0.00248467199169602,0,0,0.00331647931768012,0.0329269307819103,0,0.0533293630169009,0.0856687824672052,0.320531920561161,0.0266650415886153,0
H,0.373213802179288,0,0.10810212370958,0.126508934955591,0,0,0,0.00546865195789265,0,0.0282890759311056,0,0,0.0186270249102123,0.0523908446057164,0,0.11274845648558,0.0705934352856091,0.0883981514523315,0.0156594985270918,0
I,0.378067964836697,0,0.120187593000302,0.120533839437017,0,0,0,0,0,0.0192812283470826,0,0,0.0195987774118078,0.0370052271004301,0,0.121686944518141,0.069255824277671,0.0959416992455029,0.0184409018253475,0
J,0.00106046400611373,0,0.506572879703531,0.185184304700751,0,0,0.0964900171623206,0.00313581279407244,0,0.0273643670030917,0,0,0.0189824649296669,0,0.0218023819233048,0,0.0180361857606518,0,0.0386699282613215,0.0827011937551735
K,0,0,0.258159446481894,0.326979560280454,0,0.144846715607482,0.0611892484287706,0,0,0.0348812516431344,0.0657875189045767,0,0,0,0,0,0.0416887217622743,0,0.0347137185910756,0.0317538183003381
L,0.0665649931018474,0,0.472320377467939,0.140316080781528,0,0,0.0639646205548678,0.0564329899732332,0.0391871192354694,0.045605570099062,0.0226806591531822,0,0.00707130055358656,0,0,0,0,0.0314041982663661,0.0246450498612279,0.0298070409516908
