B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
A,0.114495772784528,0,0.0322189396346308,0.167170386895179,0,0.0967767338950075,0,0.0555483069524131,0,0,0.19623866285738,0,0.200396840448735,0,0,0.0380592343399005,0,0,0,0,0.000405747502820075,0.0986893746894054
B,0.110238943567965,0.00925253189952738,0.037450104689066,0.163787151152058,0,0.120669459847366,0,0.0314906895415928,0,0,0.189041430401406,0,0.200338992433181,0,0,0.037468925853617,0,0,0,0,0,0.100261770614221
C,0.0585993989866832,0,0.0515358806109669,0.179604092956989,0,0.205278048739341,0.0115029824261924,0.096146206332215,0.0592562159143336,0,0.173814319136296,0,0.110650741373008,0,0,0,0,0,0.00247625682660148,0,0.0259092118321743,0.0252266448651991
D,0.0594807064758829,0,0.0552956205075167,0.179534737775356,0,0.204602926436878,0.0191531727402694,0.0897989557138403,0.0523929726426016,0,0.179957301147339,0,0.108749522284107,0,0,0,0,0,0.00273277685422683,0,0.0284713031334782,0.0198300042885037
E,0.0528397781530663,0,0.0439817145242543,0.299460192934665,0,0.0831923852080716,0.00510088016241716,0.0792974801075007,0.0236733912296029,0,0.203615790928659,0,0.145529039640018,0,0,0,0,0,0,0,0,0.0633093471117448
F,0.067835584811152,0,0.0355231313420491,0.139796896868934,0,0.0875529877621191,0,0.0259715435351075,0,0,0.381208126654362,0,0.153629001038249,0,0,0.0207676480842347,0,0,0,0,0,0.0877150799037938
G,0.104441167418447,0.0155799652770819,0.0213940268771712,0.0630345529854436,0,0.114175454028633,0,0.0139610202884323,0,0,0.164643107157347,0,0.193272521365615,0,0,0.0701516067833817,0,0,0.000931143820713139,0,0.0137993074245927,0.22461612657314
H,0.0854807371534863,0.0246815498396398,0.0170169384907453,0.0671397730408916,0,0.0986786714176613,0,0.0285582406138794,0,0,0.0876057282542058,0,0.302954535582891,0,0.0429861808736551,0.0966544807570005,0.0174089416127288,0,0,0,0.02990862937944,0.100925592983776
I,0.0750609884773136,0.0298611749615085,0.0257424348806636,0.0661430491414741,0,0.118279460126776,0,0.0057173307190822,0,0,0.084943937632711,0,0.303027433793667,0,0.0545774675054481,0.106035008201972,0.0118089518167558,0,0,0,0.02326822774623,0.0955345349963985
J,0.0734372358190823,0,0.0814181853166302,0.0800934333539652,0.00690085848005598,0.298524320727035,0.0231916568391712,0.0911183673603794,0.0791283293987548,0,0.164714060602083,0,0,0,0,0.0085991361899093,0,0,0.0361505334687823,0,0.0567238824441514,0
K,0.0718690595687979,0,0.0985493122884655,0.343350645114255,0,0.107371621961703,0.0430637382267558,0.0653420789370565,0.0329908153719504,0,0.184829784888956,0,0,0,0,0,0,0,0.025488771085716,0,0.0271441725563443,0
L,0,0.0158158022010763,0.0309281808525507,0.0628146390068163,0,0.311012900488806,0.00430371413198567,0.0967516843323657,0.0616094234974313,0,0.179816423165455,0,0.074027576432339,0,0,0,0,0,0.0840417448440018,0,0.0788779110471722,0
