CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
A	0.0854	0.1642	0.1032	0.1511	0.1338	0.0913	0.0423	0.1701	0.0586
B	0.1237	0.1654	0.1002	0.1412	0.0978	0.1147	0.0496	0.1486	0.0589
C	0.2122	0.0465	0.0905	0.0848	0.0766	0.0402	0.0481	0.266	0.1349
D	0.1989	0.0444	0.0968	0.0879	0.0878	0.0257	0.057	0.2824	0.119
E	0.1441	0.0635	0.0881	0.1355	0.0802	0.04	0.04	0.1465	0.2621
F	0.0735	0.0991	0.0942	0.4029	0.0954	0.0407	0.051	0.0836	0.0596
G	0.0576	0.2172	0.2379	0.0845	0.1287	0.0876	0.0589	0.102	0.0255
H	0.0363	0.3997	0.1086	0.0687	0.0948	0.0596	0.0673	0.1354	0.0297
I	0.0466	0.4087	0.1099	0.0628	0.1164	0.0543	0.0614	0.1322	0.0076
J	0.2159	0.0272	0.1102	0.0388	0.099	0.0046	0.0704	0.3351	0.0989
K	0.189	0.0344	0.0753	0.0983	0.0767	0.0431	0.0524	0.1523	0.2785
L	0.1024	0.0488	0.1164	0.0608	0.0909	0.0068	0.0506	0.428	0.0953
