Epithelial.Cell.Airway	Canonical.Epithelial.Cell	Epithelial.Cell.Placental	placental.pericyte	pulmonary.artery.endothelial.cell	vein.endothelial.cell	Glomerular.Endothelial.Cell	articular.chondrocyte.of.knee.joint	Canonical.Endothelial	hair.follicular.keratinocyte	Cardiac.Fibroblast	mononuclear.cell	myometrial.cell	kidney.epithelial.cell	subcutaneous.preadipocyte	Osteoblast	epithelial.cell.of.umbilical.artery	bronchus.fibroblast.of.lung	Smooth.Muscle	hair.follicle.dermal.papilla.cell	thoracic.aorta.endothelial.cell	epithelial.cell.of.proximal.tubule	Endometrial.or.Mammary.Endothelial	Skeletal.Muscle.Myoblast	skeletal.muscle.satellite.cell	Melanocyte	mesenchymal.stem.cell.of.Whartons.jelly	fibroblast.of.villous.mesenchyme
A	0.0128	0.0015	0.0322	0	0	0	0.0255	0	0.0608	0.0294	0.0239	0.4924	0.0776	0.0526	0	0	0	0	0	0.0147	0	0.0208	0.0333	0.0612	0	0.0486	0.0129	0
B	0.0251	0.0199	0.0074	0	0	0	0.0422	0.012	0.0505	0.042	0.0197	0.4895	0.015	0.0474	0	0	0	0.0346	0.0125	0.0248	0	0.0299	0.0027	0.0584	0	0.0329	0.0336	0
C	0.0047	0.0375	0.0208	0	0	0	0.0234	0	0.0883	0.0491	0.0252	0.4541	0.0355	0.0396	0	0	0	0.0386	0.0204	0.0191	0	0.0112	2e-04	0.0591	0	0.0399	0.0332	0
D	0.0125	0.026	0.0421	0	0	0	0.0074	0.0176	0.0945	0.0342	0.0168	0.4368	0.0388	0.0322	0	0	0	0.0379	0.0031	0.0214	0	0.0292	0.0292	0.0396	0	0.0522	0.0283	0
E	0	0.0463	0.0217	0	0	0	0.0253	0.0157	0.0565	0.0416	0.0453	0.4588	0.0387	0.037	0	0	0	0.0351	0.0127	0	0	0.0186	0.0458	0.0439	0	0.0354	0.0214	0
F	0	0.0072	0.032	0	0	0	0	0.0041	0.0496	0.048	0.0176	0.4538	0.0573	0.0618	0	0	0	0.0208	0.0419	0.0159	0	0.022	0.0601	0.0664	0	0.0295	0.012	0
G	0.0213	0.0249	0.0066	0.0082	0	0	0.0496	0.002	0.0235	0.04	0.0432	0.5073	0.0184	0.0347	0	0	0	0.0185	0	0	0	0.0014	0.0622	0.0661	0	0.0315	0.0405	0
H	0.0205	0	0.02	0	0	0	0.0229	0	0.0361	0.0213	0.0309	0.5001	0.0276	0.046	0	0	0	0	0	0.0316	0	0.0281	0.06	0.0622	0.0022	0.0569	0.0336	0
I	0.0202	0.011	0.0098	0.0107	0	0	0.0307	0	0.0188	0.033	0.0106	0.502	0.0194	0.0231	0	0	0	0.0133	0.0275	0.019	0	0.0283	0.0823	0.0652	0	0.0447	0.0304	0
J	0.0151	0.0638	0.0318	0	0	0	0.0247	0.001	0.1007	0.0198	0.0272	0.418	0.0585	0.0379	0	0	0	0.0362	0.035	0.0022	0	0.0163	0	0.0556	0	0.0303	0.0261	0
K	0	0.05	0.0231	0	0	0	0.0413	0.0085	0.0729	0.038	0.0278	0.4542	0.0609	0.0528	0	0	0	0.0838	0.0017	0.0033	0	0	0	0.0351	0	0.0257	0.0211	0
L	0	0.0367	0.0258	0	0	0	0.0253	0	0.0786	0.0535	0.0084	0.4474	0.085	0.0376	0	0	0	0	0.0372	0	0	0.0288	0.0325	0.0314	0	0.0215	0.0503	0
