CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
A	0.1375	0.143	0.2226	0.071	0	0.0544	0	0.104	0	0	0	0	0.0608	0.0367	0	0.0666	0.1034	0	0	0
B	0.1417	0.149	0.1881	0.075	0	0.0852	0	0.0958	0	0	0	0	0.0652	0.037	0.0115	0.046	0.1055	0	0	0
C	0	0.0469	0.6049	0.0266	0	0.1062	0	0.1102	0	0	0	0	0.0176	0.0419	0	0.0349	0.0108	0	0	0
D	0	0.0533	0.612	0.0228	0	0.085	0	0.1206	0	0	0	0	0.0294	0.0074	0	0.0695	0	0	0	0
E	0	0.0828	0.1675	0.1405	0	0.3483	0	0.095	0	0	0	0	0.041	0	0.0221	0.08	0.0127	0	0	0.0102
F	0	0.1721	0	0.4107	0	0.1396	0	0.108	0	0	0	0	0.0139	0.0504	0.0196	0.0333	0.0439	0	0.0085	0
G	0.1898	0.1534	0.0892	0	0	0	0	0.1233	0	0	0	0	0.0758	0.0147	0	0.0727	0.083	0.1981	0	0
H	0.3682	0.2114	0.0639	0	0	0	0	0.0952	0	0	0	0	0.1081	0.0189	0	0.0524	0.0451	0	0	0.0368
I	0.3742	0.2063	0.053	0	0	0	0	0.0855	0	0	0	0	0.1026	0.017	0	0.0758	0.065	0	0	0.0207
J	0	0.0079	0.7441	0	0	0	0	0.1098	0	0	0	0	0.0249	0	0.0221	0.0826	0	0	0	0.0085
K	0	0.0323	0.2216	0.1106	0	0.3808	0	0.0953	0	0	0	0	0.0151	0.0022	0.0496	0.0661	0.0111	0	0.0012	0.0142
L	0	0.0148	0.7383	0	0	0	0	0.1189	0	0	0	0	0.0463	0	0.0057	0.076	0	0	0	0
