B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
A	0.0631	0.0483	0.0198	0.0153	0.0959	0.0636	0.0254	0.0571	0.025	0.0677	0.0844	0.0632	0.1936	0	0.0159	0.039	0.0515	0.0124	0	0.0117	0.0326	0.0145
B	0.0435	0.0711	0.0233	0.0151	0.0942	0.0539	0.0335	0.0588	0.0194	0.099	0.0569	0.0644	0.2094	0	0.0102	0.0294	0.0406	0.0217	0	0.0099	0.0269	0.0189
C	0.0287	0.0043	0	0	0.2325	0.2507	0.0683	0.0879	0.0872	0.1146	0.0183	0.0415	0	0	0	0	0.0163	0.0165	9e-04	0	0.0251	0.0072
D	0.0079	0.0263	0	0.0094	0.2437	0.2764	0.0642	0.0692	0.0756	0.0515	0.0564	0.0522	0	0	0.0026	0	0.0217	0.0131	0	0	0.0298	0
E	0	0.0223	0	0.2627	0.1023	0.0699	0.042	0.0667	0.0435	0.148	0.0573	0.0855	0.017	0	0.0144	0	0.0236	0.0012	0	0.0089	0.0247	0.0099
F	0	0.0185	0.006	0	0.0376	0	0	0.038	0.0588	0.1425	0.3881	0.156	0.0505	0	0	0.0245	0.0272	0	0	5e-04	0.0426	0.0092
G	0.02	0.0499	0.0271	0	0.0768	0	0.0501	0.011	0.0172	0	0.078	0	0.244	0	0.0212	0.0632	0.0306	0	0	0.0268	0.0752	0.2088
H	0	0.0495	0.0124	0	0.0348	0	0.0423	0.0187	0.0129	0	0	0.006	0.5327	0	0.0471	0.0587	0.0443	0.0151	0	0.0551	0.0676	0.0028
I	0	0.0565	0.0091	0	0.042	0	0.0473	0.014	0	0	0	0.0038	0.5291	0.0024	0.0348	0.0742	0.0321	0.0243	0	0.0528	0.0775	0
J	0.0039	0.0251	0	0	0.235	0.3235	0.1019	0.093	0.0792	0.0123	0.0104	0.0416	0	0	0	0	0.028	0.0143	0	0	0.0315	0
K	0	0.0274	0.0105	0.3253	0.1181	0.0608	0.0515	0.0623	0.0637	0.1513	0.0048	0.0726	0	0	0.0069	0	0.0174	0.0032	0	0.0075	0.0165	0
L	0	0	0	0	0.0866	0.3484	0.1188	0.1119	0.0856	0	0.105	0	0	0	0	0	0.0249	0.0059	0.0664	0	0.0466	0
