CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
A	0.0461184796991167	0.0632501063195985	0.0500491704173857	0.0993668149310164	0.163991954604175	0.104532752760943	0.0677381452189427	0.243830106764625	0.161122469284198
B	0.046499005336848	0.0635631161551552	0.0507467388923111	0.0993110417590265	0.163256847278991	0.104518594145092	0.0686236627375602	0.243570767489287	0.159910226205728
C	0.050029334962523	0.0532950255688003	0.0469674565290204	0.0964049978321941	0.156454917700803	0.0971064703802204	0.0664463361944917	0.265169400533162	0.168126060298785
D	0.0498819926484759	0.0534478361635468	0.0464676145960503	0.0967146038665071	0.154740872064681	0.0972039052659342	0.06646227216473	0.267263933261924	0.167816969968151
E	0.0484152317149344	0.0571728939273028	0.0481935022192316	0.102958523651825	0.155757858745391	0.097178811697456	0.0678952085820062	0.249701091615046	0.172726877846807
F	0.0461890811140028	0.061366885017884	0.0507616023695977	0.115114078890029	0.160278252160569	0.100379797201601	0.070216614323857	0.232488723755808	0.163204965166651
G	0.045385851732693	0.0669940267626064	0.0577704309593312	0.0955569057380549	0.169291645311812	0.106110907183541	0.0707412035527512	0.234902949304839	0.153246079454372
H	0.0459484721056207	0.0731807284266575	0.0544534037639537	0.0913359306163493	0.168663823090487	0.106533310327029	0.0749473176116614	0.235841030647816	0.149095983410426
I	0.0455383693794083	0.0729660410266743	0.0541816859830249	0.091901006907785	0.169756462157669	0.106152940140084	0.0746680810083939	0.235293210741042	0.149542202655919
J	0.051499400513082	0.0481973284979559	0.0452942599328951	0.0919109210400992	0.156939020841304	0.0972819356944126	0.0671269577686562	0.274084102473078	0.167666073238517
K	0.0496540287065055	0.0471163989439344	0.0448889519303669	0.100559894823073	0.153426002270649	0.0984834090094572	0.0670944829267106	0.257894786915105	0.180882044474198
L	0.0497729614184159	0.0517660205814801	0.0472244824183653	0.0923150743066321	0.152583949637841	0.0948441291168244	0.0678695801559043	0.276461932002308	0.167161870362229
