Epithelial.Cell.Airway	Canonical.Epithelial.Cell	Epithelial.Cell.Placental	placental.pericyte	pulmonary.artery.endothelial.cell	vein.endothelial.cell	Glomerular.Endothelial.Cell	articular.chondrocyte.of.knee.joint	Canonical.Endothelial	hair.follicular.keratinocyte	Cardiac.Fibroblast	mononuclear.cell	myometrial.cell	kidney.epithelial.cell	subcutaneous.preadipocyte	Osteoblast	epithelial.cell.of.umbilical.artery	bronchus.fibroblast.of.lung	Smooth.Muscle	hair.follicle.dermal.papilla.cell	thoracic.aorta.endothelial.cell	epithelial.cell.of.proximal.tubule	Endometrial.or.Mammary.Endothelial	Skeletal.Muscle.Myoblast	skeletal.muscle.satellite.cell	Melanocyte	mesenchymal.stem.cell.of.Whartons.jelly	fibroblast.of.villous.mesenchyme
A	0.0330661212753539	0.049648343168717	0.0281609190022457	0.031288185038167	0.0268478346384065	0.0319786415968942	0.024579221241486	0.0230239663728497	0.0335395542460679	0.0315570882968593	0.024847491217846	0.0507927898854412	0.0707372862875344	0.0497006838929559	0.0409274483188699	0.0179847313173873	0.0219602426277301	0.0186991519125691	0.0432395653131462	0.0232477433600437	0.0436423761044654	0.0656012967013021	0.0378685869642763	0.0319738408065155	0.0573602072616647	0.0264021581494253	0.0342484183176598	0.02707610668412
B	0.0320940476856252	0.0498569272029144	0.0285902395959626	0.0304124027880327	0.0258813319492572	0.0322413728385507	0.024207405411981	0.022931570698072	0.0334914649081274	0.0320519519298587	0.0247105923272223	0.0507289612438862	0.0692896539199893	0.0496439999236907	0.0413385385482841	0.0182308751446279	0.0224372540385674	0.0182642788379027	0.044190457964473	0.0233715518747125	0.0429026819029138	0.0656055273472692	0.0378113891033915	0.0312812063371367	0.0600109538456709	0.0261279100768742	0.034999767787458	0.0272956847675477
C	0.0326887083823766	0.0495195981084238	0.0287499338222012	0.0316607398466038	0.0265003248161151	0.0312259156805518	0.0234982071041691	0.0221910308786924	0.0340696624889482	0.031450161750631	0.0238229925470451	0.0494455025639254	0.0706039650220111	0.0505354952832622	0.0390763187755534	0.0182590739446463	0.0222267951416295	0.0184143409256209	0.0448051247347248	0.0233417356724608	0.0434864054435515	0.0656577126773828	0.0377030154317266	0.0315228809798258	0.0595542942588501	0.0262680629176269	0.0359142884374224	0.0278077123640213
D	0.032846518857075	0.0501410238488634	0.0289507543542995	0.0314322000752898	0.0265304823479382	0.0311026082428094	0.0233752724718178	0.0227413489026474	0.0341328859814319	0.0315050666934273	0.024844269329343	0.0493222638448314	0.0704805600958002	0.050275619825245	0.0392088947097876	0.0179842063885175	0.0221521598651929	0.0186362029604441	0.043642658724312	0.0234862995149825	0.0434390021696309	0.0664639905990036	0.0378103267017098	0.0316062798317154	0.0602781303459363	0.0261054022853806	0.0347757797346338	0.0267297912979337
E	0.0329839951230597	0.0491948831261448	0.0286532045297528	0.0313102753415093	0.0253956375862052	0.0310638819056083	0.0236533140481624	0.0225615530797175	0.0340346135643797	0.0319094075384973	0.0254321749421307	0.0499688393061771	0.0707320840887815	0.0505780145005667	0.0404739715315194	0.0183964082104444	0.0222997405033668	0.0185939796470787	0.0440046076000855	0.0233970895825481	0.0432373246107639	0.065826833641946	0.0377574263352165	0.0308755101456461	0.0597748802944609	0.0260334234047391	0.0343373754420084	0.0275195503694831
F	0.0323000064176597	0.0488007326212209	0.0280378713651152	0.0315914274711598	0.0262861437314413	0.0324627142184343	0.0240825176676546	0.022498339522052	0.0333597022935339	0.0318243470107249	0.0241923275565013	0.0495697269493178	0.0703933773214557	0.0500799965959864	0.0394535833188815	0.018175319480413	0.0224044335213198	0.0188649427538846	0.0441461413450216	0.0234559424660226	0.0435021415409294	0.0655887950177792	0.0378665312724154	0.0319609851801206	0.0611275431698526	0.0264214475047148	0.0351980939602738	0.0263548687261133
G	0.0329975586287331	0.0508308043788345	0.0282769564046336	0.0311107570900042	0.0267984771500445	0.0328446244610948	0.0243422499745109	0.0224293771773992	0.0330551847552425	0.0325436131108934	0.025352481339816	0.05058032626288	0.067374887694159	0.0502252277286761	0.0412163585632266	0.0187340040885963	0.0230173525272641	0.0181344077287785	0.042956289900459	0.023288965523042	0.0424874264728822	0.0647119346409973	0.0378261147607085	0.0309837336626086	0.0594793000986211	0.0265454523636714	0.0347971902385775	0.0270589432736448
H	0.0330980088327998	0.0493727959321727	0.0282815156107371	0.0318461367501273	0.026869875894411	0.0329695225226763	0.0246423021664711	0.0228644768125522	0.032639919585524	0.0319491746664632	0.0256251580356203	0.0499177264178079	0.067538828142504	0.0502450185397223	0.0413513590322042	0.0185372266003623	0.0223431758618323	0.0179447911986594	0.0439740175816264	0.023409240461232	0.0417839774395406	0.0638327984615013	0.0384853360963217	0.0302348167890023	0.0620739899848012	0.0264831757105297	0.0335698602798764	0.028115774592921
I	0.032836389387255	0.0491131552515188	0.028798457057605	0.0315657428540806	0.0262435856437272	0.0340820256375948	0.0245328468655993	0.0226964173906775	0.0321946688999991	0.0320739793966185	0.0257616977928794	0.050291517067234	0.0686914361010758	0.0493304471490178	0.0403572007839708	0.0184918471098939	0.0226082050455345	0.0179410387568805	0.0442328923900975	0.0229801840052097	0.0426063924728338	0.0630928978699672	0.0383732997618275	0.0304469598625571	0.0617500842591981	0.026791028998785	0.0336210706996642	0.0284945314886973
J	0.0327849701406385	0.0498208917887004	0.0286556567667122	0.0317557319771293	0.0263339028993395	0.0320199382005923	0.023301547754326	0.022497492817713	0.0343326580251878	0.031002416255765	0.0244768083536265	0.0484188069822474	0.0687069679043662	0.0499590588747539	0.0398029434344402	0.0176089650487797	0.0224679467525743	0.0189706699854888	0.0443837662245947	0.0230913437473685	0.0437080135968529	0.0675389391329717	0.0390592958741787	0.0319059903177415	0.0588489469518217	0.0258935518077692	0.0354437345968328	0.0272090437874874
K	0.0327109796865824	0.0507947940652531	0.0280039765828875	0.0312810490787577	0.0261495219819997	0.0315824439024973	0.02353460800877	0.0225589126985988	0.0344834269474971	0.0325668283781961	0.0249900221729263	0.048210080325959	0.0709792748772906	0.0502386505530078	0.0398360109263093	0.017636399257612	0.0229536960554064	0.0190221201517535	0.0431735134915675	0.0236830770064085	0.0441296845564193	0.0665905834258155	0.037985545534694	0.0316558846875855	0.0564620497805009	0.0265083848544148	0.0355694634638342	0.0267090175474551
L	0.0324697000705992	0.0497316105075582	0.0277663086825285	0.0319561275165546	0.0259718053158483	0.0313607941116689	0.0237426712334247	0.021984373355752	0.0339607067246735	0.031752267255817	0.0251066362167792	0.048667097157593	0.0704521864258404	0.0508884962452237	0.0400600673501052	0.0183560702890982	0.022539324989955	0.0189723896291598	0.0445867941456699	0.0230366788459273	0.0435820820916853	0.0667459872744112	0.0384578904319723	0.0314861468057041	0.058262269018602	0.0260600813253012	0.0349521310254335	0.0270913059571135
