Tool	Size	Seconds	Minutes	Hours
Cibersort	100	76	1.266666667	0.021111111
Decon	100	6	0.1	0.001666667
GEDIT	100	25	0.416666667	0.006944444
dtangle	100	3	0.05	0.000833333
Cibersort	100	75	1.25	0.020833333
Decon	100	7	0.116666667	0.001944444
GEDIT	100	25	0.416666667	0.006944444
dtangle	100	2	0.033333333	0.000555556
Cibersort	100	232	3.866666667	0.064444444
Decon	100	13	0.216666667	0.003611111
GEDIT	100	49	0.816666667	0.013611111
dtangle	100	5	0.083333333	0.001388889
Cibersort	100	210	3.5	0.058333333
Decon	100	12	0.2	0.003333333
GEDIT	100	48	0.8	0.013333333
dtangle	100	5	0.083333333	0.001388889
Cibersort	100	209	3.483333333	0.058055556
Decon	100	12	0.2	0.003333333
GEDIT	100	45	0.75	0.0125
dtangle	100	5	0.083333333	0.001388889
Cibersort	100	232	3.866666667	0.064444444
Decon	100	14	0.233333333	0.003888889
GEDIT	100	48	0.8	0.013333333
dtangle	100	5	0.083333333	0.001388889
Cibersort	200	140	2.333333333	0.038888889
Decon	200	11	0.183333333	0.003055556
GEDIT	200	47	0.783333333	0.013055556
dtangle	200	5	0.083333333	0.001388889
Cibersort	200	140	2.333333333	0.038888889
Decon	200	10	0.166666667	0.002777778
GEDIT	200	47	0.783333333	0.013055556
dtangle	200	5	0.083333333	0.001388889
Cibersort	200	386	6.433333333	0.107222222
Decon	200	20	0.333333333	0.005555556
GEDIT	200	87	1.45	0.024166667
dtangle	200	8	0.133333333	0.002222222
Cibersort	200	385	6.416666667	0.106944444
Decon	200	19	0.316666667	0.005277778
GEDIT	200	86	1.433333333	0.023888889
dtangle	200	9	0.15	0.0025
Cibersort	200	432	7.2	0.12
Decon	200	25	0.416666667	0.006944444
GEDIT	200	91	1.516666667	0.025277778
dtangle	200	10	0.166666667	0.002777778
Cibersort	200	651	10.85	0.180833333
Decon	200	25	0.416666667	0.006944444
GEDIT	200	94	1.566666667	0.026111111
dtangle	200	10	0.166666667	0.002777778
Cibersort	500	336	5.6	0.093333333
Decon	500	27	0.45	0.0075
GEDIT	500	114	1.9	0.031666667
dtangle	500	10	0.166666667	0.002777778
Cibersort	500	331	5.516666667	0.091944444
Decon	500	27	0.45	0.0075
GEDIT	500	115	1.916666667	0.031944444
dtangle	500	11	0.183333333	0.003055556
Cibersort	500	910	15.16666667	0.252777778
Decon	500	42	0.7	0.011666667
GEDIT	500	211	3.516666667	0.058611111
dtangle	500	20	0.333333333	0.005555556
Cibersort	500	905	15.08333333	0.251388889
Decon	500	43	0.716666667	0.011944444
GEDIT	500	213	3.55	0.059166667
dtangle	500	20	0.333333333	0.005555556
Cibersort	500	927	15.45	0.2575
Decon	500	47	0.783333333	0.013055556
GEDIT	500	223	3.716666667	0.061944444
dtangle	500	23	0.383333333	0.006388889
Cibersort	500	923	15.38333333	0.256388889
Decon	500	49	0.816666667	0.013611111
GEDIT	500	218	3.633333333	0.060555556
dtangle	500	22	0.366666667	0.006111111
Cibersort	1000	700	11.66666667	0.194444444
Decon	1000	52	0.866666667	0.014444444
GEDIT	1000	225	3.75	0.0625
dtangle	1000	21	0.35	0.005833333
Cibersort	1000	690	11.5	0.191666667
Decon	1000	52	0.866666667	0.014444444
GEDIT	1000	229	3.816666667	0.063611111
dtangle	1000	21	0.35	0.005833333
Cibersort	1000	1928	32.13333333	0.535555556
Decon	1000	86	1.433333333	0.023888889
GEDIT	1000	412	6.866666667	0.114444444
dtangle	1000	41	0.683333333	0.011388889
Cibersort	1000	1935	32.25	0.5375
Decon	1000	93	1.55	0.025833333
GEDIT	1000	425	7.083333333	0.118055556
dtangle	1000	41	0.683333333	0.011388889
Cibersort	1000	1970	32.83333333	0.547222222
Decon	1000	110	1.833333333	0.030555556
GEDIT	1000	437	7.283333333	0.121388889
dtangle	1000	46	0.766666667	0.012777778
Cibersort	1000	1964	32.73333333	0.545555556
Decon	1000	103	1.716666667	0.028611111
GEDIT	1000	431	7.183333333	0.119722222
dtangle	1000	47	0.783333333	0.013055556
Cibersort	2000	1422	23.7	0.395
Decon	2000	111	1.85	0.030833333
GEDIT	2000	452	7.533333333	0.125555556
dtangle	2000	41	0.683333333	0.011388889
Cibersort	2000	1406	23.43333333	0.390555556
Decon	2000	114	1.9	0.031666667
GEDIT	2000	452	7.533333333	0.125555556
dtangle	2000	42	0.7	0.011666667
Cibersort	2000	3993	66.55	1.109166667
Decon	2000	318	5.3	0.088333333
GEDIT	2000	1229	20.48333333	0.341388889
dtangle	2000	110	1.833333333	0.030555556
Cibersort	2000	4722	78.7	1.311666667
Decon	2000	350	5.833333333	0.097222222
GEDIT	2000	893	14.88333333	0.248055556
dtangle	2000	117	1.95	0.0325
Cibersort	2000	4618	76.96666667	1.282777778
Decon	2000	335	5.583333333	0.093055556
GEDIT	2000	1210	20.16666667	0.336111111
dtangle	2000	120	2	0.033333333
Cibersort	2000	4647	77.45	1.290833333
Decon	2000	222	3.7	0.061666667
GEDIT	2000	844	14.06666667	0.234444444
dtangle	2000	78	1.3	0.021666667
