Bleh	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
ABCB4	1.0	0.347188	0.002468	0.002664	0.000138	0.0	0.000181	0.000496
ACSS3	0.0	0.0	0.016828	0.001134	1.0	0.0	0.000213	0.0
ADAM23	0.076375	0.0	0.010625	0.0	0.005934	0.746048	0.071925	0.047512
ADAMTS1	0.0	0.0	4e-06	0.096864	0.00076	0.0	0.000791	0.005385
ADGRE4P	0.0	0.0	0.046227	0.0	0.047623	0.178611	0.86464	0.001624
ADGRG3	0.0	0.0	0.001768	0.004794	1.0	0.0	0.000151	0.000362
ADRA2B	0.0	0.004574	1.0	0.00166	0.016483	0.003925	0.001286	0.005983
ADTRP	0.001644	0.001162	0.003609	0.0	0.004831	0.134723	1.0	0.002041
AIRE	0.016013	0.015809	0.001091	0.0	0.009133	0.439969	0.007985	0.013871
AK5	0.0	0.001918	0.004345	0.104262	0.001903	0.097004	1.0	0.029659
AKAP6	1.0	0.028917	0.0	0.000114	0.000114	0.01019	0.036507	0.005397
AKR1C3	0.00074	0.0	0.003245	1.0	0.012806	0.026175	0.016887	0.011968
AKR1E2	0.009996	0.0	0.029787	0.029097	0.009827	0.224863	0.754569	0.018888
ALDH1A1	0.005965	0.0	0.829163	0.0	0.014735	0.0	0.004603	0.0
ALPL	0.000319	0.012264	0.000292	0.0	1.0	0.000181	0.0	0.0
ANAPC1P1	0.032381	0.023254	0.0	0.027033	0.011146	0.011844	0.056484	0.500772
ANKRD36BP2	0.016904	0.084916	0.0	0.003539	0.0025	0.021089	1.0	0.011147
ANKRD55	0.0	0.007483	0.012895	0.0	0.233338	0.244903	1.0	0.002703
ANKUB1	0.019928	0.0	0.004526	0.003729	0.769477	0.0	0.0002	0.0
ANXA3	0.000178	0.000273	0.000664	0.0	0.26232	0.0	0.000165	0.0
AOC4P	0.0	0.022749	0.008357	0.0	0.945779	0.0	0.004516	0.0
AQP3	0.000312	0.00373	0.001006	0.00463	0.0	1.0	0.272436	0.218054
ARG1	0.003499	0.002348	0.001582	0.000909	1.0	0.00067	0.005404	0.0
ASGR1	0.0	0.0	1.0	0.000785	0.00285	0.002857	0.004305	0.0
B3GALT2	0.004138	0.0	0.00085	0.002097	0.032779	0.251539	0.007026	0.09518
B3GNT7	0.025336	0.079211	0.0	1.0	0.002519	0.000308	0.001449	0.017266
B4GALNT4	0.0	0.0	0.000279	0.014686	0.003948	0.069927	0.054906	0.305238
BANK1	1.0	0.866802	0.004632	0.001013	0.0	8.3e-05	8e-06	7.8e-05
BCL7A	1.0	0.199553	0.006017	0.000922	0.0	0.022304	0.027209	0.013202
BCORP1	0.0	0.0	0.000454	0.154098	0.00316	0.0	1.0	0.532168
BHLHE41	0.01806	0.135264	0.000156	0.000363	0.003963	0.0	0.001339	0.0
BIRC7	0.0	0.0	0.0	0.008333	0.00281	0.0	0.008818	0.038882
BLK	0.912967	1.0	0.000579	0.00101	0.0	0.001918	0.004394	0.005677
BLNK	0.838623	1.0	0.006362	0.001399	0.000591	0.0	0.000957	0.0
BMX	0.0	0.0	0.004939	0.001132	1.0	0.0	0.015915	0.0
BNC2	0.0	0.003475	0.000112	1.0	0.004633	0.002332	0.002482	0.014355
BOK	0.0	0.005958	0.00037	0.741618	0.000828	0.0	0.002171	0.002664
BTNL9	0.569022	0.638043	0.002066	0.00623	0.009033	0.0	0.000488	0.0
C12ORF74	0.064008	0.461428	0.0	0.0	0.003425	0.0	0.000496	0.0
C1ORF186	0.028016	0.30264	0.000428	0.0	0.000156	0.005845	0.001271	0.0
C4ORF50	0.0	0.013835	0.000618	0.053425	0.004506	0.089355	0.006025	0.376024
CA6	0.0	0.0	0.000411	0.0	0.001468	0.018465	0.154859	0.044358
