Bleh	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
ABCA13	0.002107	0.025749	1.0	0.002646	0.0	0.0	0.001958	0.0	0.0
ABCB4	0.000181	0.002468	0.000138	0.002664	0.347188	1.0	0.023386	0.0	0.000496
ACER1	0.140872	0.000681	0.002381	0.0	0.0	0.0	0.0	0.074656	0.025015
ACSS3	0.000213	0.016828	1.0	0.001134	0.0	0.0	0.007384	0.0	0.0
ADAM23	0.071781	0.010604	0.005922	0.0	0.0	0.076222	0.0	0.744556	0.047417
ADAMTS1	0.000791	4e-06	0.000761	0.096944	0.0	0.0	0.0	0.0	0.00539
ADGRG1	0.002595	0.001327	0.00605	1.0	0.001014	0.000957	0.0	0.002111	0.264874
ADGRG3	0.000151	0.001768	1.0	0.004794	0.0	0.0	0.0	0.0	0.000362
ADTRP	1.0	0.003609	0.004831	0.0	0.001162	0.001644	0.023506	0.134723	0.002041
AFF3	0.045297	0.008422	0.001247	0.001229	0.36208	1.0	0.0	0.002128	0.000349
AIRE	0.007963	0.001088	0.009109	0.0	0.015766	0.015969	0.0	0.438778	0.013833
AK5	1.0	0.004345	0.001903	0.104262	0.001918	0.0	0.067612	0.097004	0.029659
AKAP6	0.036507	0.0	0.000114	0.000114	0.028917	1.0	0.018757	0.01019	0.005397
AKR1C3	0.016887	0.003245	0.012806	1.0	0.0	0.00074	0.008935	0.026175	0.011968
AKR1E2	0.754518	0.029785	0.009826	0.029095	0.0	0.009995	0.04433	0.224847	0.018887
ALPL	0.0	0.000292	1.0	0.0	0.012264	0.000319	0.00169	0.000181	0.0
ALS2CL	1.0	0.107932	0.008457	0.00045	0.001847	0.0	0.024215	0.927183	0.043093
ANAPC1P1	0.05916	0.002938	0.014032	0.029846	0.026084	0.03517	0.0	0.014728	0.501389
ANKRD36BP2	1.0	0.000902	0.0034	0.004438	0.085741	0.017791	0.0	0.021972	0.012039
ANKRD55	1.0	0.012895	0.233338	0.0	0.007483	0.0	0.001294	0.244903	0.002703
ANKUB1	0.0002	0.004526	0.769488	0.003729	0.0	0.019928	0.004242	0.0	0.0
ANXA3	0.000163	0.000657	0.259695	0.0	0.00027	0.000176	0.000335	0.0	0.0
APOE	6.2e-05	3.3e-05	0.0	1e-05	4.7e-05	3.7e-05	1.0	1.8e-05	2.3e-05
AQP3	0.272436	0.001006	0.0	0.00463	0.00373	0.000312	0.000442	1.0	0.218054
ARG1	0.005404	0.001582	1.0	0.000909	0.002348	0.003499	0.000439	0.00067	0.0
ASGR1	0.004305	1.0	0.00285	0.000785	0.0	0.0	0.01492	0.002857	0.0
ASPHD1	0.0	0.0	0.001162	0.0	0.007283	0.001999	1.0	0.0	0.000791
B3GALT2	0.007025	0.00085	0.032771	0.002097	0.0	0.004137	9.8e-05	0.251482	0.095158
B3GNT7	0.001449	0.0	0.002519	1.0	0.079211	0.025336	0.020902	0.000308	0.017266
B4GALNT4	0.054868	0.000278	0.003945	0.014676	0.0	0.0	0.0	0.069878	0.305025
BACE2	0.003615	0.0	0.002873	0.001584	0.299644	0.236672	0.001183	0.000144	6e-05
