Symbol	Monocytes_CD14+CD16-	Dendritic_cells_(BDCA1+)	Dendritic_cells_(BDCA3+)	Dendritic_cells_(plasmacytoid+)	T_cells_(CD4+)	T_cells_(CD8+)	NK_cells	Neutrophils	B_cells
AASDH	336.625	74.333333	90.166667	143.5	262.454546	724.038462	320.666667	69.6	698.5
ABLIM1	41.5	81.0	62.25	50.833333	3520.636364	2357.230769	1300.0	109.0	988.0
ACER3	720.4375	2181.5	2246.916667	643.833333	138.227273	82.730769	275.833333	89.0	63.25
ACSL1	706.1875	204.333333	194.0	84.833333	54.5	122.0	116.333333	6771.4	50.75
ADAM28	91.4375	1534.166667	1863.0	196.166667	22.090909	32.576923	143.75	226.6	1195.75
ADM	506.8125	155.666667	83.25	45.166667	30.590909	39.961538	66.583333	3497.0	33.75
AGAP1	20.125	19.0	16.166667	16.166667	31.363636	49.346154	733.0	19.8	26.0
AHI1	31.8125	67.416667	191.333333	2007.166667	65.545455	59.730769	69.25	33.8	43.5
AIG1	40.375	353.416667	522.5	22.5	56.909091	29.730769	77.25	47.0	26.25
AIM2	210.875	71.083333	686.583333	26.5	71.0	73.961538	31.583333	402.2	2339.5
AKR1C3	24.5625	20.25	32.083333	281.833333	84.363636	124.192308	1005.333333	36.2	30.75
ALCAM	330.875	2366.75	1592.666667	2063.0	99.272727	90.923077	50.083333	534.2	226.5
ALDH1A1	940.625	18.416667	31.083333	17.666667	18.227273	22.961538	16.75	30.4	34.75
ALDH2	3068.375	6215.0	4877.416667	3240.0	133.5	111.884615	276.916667	366.2	185.75
ALPL	25.4375	19.083333	18.0	17.5	16.545455	19.384615	15.166667	926.0	22.5
ANAPC10	179.625	85.916667	75.75	114.666667	182.727273	590.653846	197.833333	20.6	251.0
ANKRD9	39.5625	65.75	52.5	20.666667	22.727273	20.5	783.0	82.4	16.25
ANXA3	43.5625	76.416667	94.666667	15.166667	32.409091	51.461538	10.083333	1465.2	11.25
APOBEC3A	1877.625	33.166667	24.583333	35.5	38.818182	35.461538	32.25	3637.2	44.25
AQP9	1549.4375	27.083333	26.583333	27.0	46.181818	70.153846	52.166667	12225.4	97.5
ARHGAP22	74.5625	799.0	733.333333	38.666667	42.863636	44.269231	44.833333	42.2	64.25
ASGR1	545.5625	92.166667	29.666667	29.5	23.045455	22.692308	31.416667	40.4	29.75
ATP8B2	25.625	24.583333	42.833333	204.166667	1479.863636	200.461539	492.75	92.0	32.25
AXL	32.5	1115.083333	1472.583333	671.333333	19.5	24.230769	63.0	24.4	39.75
B3GNT7	38.3125	133.916667	339.0	65.5	31.181818	37.269231	2257.25	63.0	59.0
BACE2	48.0625	33.5	35.666667	38.666667	40.454545	58.5	40.25	165.2	1025.25
BANK1	65.8125	100.916667	157.083333	89.833333	48.363636	78.115385	39.25	81.8	2215.75
BATF3	272.5625	779.916667	2270.583333	83.5	97.045455	101.346154	96.083333	146.2	134.25
BCL11B	22.1875	12.166667	13.25	14.5	3444.636364	1552.692308	617.5	112.6	26.0
BLK	23.5625	47.0	63.916667	653.0	28.681818	21.923077	30.75	24.6	175.75
BLNK	35.125	393.166667	388.0	3723.833333	26.5	33.307692	17.25	18.2	2693.5
BST1	723.5	125.25	35.333333	98.166667	23.136364	26.192308	27.416667	689.6	20.5
BTBD11	170.1875	281.583333	34.166667	26.666667	343.636364	880.461539	169.083333	144.6	31.25
BTBD3	94.5625	316.0	506.916667	503.0	31.818182	17.076923	78.75	19.4	16.75
BTLA	26.8125	76.75	770.0	453.166667	120.590909	85.884615	18.333333	35.2	2147.0
BTNL8	69.375	37.0	34.583333	31.166667	45.318182	66.384615	24.833333	1352.6	58.75
C10ORF128	123.0625	2783.666667	1847.75	41.5	297.272727	172.538462	162.25	866.4	398.5
C12ORF57	244.25	449.083333	756.166667	2412.5	3170.772727	3226.269231	1836.666667	122.0	1184.0
C15ORF48	29.0	1089.5	892.166667	29.333333	15.818182	20.576923	46.166667	130.8	16.25
C1ORF54	451.0	721.75	6169.166667	123.833333	173.818182	250.653846	128.5	76.6	120.5
C5AR1	3230.125	32.666667	26.416667	28.666667	50.227273	40.576923	52.166667	9939.6	38.25
CACNA2D3	459.4375	1373.0	301.25	190.833333	20.772727	15.423077	26.416667	19.8	21.0
CADM1	81.75	85.166667	1570.75	57.666667	75.272727	140.461539	120.916667	54.6	111.0
CAMK2N1	27.375	19.25	20.666667	18.166667	89.818182	275.576923	84.416667	27.4	37.25
CAMK4	9.25	8.583333	7.916667	8.333333	316.045455	160.346154	11.166667	12.4	16.0
CAPZA1	26.0	35.166667	34.083333	28.666667	20.681818	166.692308	90.083333	142.8	27.5
CCDC50	269.125	912.083333	904.916667	5230.5	103.590909	46.346154	167.5	30.0	457.75
CCDC88A	278.25	955.0	1085.75	1047.166667	32.409091	18.153846	40.083333	15.0	18.75
CCL20	27.5625	27.083333	40.416667	22.5	32.863636	154.384615	27.333333	44.2	21.75
CCL5	51.0	48.916667	20.333333	18.0	713.318182	4928.307692	8523.25	275.4	70.0
CCR2	2691.4375	510.833333	201.416667	2359.666667	553.863636	236.846154	26.083333	50.0	140.5
CCR3	42.0625	30.5	32.916667	203.5	38.727273	34.692308	21.166667	1639.8	33.75
CCR6	16.25	74.166667	67.416667	23.166667	165.772727	56.461538	13.833333	28.0	412.5
CCR7	51.4375	585.0	361.916667	189.333333	5774.272727	3866.846154	63.5	275.0	3920.25
CD14	10002.0	235.333333	65.75	37.0	175.363636	81.346154	68.333333	4723.4	204.75
CD160	22.6875	19.166667	18.083333	15.166667	24.136364	197.0	1310.333333	19.8	37.0
CD163	2278.5625	1580.333333	54.0	36.5	34.863636	38.653846	58.25	70.0	57.75
CD1C	437.6875	7203.0	942.583333	88.5	104.772727	86.269231	162.75	76.0	999.25
CD1D	1591.5625	1371.333333	176.083333	17.0	21.363636	17.384615	45.0	51.4	131.5
CD2	98.3125	660.5	202.083333	152.5	4494.136364	2757.153846	911.75	153.0	126.25
CD200	23.4375	26.25	29.083333	20.833333	24.590909	29.692308	16.666667	25.8	1008.25
CD207	30.6875	659.25	419.5	22.666667	26.318182	31.038462	18.666667	26.6	36.25
CD22	58.625	137.0	155.5	103.333333	40.863636	61.307692	39.666667	79.8	1083.0
CD24	35.0625	112.5	86.0	55.5	104.909091	239.423077	22.916667	499.0	2691.25
CD247	31.375	26.333333	27.416667	86.666667	1233.954545	366.038462	3594.166667	68.6	33.25
CD27	51.5625	48.333333	40.916667	37.166667	2717.363636	588.884615	50.416667	72.0	298.75
CD300LF	2371.875	1723.5	589.333333	372.5	64.454545	69.538462	56.666667	2230.0	86.25
CD33	1389.0	1681.0	630.083333	101.166667	84.318182	94.461538	95.583333	223.6	104.0
CD36	2677.625	713.916667	256.833333	1693.0	30.545455	26.846154	48.333333	76.8	38.25
CD3D	87.0625	59.083333	55.083333	47.0	4072.909091	5544.538462	180.75	189.2	251.0
CD3E	80.0625	40.916667	43.583333	53.666667	2710.909091	583.807692	121.916667	139.4	89.5
CD3G	32.8125	18.416667	17.5	18.333333	1106.090909	1486.346154	99.666667	63.4	73.25
CD79A	73.4375	124.666667	97.333333	120.666667	51.0	99.384615	32.416667	86.6	2820.25
CD79B	80.4375	137.416667	72.083333	75.166667	119.363636	80.038462	103.083333	56.8	1540.75
CD8A	69.8125	46.833333	52.583333	39.333333	60.136364	5914.576923	940.75	149.6	99.0
CD8B	77.0625	54.25	54.333333	52.833333	63.409091	923.076923	65.083333	112.4	122.25
CD96	11.0625	9.833333	9.666667	9.666667	101.136364	117.653846	99.0	12.4	26.5
CEACAM8	11.3125	8.75	9.583333	8.166667	118.863636	213.307692	10.166667	97.8	9.75
CENPK	11.5625	21.083333	19.25	31.666667	328.227273	107.653846	70.5	11.2	26.75
CEP78	53.5625	125.083333	159.083333	219.833333	138.136364	239.076923	1751.75	42.2	47.5
CFP	4169.625	4464.0	1555.833333	174.666667	170.318182	63.923077	88.916667	2499.8	56.0
CHI3L1	36.875	25.916667	28.666667	20.833333	30.363636	38.384615	12.916667	3682.8	20.25
CHN2	292.125	580.583333	847.666667	50.166667	29.0	112.576923	293.5	26.0	24.0
CLC	58.125	33.416667	31.083333	631.666667	280.727273	173.307692	16.5	6202.6	116.5
CLEC10A	289.5625	5995.416667	1548.166667	302.833333	37.590909	28.230769	170.25	55.4	50.75
CLEC2D	18.1875	37.0	26.833333	37.5	444.409091	836.384615	79.083333	32.4	734.5
CLEC4A	2508.5625	677.0	340.5	243.333333	59.636364	51.346154	84.666667	2078.6	206.0
CLEC4C	16.0625	27.5	539.0	3873.833333	21.181818	12.807692	18.333333	86.6	26.5
CLIC2	62.25	720.666667	697.333333	71.0	17.090909	15.5	22.5	23.2	14.5
CLIC3	16.0625	25.75	160.75	1784.833333	39.090909	54.576923	1427.416667	22.0	16.25
CLLU1	10.0	15.25	10.25	42.0	9.272727	11.153846	9.166667	11.8	491.5
CMTM2	255.0625	14.083333	13.333333	13.333333	18.681818	19.730769	15.166667	3279.2	26.5
CNTNAP3	12.5625	8.5	9.166667	9.333333	12.0	13.307692	11.75	331.0	12.75
CNTNAP3B	9.6875	7.25	7.75	7.833333	9.227273	10.230769	8.583333	266.8	12.25
COCH	31.3125	20.416667	18.083333	18.0	20.0	28.307692	15.666667	26.4	619.5
COIL	299.125	44.0	46.333333	59.0	186.454546	930.846154	554.916667	73.4	730.0
COL24A1	9.0	8.666667	18.25	307.5	7.954545	8.615385	12.833333	9.2	11.5
CPNE5	43.125	28.333333	32.333333	24.166667	32.590909	40.384615	25.5	40.6	356.75
CPVL	4461.625	5168.833333	8232.416667	496.166667	103.090909	51.769231	184.333333	102.6	141.5
CR2	16.25	59.333333	13.666667	13.0	39.272727	32.230769	11.666667	19.2	236.25
CREB5	376.4375	278.166667	38.166667	20.5	13.818182	16.615385	16.666667	1917.6	17.75
CRISP3	9.0	9.666667	10.833333	9.833333	50.181818	65.307692	7.5	34.8	9.75
CRISPLD2	932.4375	22.75	23.916667	28.833333	43.454545	45.884615	47.0	2788.0	37.75
CRTAM	138.4375	64.333333	116.583333	14.333333	33.772727	344.153846	163.416667	19.8	16.0
CSF3R	1415.8125	560.833333	129.583333	53.5	33.272727	36.230769	39.833333	8504.2	33.5
CST3	5864.5	5291.583333	5954.0	2241.833333	151.227273	57.653846	400.25	588.2	87.5
CST7	57.8125	371.833333	216.833333	30.166667	245.818182	2574.576923	4602.5	1158.0	75.25
CSTA	9278.1875	4711.75	1214.583333	156.5	293.909091	130.846154	329.25	3148.6	469.75
CTNND1	300.1875	1024.666667	590.25	230.333333	52.545455	51.653846	48.583333	22.8	57.75
CTSW	109.4375	213.25	85.0	102.833333	427.0	3067.769231	2800.583333	142.4	213.75
CUX2	17.875	20.666667	57.916667	979.333333	16.909091	16.5	17.75	15.6	24.5
CXCL1	123.125	34.916667	39.75	29.0	29.090909	35.846154	39.166667	2942.0	42.25
CXCL10	373.6875	906.416667	439.083333	46.333333	33.454545	45.346154	23.25	39.8	62.0
CXCL11	17.3125	114.583333	36.166667	10.166667	8.272727	9.846154	10.083333	9.8	9.25
CXCL9	86.5625	1312.5	974.916667	63.833333	37.227273	46.192308	29.0	47.0	60.75
CXCR2	377.25	61.583333	57.333333	57.5	17.318182	32.961538	129.083333	13673.6	23.5
CYBB	5392.125	703.083333	288.166667	1913.833333	84.772727	75.038462	139.833333	665.6	1512.0
CYFIP1	1365.25	2497.583333	2029.166667	697.5	151.454546	67.076923	99.0	45.0	79.5
CYP1B1	1359.1875	18.333333	19.75	20.5	25.636364	32.5	37.416667	108.2	34.25
CYP4F3	37.625	25.5	11.0	10.333333	20.045455	26.884615	11.0	3212.6	13.75
CYYR1	23.8125	19.333333	251.0	697.666667	24.590909	42.538462	12.0	20.6	39.5
DEFA4	40.625	37.416667	35.0	33.0	186.272727	405.615385	26.916667	227.0	43.0
DMD	8.9375	19.083333	138.583333	31.5	9.318182	9.076923	10.5	10.2	15.75
DPP4	27.5	68.0	605.0	436.5	290.545455	74.269231	39.333333	33.6	25.0
DPYSL2	3242.9375	6082.666667	6202.5	5449.0	515.5	126.461539	332.916667	79.8	172.0
DSE	681.4375	1865.333333	2458.75	799.5	61.272727	76.576923	34.916667	576.8	191.75
DSP	22.6875	20.75	80.416667	21.0	19.863636	28.5	19.25	23.4	226.0
DST	83.5625	605.916667	963.083333	403.5	34.863636	21.038462	87.333333	18.6	18.25
DUSP6	4453.0625	468.5	379.416667	645.333333	167.818182	112.230769	484.0	3413.2	103.75
EBF1	19.4375	31.75	16.75	16.833333	16.863636	23.884615	15.583333	17.6	915.25
EGR3	109.625	90.416667	69.583333	23.5	27.681818	29.653846	20.166667	1959.6	35.25
EHF	12.4375	159.833333	315.333333	12.833333	10.272727	10.038462	10.416667	13.6	10.75
EMILIN2	1481.875	1967.666667	884.666667	586.166667	120.090909	59.384615	84.25	210.6	54.0
EMP1	72.875	332.75	122.916667	44.5	13.090909	18.076923	23.75	18.8	15.25
ENC1	68.5	32.0	28.583333	21.666667	27.545455	114.307692	1261.75	223.6	33.0
ENPP1	11.4375	13.5	341.083333	11.0	10.227273	11.153846	14.583333	11.2	11.75
ENPP2	24.4375	774.666667	943.416667	1319.5	32.090909	23.153846	14.916667	27.0	16.25
EOMES	24.8125	21.666667	22.333333	23.833333	102.136364	652.192308	959.583333	35.0	29.75
EPB41L3	543.5	589.583333	270.666667	38.166667	33.045455	18.076923	18.0	17.6	19.0
EPHA2	24.4375	28.916667	80.833333	548.666667	22.681818	22.269231	24.5	34.2	28.25
EPHA4	51.8125	41.416667	37.333333	90.833333	230.590909	520.5	207.583333	59.8	96.75
EREG	190.25	259.0	46.916667	12.333333	10.272727	10.692308	41.416667	95.2	9.75
ETS1	23.0625	27.916667	31.583333	188.5	1461.409091	390.384615	498.833333	98.8	94.25
F13A1	1578.8125	691.5	40.75	291.833333	57.318182	64.192308	44.333333	287.4	107.5
FAM102A	76.875	110.333333	214.0	107.5	1836.454545	889.307692	112.5	143.8	180.75
FAM129C	40.9375	45.0	74.583333	930.833333	37.772727	38.884615	46.583333	44.4	245.25
FAM135A	120.375	407.0	819.833333	173.333333	76.454545	39.769231	41.666667	20.8	51.5
FAM198B	1997.625	325.5	95.916667	78.666667	18.636364	20.538462	22.083333	52.8	17.0
FAM20B	64.125	49.583333	48.333333	48.0	46.772727	141.769231	39.416667	49.2	4728.75
FBN2	216.375	40.5	16.0	13.166667	14.045455	17.115385	15.0	25.4	18.25
FBXL16	122.3125	52.0	52.5	40.666667	1354.363636	180.307692	50.583333	68.4	109.25
FCER1A	459.5625	5119.666667	332.583333	1323.166667	178.0	34.884615	181.166667	156.0	38.0
FCER1G	5820.5625	441.166667	227.833333	495.166667	252.454546	148.538462	855.666667	2674.6	571.75
FCGR2A	1918.0625	619.166667	73.916667	37.0	33.363636	38.115385	79.833333	7253.4	72.5
FCGR2B	149.75	558.0	68.5	33.166667	28.090909	46.538462	52.5	925.4	1628.5
FCGR3B	896.8125	75.0	62.666667	82.5	57.227273	133.153846	166.333333	13638.0	118.25
FCN1	8696.625	3283.0	157.416667	57.0	231.772727	92.115385	221.166667	1832.4	239.75
FCRL1	13.9375	29.583333	12.583333	11.5	13.136364	22.307692	13.75	17.6	912.0
FCRLA	7.75	10.416667	8.5	46.5	7.272727	8.423077	8.5	8.4	1065.5
FFAR2	254.625	25.333333	26.083333	23.166667	21.136364	24.192308	24.0	2331.8	33.5
FGFBP2	17.6875	17.666667	18.833333	14.166667	47.727273	1378.076923	6041.833333	50.4	36.5
FKBP1B	73.4375	191.583333	1332.916667	27.666667	26.181818	30.5	77.25	33.0	25.75
FLT3	150.3125	2395.5	4338.5	1369.333333	55.272727	53.423077	75.583333	59.8	58.5
FMNL2	93.5625	189.333333	659.583333	256.166667	24.454545	24.846154	16.5	27.6	24.0
FPR2	891.25	31.833333	31.083333	29.5	37.863636	40.230769	39.25	5458.4	46.5
FPR3	77.4375	351.666667	171.5	17.666667	24.136364	30.346154	12.916667	25.2	41.5
FZD2	188.6875	531.333333	369.083333	156.0	22.0	20.0	30.083333	20.0	27.0
G0S2	860.4375	788.75	423.25	74.666667	55.5	63.384615	320.833333	8025.8	58.0
GATA3	48.875	30.583333	30.666667	26.5	3488.363636	1620.346154	5527.083333	90.4	75.25
GEM	21.5	250.666667	217.75	38.333333	24.5	28.230769	18.75	26.8	24.0
GIMAP1	640.125	130.083333	79.0	58.166667	1653.727273	316.153846	151.0	60.6	58.5
GIMAP4	3282.8125	105.916667	45.25	29.666667	3375.0	1917.153846	349.833333	2964.2	246.25
GIMAP5	581.125	103.666667	97.916667	87.833333	2713.681818	1519.461538	199.5	149.4	249.25
GIMAP6	1024.8125	84.166667	30.75	14.166667	2351.045455	1193.923077	332.166667	54.2	30.5
GIMAP7	1226.0	61.916667	34.0	13.333333	3737.409091	2229.576923	704.583333	75.6	107.0
GIMAP8	1001.8125	76.583333	42.833333	190.333333	722.636364	267.538461	39.25	117.0	27.25
GK	93.6875	105.083333	54.833333	23.833333	17.863636	13.615385	15.666667	1335.6	16.25
GNAL	12.3125	9.666667	11.083333	10.166667	10.363636	16.115385	214.0	11.4	14.5
GNLY	75.5	36.75	28.666667	22.833333	253.909091	5100.346154	14115.66667	144.0	469.25
GPM6B	14.3125	29.25	247.583333	1607.5	51.409091	28.5	14.833333	15.6	16.5
GPR171	20.9375	119.666667	143.5	115.666667	888.863636	717.615385	80.166667	54.0	32.5
