Gene	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
ABCB1	0.026294	0.006427	0.183906	1.0	0.809405	0.350085	0.057719	0.075303	0.0	0.402211	0.281706	0.11356	0.040981	0.027023	0.092535	0.048876	0.45988	0.098836	0.037298	0.108423
ABHD5	0.147257	0.144822	0.076804	0.066851	0.181057	0.04221	0.054711	1.0	0.085033	0.057401	0.029909	0.074978	0.306492	0.22667	0.035679	0.095431	0.012145	0.489263	0.0	0.077702
ACSM3	0.006011	0.037362	0.100867	0.051516	0.0	0.084995	1.0	0.111336	0.131584	0.001675	0.387748	0.027769	0.016072	0.014033	0.042463	0.004555	0.049137	0.082506	0.059333	0.072773
ADAM19	0.188412	0.036573	0.264922	0.0478	0.031968	0.103571	0.0	0.38118	1.0	0.169828	0.034957	0.045069	0.086638	0.071259	0.379375	0.243376	0.577257	0.299262	0.275447	0.150675
ADAMTS5	0.429561	0.0	0.188466	0.232041	0.284175	0.110381	0.200148	0.048625	0.569939	0.092524	0.011461	0.081864	0.072484	0.053315	0.195021	0.147967	0.248421	0.271956	0.224904	0.307373
ADI1	0.276534	0.507138	0.116283	0.040118	0.093653	0.036123	0.39384	0.047214	0.832432	0.230202	1.0	0.500897	0.0	0.067764	0.259925	0.101493	0.138738	0.159556	0.51319	0.103969
AGPAT5	0.171069	0.03841	0.16615	0.081129	0.055282	0.172144	0.56255	0.179951	0.01363	0.383296	1.0	0.458426	0.116921	0.078716	0.215574	0.03102	0.314432	0.0	0.076942	0.054231
ALAS1	0.189125	0.070277	0.072111	0.070892	0.184199	0.093428	0.287683	0.097436	0.419416	1.0	0.385419	0.518292	0.266747	0.146084	0.147563	0.174269	0.081694	0.20053	0.142292	0.0
ALPL	0.062113	0.033683	0.06162	0.054829	0.04085	0.053339	0.009758	0.016571	0.0	0.035723	0.006397	0.073249	0.036501	0.03414	0.079506	0.035126	0.127134	1.0	0.062205	0.131609
ANK3	0.035228	0.040567	0.273433	0.067624	0.044291	0.16978	0.051972	0.161936	0.009732	0.267347	0.046272	0.028598	0.008718	0.001134	0.197578	0.123546	0.0	0.09663	0.0177	0.546465
