Row	ascites7873R1	ascites7873R2	ascites7882R1	ascites7882R2	ascites7892R1	ascites7892R2
ABCB9	0.141674	0.143129	0.133364	0.147341	0.147031	0.131116
ACAP1	0.164829	0.227613	0.314666	0.233385	0.322175	0.308231
ACHE	0.012086	0.018926	0.014936	0.0	0.02117	0.013031
ACP5	0.012422	0.02064	1.0	0.009946	0.0	0.003197
ADAM28	0.290215	0.332146	0.081404	0.096395	0.102162	0.110957
ADAMDEC1	0.00933	0.009791	0.00457	0.007128	0.003603	0.005626
ADAMTS3	0.027921	0.013584	0.013938	0.037011	0.015942	0.006503
ADRB2	0.013472	0.013453	0.008735	0.011588	0.00493	0.006506
AIF1	0.483007	0.485902	0.149265	0.191007	0.08665	0.162582
AIM2	0.01418	0.013074	0.004945	0.007328	0.005557	0.008711
ALOX15	0.022308	0.020115	0.028454	0.027218	0.033144	0.026923
ALOX5	0.111562	0.114063	0.048635	0.053408	0.062944	0.085803
AMPD1	0.00095	0.000962	0.0	0.01224	0.004854	0.004354
ANGPT4	0.141587	0.137597	0.107667	0.097965	0.114097	0.120461
ANKRD55	0.0	0.006815	0.012426	0.007976	0.000352	0.012684
APOBEC3A	0.065707	0.091155	0.065837	0.077823	0.187082	0.251831
APOBEC3G	0.032865	0.047854	0.015859	0.028303	0.007742	0.013519
APOL3	0.023175	0.028608	0.009106	0.012905	0.01651	0.024995
APOL6	0.683919	0.655925	0.229854	0.262904	0.239959	0.252919
AQP9	0.218513	0.220146	0.102922	0.12039	0.235062	0.219663
ARHGAP22	0.089203	0.094844	0.059121	0.049873	0.063873	0.066349
ARRB1	0.482589	0.716863	0.789712	1.0	0.859189	0.789712
ASGR1	0.135183	0.169222	0.106702	0.113762	0.092559	0.093664
ASGR2	0.087315	0.121678	0.065486	0.080045	0.059112	0.073722
ATHL1	0.032167	0.057196	0.328518	0.190413	0.227306	0.215985
ATP8B4	0.463927	0.510511	0.096418	0.149016	0.077347	0.100032
AZU1	0.036875	0.026307	0.041801	0.03258	0.036588	0.0331
BACH2	0.007333	0.008134	0.00882	0.010255	0.023274	0.017351
BANK1	0.016479	0.01358	0.014243	0.015952	0.014741	0.014701
BARX2	0.12631	0.169971	0.132229	0.157441	0.142736	0.118235
BCL11B	0.010861	0.01161	0.007611	0.008857	0.012294	0.011178
BCL2A1	0.84447	0.839097	0.53691	0.619063	0.82941	0.919476
BCL7A	0.078343	0.070736	0.064728	0.080158	0.072619	0.068647
BEND5	0.07735	0.147354	0.091827	0.15115	0.11986	0.139054
BFSP1	0.561724	0.441398	0.509265	0.512104	0.570874	0.532449
BHLHE41	0.075485	0.081045	0.10223	0.11498	0.078684	0.091024
BIRC3	0.033054	0.031655	0.050419	0.059382	0.135788	0.178675
