Bleh	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
ABCB4	1.0	0.347188	0.002468	0.002664	0.000138	0.0	0.000181	0.000496
ACSS3	0.0	0.0	0.014159	0.000954	0.841413	0.0	0.000179	0.0
ADAM23	0.034924	0.0	0.004859	0.0	0.002714	0.341144	0.032889	0.021726
ADAMTS1	0.0	0.0	2e-05	0.448497	0.00352	0.0	0.003661	0.024935
ADRA2B	0.0	0.003127	0.683602	0.001135	0.011268	0.002683	0.000879	0.00409
AIRE	0.000223	0.000221	1.5e-05	0.0	0.000127	0.006137	0.000111	0.000193
AK5	0.0	0.001918	0.004345	0.104262	0.001903	0.097004	1.0	0.029659
AKAP5	0.015599	0.059239	0.0	1.0	0.004133	0.008763	0.00984	0.026213
AKAP6	1.0	0.029013	9.8e-05	0.000212	0.000213	0.010287	0.036602	0.005494
AKR1C3	0.000245	0.0	0.001074	0.330976	0.004238	0.008663	0.005589	0.003961
AKR1E2	0.013247	0.0	0.039476	0.03856	0.013023	0.298001	1.0	0.025031
ALDH1A1	0.002803	0.0	0.389605	0.0	0.006924	0.0	0.002163	0.0
ALPL	0.000249	0.009552	0.000228	0.0	0.778885	0.000141	0.0	0.0
ANKRD55	0.0	0.00382	0.006584	0.0	0.119134	0.125039	0.510565	0.00138
ANXA3	0.000677	0.001042	0.00253	0.0	1.0	0.0	0.000629	0.0
AQP3	0.000312	0.00373	0.001006	0.00463	0.0	1.0	0.272436	0.218054
ARG1	0.002882	0.001934	0.001303	0.000749	0.823701	0.000552	0.004451	0.0
ARHGEF10L	0.011195	0.028902	1.0	0.0	0.009657	0.001743	5.5e-05	0.0
ASGR1	0.0	0.0	0.111908	8.8e-05	0.000319	0.00032	0.000482	0.0
B3GALT2	0.002103	0.0	0.000432	0.001066	0.016655	0.127808	0.00357	0.048361
B3GNT7	0.025639	0.079498	0.000311	1.0	0.00283	0.000619	0.00176	0.017572
B4GALNT4	0.0	0.0	0.000128	0.006747	0.001814	0.032128	0.025227	0.140241
BACE2	0.789843	1.0	0.0	0.005287	0.009587	0.000481	0.012065	0.000199
BANK1	1.0	0.866802	0.004632	0.001013	0.0	8.3e-05	8e-06	7.8e-05
BCL7A	1.0	0.199553	0.006017	0.000922	0.0	0.022304	0.027209	0.013202
BIRC7	0.0	0.0	0.0	0.006225	0.002099	0.0	0.006587	0.029046
BLK	0.912967	1.0	0.000579	0.00101	0.0	0.001918	0.004394	0.005677
BLNK	0.838623	1.0	0.006362	0.001399	0.000591	0.0	0.000957	0.0
BMX	0.0	0.0	0.004284	0.000982	0.867503	0.0	0.013806	0.0
BNC2	0.0	0.002108	6.8e-05	0.606699	0.002811	0.001415	0.001506	0.008709
BOK	0.0	0.002629	0.000163	0.32725	0.000365	0.0	0.000958	0.001176
BTNL9	0.891823	1.0	0.003239	0.009765	0.014157	0.0	0.000764	0.0
C12ORF74	0.043357	0.312554	0.0	0.0	0.00232	0.0	0.000336	0.0
C1ORF186	0.092571	1.0	0.001416	0.0	0.000517	0.019313	0.004199	0.0
C4ORF50	0.0	0.003129	0.00014	0.012081	0.001019	0.020206	0.001362	0.085032
CA6	0.0	0.0	0.000236	0.0	0.000844	0.010616	0.089035	0.025503
CACHD1	0.002489	0.0	0.002169	0.0	0.096109	0.001194	0.232453	0.0
CACNA1E	0.002595	0.003612	0.000722	0.0	1.0	0.001035	0.0	0.0
CACNA1I	0.000399	0.0	0.000237	0.0	0.000688	0.038625	0.079911	0.012683
CAMK4	0.001667	0.003817	0.003336	0.000406	0.000668	0.340959	1.0	0.224544
CAMP	0.0	0.002079	0.004518	0.0	0.211847	0.0	2.6e-05	0.0
CAV1	0.046923	0.005397	0.000361	0.0	0.00091	0.0	0.150872	0.001492
CBS	0.0	0.0	0.000443	0.010628	0.571272	0.0	0.005471	0.004151
CCL20	0.0	0.0	0.576176	0.0	0.002766	0.004748	2.9e-05	0.000115
CCL22	0.0	1.0	0.038923	0.0	0.138923	0.0	0.027802	0.0
CCL3	0.000327	2.7e-05	0.539537	0.009711	0.001677	1.5e-05	0.0	9.9e-05
CCL3L3	0.000107	0.0	0.095089	0.000127	0.003569	0.000167	0.0	3.4e-05
CCL5	6e-06	6.2e-05	0.000509	0.047137	0.0	0.006051	0.000294	0.048604
CCR3	0.000798	0.003226	0.001828	0.001219	0.625423	0.000307	0.000554	0.005186
CCR4	0.000569	0.000721	0.005578	0.0	0.0014	1.0	0.014984	0.232074
