Symbol	A	B	C	D	E	F	G	H	I	J	K	L
ABCB4	0.145562	0.16741	0.001448	0.007208	0.025173	0.01786	0.115097	0.012159	0.062291	0.000329	0.009031	0.001758
ACSS3	0.947793	0.777191	0.427496	0.460793	0.827258	0.81456	0.901043	0.68056	0.720944	0.629745	1.0	0.992451
ADAM23	0.177593	0.303611	0.515039	0.789073	0.0	0.001705	0.045269	0.300836	0.144668	0.500535	0.005075	1.0
ADAMTS1	0.408591	0.383962	0.361737	0.421262	0.617465	1.0	0.26798	0.329622	0.15221	0.018863	0.084804	0.432897
ADRA2B	0.995384	0.698083	0.868793	0.54037	0.68461	0.774579	0.809776	1.0	0.899133	0.852066	0.788827	0.77489
AIRE	0.7943	0.725726	0.967237	0.84635	0.894588	0.816379	0.643026	0.497477	0.431443	1.0	0.83767	0.823843
AK5	0.246627	0.242047	0.365246	0.297796	0.265086	0.195363	0.152439	0.122281	0.018963	0.445724	0.287933	0.181995
AKAP5	0.130563	0.320869	0.000306	0.131454	0.433923	0.07251	0.06244	0.456912	0.467652	0.389254	0.397503	0.037907
AKAP6	0.013912	0.0	1.9e-05	0.003014	0.001579	0.005943	0.0	0.014877	0.0	0.004141	0.000213	0.0037
AKR1C3	0.250837	0.252878	0.141424	0.146247	0.190318	1.0	0.124954	0.054662	0.056234	0.085501	0.052041	0.109386
AKR1E2	0.01463	0.0	0.003812	0.035286	0.163664	0.016831	0.2898	0.009324	0.232635	0.358971	0.042181	0.195944
ALDH1A1	0.551516	0.535992	0.133847	0.131516	0.186722	0.235694	0.548687	0.983148	1.0	0.072932	0.099082	0.143853
ALPL	0.17439	0.158313	0.066839	0.064565	0.092143	0.125136	1.0	0.035394	0.04607	0.0	0.020831	0.010587
ANKRD55	0.337608	0.390556	0.952034	1.0	0.001656	0.175107	0.54386	0.046313	0.012907	0.819619	0.00117	0.722127
ANXA3	0.001229	0.012257	0.052663	0.011837	0.027349	0.131932	0.278044	0.021293	0.0	0.001962	0.000677	0.175253
AQP3	0.149366	0.12051	0.295005	0.238201	0.167788	0.07256	0.083585	0.051538	0.046438	0.269516	0.168362	0.316808
ARG1	0.152916	0.405812	0.300443	0.41035	0.067013	0.01289	1.0	0.050793	0.0	0.340118	0.003777	0.71371
ARHGEF10L	0.436824	0.260954	0.540707	0.561598	0.53516	0.45383	0.467853	0.461929	0.48999	0.362313	0.634855	0.534729
ASGR1	0.507644	0.508773	0.074049	0.090394	0.145917	0.205018	0.676221	1.0	1.0	0.000461	0.000102	0.05028
B3GALT2	0.398174	0.042848	1.0	0.916096	0.362622	0.037361	0.315066	0.10462	0.185026	0.078247	0.264178	0.229268
B3GNT7	0.017646	0.000705	0.03536	0.0	0.01628	0.153854	0.010776	0.006324	0.217878	0.002107	0.016662	0.001476
B4GALNT4	0.737617	0.714738	0.915027	0.907573	0.841329	1.0	0.882406	0.789573	0.750931	0.943268	0.960202	0.890198
BACE2	0.438997	0.38439	0.215142	0.213392	0.171284	0.274081	0.424726	0.271395	0.329704	0.085255	0.074675	0.065293
BANK1	0.072158	0.083314	0.021603	0.007087	0.042132	0.028928	0.077106	0.051265	0.050912	0.022602	0.017762	0.01118
BCL7A	0.407621	0.347477	0.22141	0.22712	0.268046	0.193505	0.422441	0.276291	0.235387	0.287981	0.090944	0.219309
BIRC7	0.531703	0.200601	0.101575	0.005305	0.0	0.742907	0.180829	1.0	0.018299	0.008102	0.043257	0.008713
BLK	0.229644	0.235537	0.09138	0.103832	0.142162	0.090404	0.248839	0.14551	0.149532	0.078768	0.129796	0.080551
BLNK	0.04026	0.036772	0.023487	0.038677	0.021631	0.045974	0.002224	0.046526	0.000672	0.033767	0.010636	0.050443
BMX	0.577722	0.11633	0.506537	0.532071	0.134747	0.182772	1.0	0.61073	0.222846	0.376799	0.016211	0.093409
BNC2	0.187178	0.533201	0.080712	0.280107	0.361568	1.0	0.20906	0.120251	0.197839	0.034251	0.005496	0.003495
BOK	0.596187	0.611856	0.481214	0.365875	0.529057	1.0	0.673793	0.631152	0.688378	0.369289	0.416593	0.336366
BTNL9	0.0	0.281417	0.0	0.0	0.0	0.0	0.006616	0.006794	0.00205	0.0	0.0	0.0
C12ORF74	0.095742	0.009194	1.0	0.764929	0.663662	0.357525	0.127645	0.332429	0.488255	0.989274	0.07222	0.180353
C1ORF186	0.088867	0.086198	0.124145	0.110121	0.029379	0.057905	0.142778	0.035903	0.116646	0.055386	0.005561	0.21677
C4ORF50	0.266163	0.697303	0.111066	0.818101	0.622701	0.783415	0.916903	0.628568	1.0	0.025044	0.304849	0.046016
CA6	0.050021	0.41027	0.379436	0.542365	0.630427	0.087265	0.029874	0.069982	0.274013	0.06144	1.0	0.019325
CACHD1	0.010461	0.057602	0.130983	0.53274	0.214123	0.004726	0.010579	0.00406	0.009845	0.218119	1.0	0.002506
CACNA1E	0.415469	0.001315	0.051428	0.241933	0.006803	0.036147	0.528749	0.240447	0.268695	0.31192	0.161074	0.002806
CACNA1I	0.401069	0.353909	0.786864	0.786085	0.344679	0.151425	0.251987	0.194044	0.201936	1.0	0.428907	0.817396
CAMK4	0.145403	0.120481	0.241987	0.219058	0.192223	0.0	0.075642	0.008215	0.0201	0.261834	0.230819	0.24211
CAMP	0.177807	0.169851	0.086472	0.080943	0.117058	0.14992	0.985193	0.14137	0.142262	0.0	0.0	1.0
CAV1	0.715722	0.921232	0.743799	0.414789	1.0	0.729405	0.863481	0.589083	0.539078	0.642947	0.966475	0.559407
CBS	0.140544	0.47066	0.320493	0.411075	0.003716	0.398423	1.0	0.195686	0.291051	0.040311	0.002592	0.155888
CCL20	0.414273	0.461692	0.078123	0.087559	0.135272	0.193728	0.591025	0.945393	1.0	0.048401	0.064372	0.085855
CCL22	0.0	0.015735	0.0	0.0	0.0	0.0	0.0	0.399586	0.306418	0.570171	0.166045	0.0
CCL3	0.14407	0.147631	0.008857	0.009624	0.021641	0.045029	0.201213	0.789113	1.0	0.003137	0.002677	0.004535
CCL3L3	0.203088	0.202232	0.014623	0.015368	0.033471	0.086919	0.601686	0.808515	1.0	0.004183	0.004586	0.006521
CCL5	0.127303	0.114791	0.094134	0.086683	0.377528	1.0	0.024042	0.009852	0.010109	0.060077	0.355818	0.086199
CCR3	0.259114	0.264846	0.045202	0.123596	0.161041	0.193458	1.0	0.002962	0.012853	0.003875	0.0	0.306295
CCR4	0.132871	0.160508	0.242393	0.220669	0.13066	0.001413	0.015206	0.063595	0.010757	0.286791	0.157594	0.412299
