Symbol	A	B	C	D	E	F	G	H	I	J	K	L
ABCA13	0.031618	0.000968	0.0	0.238547	0.0	0.0	0.0	0.0	0.004433	0.00541	0.0	0.027377
ABCB4	0.145751	0.167479	0.001446	0.007244	0.025234	0.017924	0.115334	0.01221	0.062399	0.000324	0.00907	0.001759
ACER1	0.456376	0.002222	0.290789	1.0	0.24309	0.14298	0.181347	0.273082	0.352172	0.521096	0.111575	0.125796
ACSS3	0.947592	0.77711	0.427856	0.460888	0.827261	0.81413	0.900797	0.680413	0.720781	0.629075	1.0	0.991896
ADAM23	0.177878	0.30417	0.514835	0.78886	0.0	0.001681	0.045252	0.301257	0.144843	0.500742	0.005041	1.0
ADAMTS1	0.408671	0.383761	0.361512	0.421285	0.617596	1.0	0.268228	0.329684	0.152498	0.018958	0.084925	0.432856
AFF3	0.11031	0.118207	0.054139	0.058819	0.039048	0.058873	0.106675	0.093121	0.095506	0.053578	0.019574	0.023675
AGAP1	0.493318	0.689095	0.049615	0.518488	0.715464	1.0	0.13444	0.269892	0.618905	0.265331	0.836777	0.03136
AIM2	0.375868	0.385567	0.313666	0.289822	0.233098	0.221026	0.412826	0.356216	0.320915	0.307953	0.270118	0.370796
AIRE	0.791216	0.724949	0.96681	0.844354	0.893145	0.814173	0.6417	0.495113	0.429525	1.0	0.835068	0.821114
AK5	0.246966	0.242356	0.365533	0.29804	0.26527	0.195514	0.152617	0.12254	0.019017	0.445881	0.288253	0.182068
AKAP6	0.013977	0.0	4.7e-05	0.003024	0.00157	0.005985	0.0	0.014949	0.0	0.004153	0.000213	0.003707
AKR1C3	0.247609	0.249763	0.139747	0.144616	0.188097	1.0	0.123472	0.054041	0.055617	0.084561	0.05142	0.108117
AKR1E2	0.01463	0.0	0.003771	0.035527	0.164024	0.016831	0.290329	0.009315	0.233282	0.359341	0.042388	0.196537
ALPL	0.173787	0.158068	0.06659	0.064345	0.091841	0.124717	1.0	0.035278	0.04596	0.0	0.020765	0.010586
ALS2CL	0.111486	0.424719	0.113922	0.281084	0.277471	0.274536	0.122659	0.411594	0.073468	0.235882	0.311242	0.168963
ANKRD55	0.337384	0.390424	0.951771	1.0	0.001644	0.175115	0.543748	0.046434	0.012895	0.818829	0.001148	0.721851
ANXA3	0.001229	0.012296	0.052723	0.011878	0.027426	0.132092	0.278159	0.021361	0.0	0.001965	0.000677	0.175338
APOE	0.0	5.4e-05	0.0	1.5e-05	2.9e-05	0.0	3.2e-05	0.000197	0.00012	9.4e-05	4.4e-05	0.0
AQP3	0.149502	0.120537	0.294789	0.238431	0.167958	0.072686	0.083682	0.05156	0.046449	0.269525	0.168578	0.316904
ARG1	0.153104	0.406183	0.300916	0.410865	0.067026	0.012949	1.0	0.050916	0.0	0.340417	0.00376	0.714302
ASGR1	0.506652	0.507848	0.073901	0.090287	0.145889	0.204628	0.676489	1.0	1.0	0.000458	0.000101	0.050241
ASPHD1	0.3983	0.301168	0.180395	0.358533	0.04579	0.127854	0.504279	0.105417	0.070706	0.385609	0.412162	0.061415
ATRNL1	0.485255	0.076842	0.026606	1.0	0.015287	0.37079	0.932637	0.0996	0.049807	0.061127	0.067074	0.120733
B3GALT2	0.398222	0.043074	1.0	0.916258	0.362412	0.037564	0.315349	0.104896	0.185495	0.078417	0.264378	0.230062
B3GNT7	0.017715	0.000692	0.0355	0.0	0.016362	0.154138	0.010801	0.006341	0.217984	0.002085	0.016731	0.001459
B4GALNT4	0.738286	0.71544	0.915701	0.90836	0.840833	1.0	0.883197	0.790071	0.751676	0.943678	0.960513	0.891269
BACE2	0.439431	0.384706	0.215176	0.213431	0.171346	0.274518	0.424824	0.271677	0.330055	0.085455	0.075019	0.06557
BANK1	0.072384	0.083449	0.021805	0.007303	0.042337	0.02913	0.077321	0.051486	0.051137	0.022805	0.017972	0.011395
BEND7	0.704851	0.906558	0.948039	0.854421	0.769741	0.70222	0.88612	0.846135	0.663307	0.841552	1.0	0.936958
BLK	0.229641	0.235727	0.091438	0.103944	0.142232	0.090456	0.248768	0.145723	0.149705	0.078844	0.129819	0.080602
BLNK	0.040287	0.036824	0.023571	0.038755	0.021699	0.046013	0.002233	0.046574	0.000663	0.03384	0.010689	0.050508
BMX	0.577401	0.116729	0.506722	0.531973	0.13492	0.183494	1.0	0.610609	0.223271	0.377362	0.016245	0.093664
BNC2	0.187316	0.533052	0.080882	0.279872	0.361474	1.0	0.209217	0.120528	0.198039	0.034306	0.0055	0.003475
BOK	0.595254	0.611512	0.480607	0.365909	0.528561	1.0	0.673643	0.630538	0.688205	0.369115	0.416399	0.336247
BTNL9	0.0	0.282726	0.0	0.0	0.0	0.0	0.006533	0.006636	0.001976	0.0	0.0	0.0
C11ORF45	0.0	0.0014	0.0	0.00579	8.5e-05	0.0	0.000561	0.0	0.007404	0.028282	0.000416	3.6e-05
C1ORF186	0.08892	0.086307	0.124232	0.110186	0.029448	0.058012	0.142933	0.036033	0.116665	0.055547	0.005598	0.21669
C4BPB	0.528213	0.209219	0.943198	0.979918	0.297476	0.693756	0.089484	0.162996	0.094533	0.383963	1.0	0.07273
C4ORF50	0.266763	0.696794	0.111222	0.817705	0.622125	0.783331	0.917014	0.628414	1.0	0.025216	0.305519	0.046204
CA6	0.050048	0.4107	0.379812	0.542155	0.630677	0.087766	0.030006	0.070381	0.274344	0.061547	1.0	0.019437
CACHD1	0.010424	0.057806	0.131139	0.532815	0.21454	0.004685	0.010524	0.004047	0.009799	0.218557	1.0	0.002502
CACNA1E	0.416003	0.001315	0.051566	0.242653	0.006803	0.036349	0.529384	0.241348	0.269559	0.312828	0.161702	0.002797
CACNA1I	0.401364	0.354342	0.787564	0.787141	0.345085	0.151744	0.252214	0.194297	0.202112	1.0	0.428988	0.817798
CAMK4	0.146024	0.12109	0.242524	0.21958	0.193006	0.000719	0.076381	0.008954	0.020858	0.262575	0.231352	0.242651
CAPN11	0.073158	0.431082	0.045817	0.665196	0.360606	0.545168	1.0	0.896086	0.665375	0.806943	0.209684	0.33065
CAV1	0.715632	0.921474	0.743857	0.415237	1.0	0.729244	0.863878	0.588637	0.539113	0.642859	0.966835	0.559187
CCL20	0.412517	0.460058	0.077851	0.087336	0.134969	0.193198	0.590298	0.94452	1.0	0.048277	0.064186	0.085638
CCL22	0.0	2.4e-05	0.0	0.0	0.0	0.0	0.0	0.000284	0.000221	0.000406	0.000124	0.0
CCL3	0.1379	0.14091	0.008392	0.009125	0.020539	0.042892	0.195317	0.76369	1.0	0.002976	0.00254	0.004303
CCL3L3	0.1961	0.195122	0.014017	0.014732	0.032119	0.084123	0.592928	0.794832	1.0	0.004011	0.004396	0.006255
CCL4	0.001564	0.0	3.1e-05	0.001242	0.001614	0.003494	0.000488	0.004229	0.003851	0.001539	0.000178	0.000161
CCL4L2	0.31914	0.321908	0.046408	0.050212	0.121338	0.480722	0.523397	0.763303	1.0	0.020207	0.06011	0.022308
CCL5	0.118406	0.105423	0.08577	0.079027	0.345859	1.0	0.021871	0.008915	0.009148	0.054823	0.328345	0.078541
CCNA1	0.000909	0.0	0.0	0.0	0.0	0.0	0.000859	0.001133	0.00565	0.208765	0.0	0.01133
CCR3	0.259012	0.264881	0.045353	0.12356	0.161056	0.193661	1.0	0.002964	0.012896	0.003879	0.0	0.306057
CCR4	0.132993	0.160508	0.242749	0.220786	0.130784	0.001413	0.015265	0.063656	0.010788	0.286755	0.157511	0.412183
CCR5	0.027061	0.156734	0.030294	0.093371	0.048834	0.007765	0.023492	0.049847	0.013519	0.129381	0.093942	0.001662
CCR8	0.110384	0.049422	0.242513	0.487557	0.219455	0.010987	1.0	0.389484	0.14232	0.046897	0.300002	0.05943
CD160	0.23378	0.23361	0.112789	0.123848	0.246055	1.0	0.117865	0.052382	0.043612	0.036309	0.158853	0.017277
CD19	0.639652	0.606385	0.12892	0.13939	0.16574	0.204754	0.594618	0.326905	0.302677	0.064849	0.108463	9.3e-05
CD1C	0.188685	0.16249	0.068932	0.080961	0.08112	0.098076	0.197504	0.234219	0.236399	0.027537	0.034676	0.039113
CD200	0.211624	0.143517	0.262829	0.088865	0.270877	0.196068	0.152693	0.176878	0.160195	0.049058	0.260683	0.133014
CD24	0.443929	0.440558	0.132393	0.114856	0.157096	0.167728	0.502467	0.232706	0.236983	0.089046	0.127939	0.585526
CD300E	0.031163	0.055321	0.002835	0.016082	0.019482	0.026243	0.037425	0.070003	0.062263	0.006179	0.001847	0.025711
