TissueNames	Epithelial Cell Airway	Canonical Epithelial Cell	Epithelial Cell Placental	placental.pericyte	pulmonary.artery.endothelial.cell	vein.endothelial.cell	Glomerular Endothelial Cell	articular.chondrocyte.of.knee.joint	Canonical Endothelial	hair.follicular.keratinocyte	Cardiac Fibroblast	mononuclear.cell	myometrial.cell	kidney.epithelial.cell	subcutaneous.preadipocyte	Osteoblast	epithelial.cell.of.umbilical.artery	bronchus.fibroblast.of.lung	Smooth Muscle	hair.follicle.dermal.papilla.cell	thoracic.aorta.endothelial.cell	epithelial.cell.of.proximal.tubule	Endometrial or Mammary Endothelial	Skeletal Muscle Myoblast	skeletal.muscle.satellite.cell	Melanocyte	mesenchymal.stem.cell.of.Whartons.jelly	fibroblast.of.villous.mesenchyme
AATK	0.010813	0.012658	0.00189	0.0	0.056985	0.072528	0.134656	0.000722	0.057166	0.019	0.005431	0.031285	0.0	0.006876	0.003581	0.0	0.099192	0.007793	0.010739	0.001434	0.043484	0.014697	0.062119	0.030625	0.004777	1.0	0.00341	0.001406
ABCA12	0.882567	1.0	0.401339	0.0	0.0	0.002369	0.018949	0.000974	0.002028	0.375778	0.004158	0.0	0.027375	0.395072	0.0	0.0	0.0	0.0	0.003473	0.002848	0.0	0.144788	0.004258	0.002818	0.006806	0.014617	0.010764	0.0
ABCA13	0.459393	0.464716	0.0	0.156322	0.0	0.0	0.137999	0.036481	0.002161	0.383377	0.0	0.031363	0.0	0.289369	0.0	1.0	0.0	0.0	0.383996	0.137174	0.007428	0.439749	0.110432	0.052245	0.037471	0.220865	0.0	0.0
ABCA4	0.005539	0.004437	0.002492	0.000578	0.017004	0.078989	0.021849	0.003303	1.0	0.05387	0.004162	0.0	0.0	0.0	0.0	0.002172	0.024718	0.0	0.002987	0.006056	0.008856	0.0	0.016062	0.016867	0.000734	0.0	0.000465	0.001978
ABCA6	0.001274	0.002065	0.004067	0.044372	0.49279	0.316809	0.035597	0.06813	0.131604	0.001068	0.722474	0.010754	0.139455	0.000911	1.0	0.235238	0.256466	0.011483	0.279372	0.202247	0.219498	0.000721	0.020481	0.038614	0.167249	0.020469	0.047453	0.035678
ABCA9	0.0	0.00244	0.000872	0.021491	0.114804	0.07962	0.009715	0.010416	0.026393	0.006753	1.0	0.002679	0.012743	0.001189	0.463343	0.211888	0.086402	0.0	0.33182	0.085547	0.080189	0.0	0.008837	0.004911	0.088562	0.022269	0.023639	0.019135
ABCB1	0.0	1.0	0.0	0.007975	0.050597	0.004282	0.020046	0.000537	0.040482	0.001354	0.000719	0.123271	0.002517	0.024251	0.000436	0.0	0.026223	0.0	0.038618	0.0014	0.058919	0.096775	0.52529	0.0	0.0	0.019561	0.0	0.004965
ABCC2	0.005435	0.00523	0.022947	0.002251	0.010891	0.006912	0.002841	0.003974	0.007238	0.005274	0.008885	0.020603	0.0	0.000415	0.172851	0.002623	0.005423	0.002251	0.004795	0.002928	0.008607	0.008399	0.012428	0.00363	0.05809	1.0	0.011094	0.001938
ABCC6P1	0.0	0.091902	0.0	0.0	0.041413	0.0	0.022027	0.046624	0.042499	0.0	0.0	0.004586	0.267795	0.023938	0.0	0.0	0.0	0.115414	0.10985	0.115067	0.006393	0.186011	0.0	0.079977	0.0	0.0	0.050238	0.042525
ABCC9	0.016217	0.053564	0.002869	0.016781	0.0	0.002024	0.047153	0.021239	0.001831	0.026683	0.137424	0.001691	0.269007	0.007071	0.483828	1.0	0.006328	0.041824	0.803476	0.351694	0.001153	0.009659	0.008365	0.067943	0.853712	0.004881	0.01632	0.438481
ABCG2	0.021696	0.019289	0.066551	0.82561	0.236879	1.0	0.268885	0.00818	0.622021	0.106267	0.022014	0.000808	0.032759	0.002368	0.010903	0.005452	0.131891	0.032245	0.051315	0.014727	0.218199	0.015578	0.262329	0.089147	0.022455	0.037467	0.322703	0.044066
ABI3	0.0	0.000483	0.0	0.016599	0.222186	0.370019	0.208703	0.000362	0.164074	0.0	0.012839	0.0691	0.0	0.003333	0.00199	0.00079	0.24347	0.039912	0.000713	0.011442	0.26664	0.010742	0.700855	0.0	0.016766	0.000283	0.0	0.0076
ABI3BP	0.00239	0.008714	0.039231	0.005395	0.017283	0.040156	0.004579	1.0	0.017198	0.005179	0.129044	4.7e-05	0.023703	0.000853	0.141039	0.23984	0.043279	0.016901	0.054631	0.061569	0.043277	0.002445	0.030283	0.21762	0.219088	0.000894	0.005566	0.007226
ACAN	0.0	0.0	0.0	0.0	0.0	0.000134	0.000744	1.0	0.001212	0.0	0.000222	0.0	0.0	0.00012	0.0	0.005708	0.0	0.000152	0.020753	0.004126	0.000388	0.0	0.000666	0.000556	7.9e-05	8.5e-05	0.0	0.000414
ACOT12	0.0	0.000423	0.0	0.059106	0.013844	0.0	0.0	0.0	0.004536	0.0	0.026775	0.018886	0.034683	0.0	0.0	0.006179	0.0	0.206581	0.065805	0.003264	0.0	0.0	0.0	0.009501	0.016088	0.053015	0.045525	0.0
ACPP	0.091797	0.046747	0.001426	0.204012	0.0	0.0	0.00196	0.0	0.0	0.008042	0.044583	0.394292	0.211246	0.015026	0.55997	0.0	0.0	0.107195	0.023262	0.0	0.000869	0.005449	0.0	0.000963	0.261309	0.00077	0.011564	0.102242
ACSBG1	0.0	0.000849	0.024906	0.0	0.0	0.0	0.0	0.001334	0.000118	0.0	0.004771	0.025553	0.053492	0.0	0.0	0.0	0.0	0.0	0.001422	0.0	0.008612	0.026221	0.047852	0.029435	0.009178	0.019711	0.0	0.0
ACSL5	0.001187	0.024356	0.009859	0.011804	0.167504	0.201993	0.212777	0.087167	0.535473	0.0	0.133087	0.15697	0.023143	0.005909	0.017577	0.052627	0.055483	0.009001	0.016701	0.058383	0.18108	0.030752	0.730118	0.002768	0.003005	0.006907	0.003329	0.049415
ACSL6	0.0	0.00297	0.007025	0.0	0.0	0.0	0.0	0.002104	0.026794	0.01453	0.001734	0.923367	0.0	0.011796	0.0	0.0	0.0	0.0	0.002261	0.002419	0.0	0.007994	0.002353	0.00169	0.0	0.013519	0.005964	0.003811
ACSM5	0.0	0.068816	0.0	0.001866	0.0	0.011219	0.012183	0.011355	0.101153	0.0	1.0	0.0	0.0	0.0	0.215597	0.490758	0.0	0.0	0.002107	0.003691	0.0	0.005242	0.011009	0.371096	0.0	0.010757	0.004508	0.0
ACTA2	0.004985	0.004733	0.011671	0.135592	0.004371	0.003557	0.021424	0.011108	0.005143	0.006455	0.172001	0.0	0.062131	0.008826	0.015535	0.262684	0.003031	0.017623	0.223165	0.10672	0.005247	0.005942	0.013062	0.333367	0.026379	0.007713	0.234964	1.0
ACTG2	0.02204	9.7e-05	0.002457	0.498575	0.0	0.001448	0.00307	8.3e-05	0.000732	0.001409	0.008156	0.000169	0.062198	0.00448	0.001625	0.001041	0.004109	0.138915	0.161536	0.031565	0.0	0.0	0.008142	0.01495	0.004283	0.008884	1.0	0.45286
ACTN2	0.0	0.002282	0.012626	0.0	0.027455	0.002402	0.0	0.0	0.00414	0.0	0.03435	0.0	0.0	0.00433	0.002006	0.0	0.003673	0.0	0.007029	0.002628	0.029869	0.00615	0.001512	1.0	0.034876	0.013125	0.002822	0.0
ACVR1C	0.018653	0.045535	0.0	0.008026	0.006143	0.0	0.019416	0.007174	0.002201	0.03771	0.012152	0.377463	0.0	0.010986	0.0	0.012196	0.011075	0.0	0.019999	0.513014	0.004125	0.024348	0.0	0.059368	0.012376	0.190973	0.006457	0.010313
ACVRL1	0.000233	0.00086	0.000284	0.009989	0.475236	0.481819	0.823702	0.007153	0.420671	0.000773	0.156636	0.000149	0.026178	0.00512	0.167961	0.008558	1.0	0.019503	0.040641	0.070414	0.308301	0.002765	0.370626	0.063617	0.024115	0.000988	0.002183	0.012396
ADAM12	0.000802	0.01565	0.006141	0.107848	0.000513	0.00182	0.022634	0.513152	0.003287	0.002806	0.077406	0.003391	0.055068	0.057314	0.490602	1.0	0.003334	0.010879	0.255728	0.354149	0.000628	0.009789	0.001331	0.025652	0.473942	0.043466	0.219533	0.204589
ADAM33	0.003207	0.00043	0.011382	0.063008	0.000163	0.0	0.0	0.008684	0.0003	0.0006	0.223444	0.0	0.104423	0.001091	0.503615	0.028234	0.003222	0.091734	0.210468	1.0	0.0	0.0	0.0	0.00072	0.068543	0.000994	0.06118	0.214335
ADAMTS12	0.016511	0.008152	0.034009	1.0	0.001456	0.002123	0.040185	0.026432	0.0158	0.006521	0.303215	0.0	0.111704	0.01623	0.192721	0.039404	0.003263	0.128408	0.224593	0.087685	0.000608	0.017072	0.007944	0.181845	0.087271	0.006858	0.435511	0.451683
ADAMTS16	0.0	0.023867	0.0	0.037023	0.0	0.0	0.106603	0.006227	0.0	0.0	0.0	0.0	0.059833	0.21324	0.318117	0.124878	0.0	0.112424	0.165049	0.0	0.0	0.02484	0.0	0.025991	0.034045	0.004027	0.124607	0.140141
ADAMTS18	0.011885	0.001452	0.0	0.001275	0.405165	1.0	0.444025	0.00025	0.485506	0.0	0.009276	0.0	0.0	0.015389	0.0	0.0	0.010936	0.0	0.030773	0.025664	0.124585	0.00774	0.279822	0.0	0.0	0.0	0.002789	0.0
ADAMTS19	0.011626	0.004259	0.0	0.75845	0.0	0.0	0.016739	0.0	0.000496	0.006077	0.038187	0.0	0.0	0.016395	0.020431	0.0	0.0	0.0	0.546849	0.0	0.0	0.026726	0.0	0.003554	0.0	0.0	1.0	0.370339
ADAMTS4	0.004227	0.001234	0.0	0.259971	0.666252	0.50986	0.355655	0.004071	0.409439	0.028024	0.117504	0.001846	0.265821	0.004873	0.047575	0.033922	0.334967	0.103234	0.138063	0.319425	1.0	0.0	0.431118	0.088197	0.191534	0.184146	0.156066	0.12606
ADAMTS5	0.0	0.035911	0.000589	0.045794	0.0	0.0	0.015606	1.0	0.003383	0.0	0.039591	0.0	0.022512	0.063238	0.096551	0.167374	0.0	0.003658	0.042314	0.216884	0.000101	0.013085	0.002768	0.243148	0.171931	0.000427	0.01979	0.082996
ADAMTS9	0.00083	0.191697	0.048265	0.050338	0.195949	0.380845	0.308166	0.017251	0.26261	0.00065	0.062651	0.0	0.005399	0.875547	0.011126	0.00997	0.203116	0.015586	0.036541	0.026684	1.0	0.222054	0.172041	0.036113	0.007862	0.020362	0.030646	0.00546
ADAMTSL2	0.0	2.6e-05	0.0	0.390496	0.0	0.001643	0.004316	0.002589	0.001411	0.0	1.0	0.001373	0.0	0.026425	0.0	0.002205	0.0	0.0	0.080105	0.0	0.0	0.0	0.0	0.045757	0.008943	0.0	0.004846	0.003078
ADAMTSL3	0.071323	0.234074	0.0	0.004807	0.001882	0.008948	0.049808	0.26094	1.0	0.007674	0.202672	0.0	0.0	0.035184	0.010917	0.014812	0.0	0.052834	0.021439	0.004228	0.0	0.043929	0.062361	0.018765	0.012452	0.0	0.006747	0.0
ADCY10	0.0	0.021443	0.0	0.022928	0.00511	0.053453	0.010912	0.017196	0.007459	0.291298	0.010313	0.0	0.0	0.0	0.035635	0.037569	0.0	0.0	0.020856	0.0	0.006215	0.024724	0.0	0.027072	0.0	0.008218	0.0	0.0
ADD2	0.0	0.014744	0.0	0.001947	0.184916	0.048562	0.027918	0.0	0.481984	0.0128	0.015476	0.09382	0.0	0.322616	0.002254	0.0	0.136825	0.02468	0.002494	0.003194	0.282795	1.0	0.389393	0.0	0.004967	0.049229	0.073603	0.0
ADH1B	0.0	0.000467	0.0	0.0	0.0	0.0	0.0	0.002311	0.000269	0.0	0.386031	0.0	0.001552	5.6e-05	0.43281	0.000307	0.000982	0.007321	1.0	0.028555	3.1e-05	0.0	0.0	0.000398	0.011926	0.000169	0.0	0.000261
