Gene	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
ABCB1	0.026294	0.006427	0.183906	1.0	0.809405	0.350085	0.057719	0.075303	0.0	0.402211	0.281706	0.11356	0.040981	0.027023	0.092535	0.048876	0.45988	0.098836	0.037298	0.108423
ABHD5	0.147257	0.144822	0.076804	0.066851	0.181057	0.04221	0.054711	1.0	0.085033	0.057401	0.029909	0.074978	0.306492	0.22667	0.035679	0.095431	0.012145	0.489263	0.0	0.077702
ACSM3	0.006011	0.037362	0.100867	0.051516	0.0	0.084995	1.0	0.111336	0.131584	0.001675	0.387748	0.027769	0.016072	0.014033	0.042463	0.004555	0.049137	0.082506	0.059333	0.072773
ADAM19	0.119316	0.02316	0.167767	0.03027	0.020244	0.065588	0.0	0.24139	0.633271	0.107547	0.022137	0.028541	0.054865	0.045126	0.240247	0.154123	0.36556	0.189514	0.174432	0.095418
ADAMTS5	0.753697	0.0	0.330678	0.407134	0.498606	0.193672	0.351174	0.085316	1.0	0.16234	0.02011	0.143636	0.127178	0.093545	0.342178	0.259619	0.435873	0.477168	0.394611	0.539309
ADI1	0.321457	0.537742	0.171157	0.099722	0.149932	0.095975	0.431479	0.106377	0.842837	0.278002	1.0	0.531889	0.062095	0.125652	0.30588	0.157286	0.192218	0.211743	0.543418	0.159608
AGPAT5	0.171069	0.03841	0.16615	0.081129	0.055282	0.172144	0.56255	0.179951	0.01363	0.383296	1.0	0.458426	0.116921	0.078716	0.215574	0.03102	0.314432	0.0	0.076942	0.054231
ALAS1	0.254398	0.145116	0.146803	0.145681	0.249867	0.166403	0.345022	0.170089	0.466151	1.0	0.43489	0.557067	0.325771	0.214821	0.216181	0.240737	0.155614	0.264884	0.211334	0.080496
ALPL	0.029164	0.016275	0.02894	0.025862	0.019524	0.025186	0.005428	0.008517	0.001004	0.0172	0.003904	0.034213	0.017552	0.016482	0.03705	0.016929	0.058642	0.454371	0.029206	0.060671
ANK3	0.066068	0.075821	0.501223	0.125249	0.082625	0.311868	0.096657	0.29754	0.019491	0.490105	0.086244	0.053956	0.01764	0.003785	0.36265	0.227408	0.001713	0.178239	0.034048	1.0
