Symbol	A	B	C	D	E	F	G	H	I	J	K	L
ABCB9	0.567631	0.654399	0.503739	0.489928	0.504191	0.359996	0.491352	0.312984	0.29947	0.548829	0.52884	0.362574
ACAP1	0.546663	0.537862	0.912699	0.934924	0.882681	0.579159	0.456053	0.292938	0.272303	1.0	0.956913	0.982339
ACHE	0.049716	0.045268	0.042062	0.068773	0.06551	0.030087	0.055363	0.018465	0.077921	0.080388	0.034738	0.028686
ACP5	0.013086	0.013867	0.009658	0.009159	0.004696	0.004571	0.021208	0.025984	0.029584	0.013924	0.001758	0.014976
ADAM28	0.090739	0.086032	0.024017	0.024243	0.019603	0.046626	0.078968	0.07332	0.082974	0.003889	0.007347	0.0
ADAMDEC1	0.005588	0.010996	0.000649	0.0	0.002501	0.004663	0.015732	0.021496	0.026289	0.00371	0.001208	0.000159
ADAMTS3	0.148346	0.069123	0.121113	0.0	0.085245	0.007185	0.078501	0.035934	0.094986	0.022765	0.008657	0.016946
ADRB2	0.219141	0.210619	0.110915	0.110039	0.422931	0.643226	0.132518	0.128708	0.130718	0.06993	0.443816	0.076581
AIF1	0.662222	0.690452	0.130835	0.163339	0.294473	0.36923	0.873829	0.93506	1.0	0.064303	0.140436	0.058866
AIM2	0.064165	0.067075	0.048067	0.042266	0.029544	0.026614	0.076148	0.058573	0.049945	0.046178	0.037259	0.062766
ALOX15	0.013841	0.042821	0.009401	0.032929	0.038309	0.038022	0.00864	0.019681	0.010439	0.023182	0.039932	0.021707
ALOX5	0.602103	0.595956	0.090395	0.099042	0.175901	0.232582	1.0	0.896503	0.896503	0.058378	0.024063	0.074946
AMPD1	0.001269	0.002554	0.002801	0.002502	0.002961	0.001966	0.0	0.001352	0.000665	0.002464	0.006703	0.002902
ANGPT4	0.013205	0.062385	0.01567	0.005749	0.025186	0.017754	0.0	0.015747	0.032285	0.00278	0.017313	0.035855
ANKRD55	0.04642	0.053712	0.152991	0.16412	0.000351	0.02448	0.076288	0.008279	0.003415	0.126004	0.0	0.106736
APOBEC3A	0.005138	0.026187	0.001855	0.003477	0.001121	0.010612	0.036147	0.035196	0.042206	0.0	0.017473	0.001093
APOBEC3G	0.169556	0.187422	0.143912	0.125776	0.282	0.374739	0.075166	0.095834	0.084936	0.089321	0.23867	0.163543
APOL3	0.182711	0.170744	0.218818	0.212567	0.229577	0.095713	0.130645	0.234199	0.246582	0.222567	0.230688	0.210723
