Gene	HD30PBMC0	HD30PBMC1	HD30PBMC3	HD30PBMC7	HD31PBMC0	HD31PBMC1	HD31PBMC3	HD31PBMC7
ABCA13	0.294854	0.249799	0.277213	0.302155	0.29793	0.285918	0.298201	0.321232
ABCB4	0.027979	0.023638	0.025958	0.030423	0.03182	0.028712	0.027543	0.026576
ACSS3	0.088455	0.132079	0.109116	0.086881	0.130135	0.11837	0.103486	0.057513
ADAM23	0.753138	0.681338	0.730837	0.664935	0.735312	0.870595	0.699268	0.805544
ADAMTS1	0.606896	0.636174	0.550003	0.567244	0.358518	0.282977	0.355139	0.412976
ADGRE4P	0.800209	0.668124	0.689659	0.829255	0.864962	0.963356	0.958284	1.0
ADGRG3	0.0243	0.025879	0.02956	0.028086	0.03779	0.021992	0.022399	0.020649
ADRA2B	0.0	0.024167	0.024249	0.024381	0.053227	0.053429	0.070826	0.025241
ADTRP	0.10493	0.086439	0.123671	0.120679	0.114084	0.119081	0.101637	0.103815
AIRE	0.777159	0.836205	0.904498	0.784035	1.0	0.864592	0.76323	0.834134
AK5	0.166937	0.14839	0.178635	0.192073	0.194385	0.213291	0.220418	0.210417
AKAP5	0.473776	0.402618	0.389467	0.361454	0.325751	0.335717	0.327684	0.361454
AKAP6	0.012795	0.013165	0.018956	0.021037	0.010344	0.01519	0.012479	0.008583
AKR1C3	0.235636	0.218598	0.195335	0.17354	0.070946	0.064492	0.075268	0.077564
AKR1E2	0.341172	0.360507	0.443923	0.472468	0.139612	0.164759	0.236168	0.233806
ALDH1A1	0.499416	0.635749	0.407197	0.377569	0.622913	0.653156	0.551343	0.561258
ALPL	0.003275	0.006436	0.003116	0.006888	0.041372	0.015564	0.007253	0.006582
ANKRD36BP2	0.420713	0.302467	0.401374	0.441821	0.498064	0.539096	0.474589	0.471883
ANKUB1	0.243287	0.234977	0.11186	0.241894	0.311554	0.24065	0.315074	0.240392
ANXA3	0.041236	0.036524	0.051971	0.04432	0.08152	0.07112	0.058015	0.058562
AOC4P	0.939324	0.761826	0.664238	0.632688	0.7448	0.929387	0.615902	0.652765
AQP3	0.366941	0.314247	0.462964	0.516949	0.319046	0.312297	0.394507	0.413106
ARG1	0.149219	0.134979	0.179896	0.168263	0.25797	0.261989	0.204015	0.21586
ASGR1	0.829428	1.0	0.727347	0.656915	0.741596	0.665231	0.832702	0.728914
B3GALT2	0.636537	0.828894	0.766129	0.44142	0.843326	0.775194	1.0	0.920015
B3GNT7	0.167937	0.174778	0.157823	0.145497	0.109625	0.096327	0.089086	0.109425
B4GALNT4	0.509882	0.615385	0.597037	0.639697	0.872417	0.793873	0.932186	1.0
BANK1	0.034719	0.033953	0.038588	0.049317	0.065186	0.063296	0.040775	0.044811
BCL7A	0.108317	0.114947	0.113815	0.127668	0.129101	0.140497	0.115765	0.127203
BCORP1	0.755751	0.638588	0.798107	1.0	0.069136	0.066476	0.058783	0.043326
BHLHE41	0.240321	0.25785	0.267952	0.366104	0.487153	0.481208	0.391032	0.470813
BICDL2	0.628805	0.592296	0.515328	0.532531	0.511458	0.532048	0.495318	0.494994
BIRC7	0.838498	0.839185	0.846163	0.846574	1.0	0.867198	0.837133	0.761566
BLK	0.082876	0.083137	0.085037	0.134713	0.143024	0.150438	0.097004	0.113771
BLNK	0.083264	0.087551	0.083462	0.107456	0.116498	0.122386	0.08662	0.085948
BMX	0.001013	0.043917	0.051404	0.027244	0.079821	0.094998	0.057555	0.07346
BNC2	0.40093	0.326407	0.226704	0.234561	0.235835	0.268425	0.292713	0.212427
BOK	0.533506	0.52168	0.451679	0.375297	0.298902	0.339176	0.350628	0.379521
BTNL9	0.753206	0.645383	0.734264	1.0	0.290395	0.322683	0.346187	0.353256
C12ORF74	0.266372	0.209474	0.798769	0.695354	0.678872	0.274447	0.614823	0.394299
C1ORF186	0.096036	0.096385	0.08683	0.126608	0.091761	0.097119	0.093807	0.094962
CA6	0.802412	0.73657	0.8092	0.912776	0.942122	0.870122	0.923564	1.0
CACHD1	0.717323	0.748482	0.987924	0.88696	0.81021	0.931388	1.0	0.931388
CACNA1E	0.001177	0.06485	0.026351	0.035505	0.107999	0.078128	0.045317	0.042925
CAMP	0.29508	0.220215	0.317844	0.286202	1.0	0.964049	0.493327	0.748792
CASC15	0.875225	0.893899	0.869129	1.0	0.778762	0.852301	0.784236	0.649475
CAV1	0.325926	0.35182	0.163926	0.731148	0.439281	0.471924	0.67236	0.780755
CBS	0.11258	0.115594	0.073264	0.071045	0.064577	0.085609	0.096324	0.058456
CCL20	0.005821	0.008708	0.0	0.007197	0.008936	0.006266	0.005096	0.010491
CCL22	1.0	0.918192	0.954698	0.840357	0.960773	0.985284	0.947677	0.862843
CCL3	0.001564	0.001828	0.001384	0.001798	0.002926	0.004085	0.001625	0.001886
CCL3L3	0.003174	0.003935	0.003133	1.9e-05	0.010252	0.010588	0.00817	0.011601
CCL5	0.724979	0.450524	0.581372	0.664784	0.91616	0.684019	0.767592	1.0
CCR3	0.17956	0.194459	0.197168	0.224691	0.240552	0.233172	0.208525	0.237381
CCR4	0.094091	0.091162	0.108893	0.100498	0.075681	0.079163	0.079615	0.089759
