Gene	HD30PBMC0	HD30PBMC1	HD30PBMC3	HD30PBMC7	HD31PBMC0	HD31PBMC1	HD31PBMC3	HD31PBMC7
A2M-AS1	0.109932	0.106625	0.125296	0.115699	0.114252	0.148211	0.124055	0.141704
AATBC	0.705696	1.0	0.573486	0.696544	0.661452	0.55588	0.710921	0.593899
ABCA13	0.295602	0.250125	0.277909	0.303083	0.299038	0.286591	0.299124	0.322383
ABCB4	0.028091	0.023686	0.026016	0.030549	0.031968	0.028843	0.02764	0.02665
ACER1	0.784973	0.966125	0.746308	1.0	0.738642	0.741503	0.814394	0.577684
ACSS3	0.088742	0.132545	0.109422	0.087165	0.130718	0.119024	0.103871	0.05759
ADAM23	0.755734	0.68404	0.733153	0.667432	0.738089	0.872473	0.70101	0.806962
ADAMTS1	0.608114	0.636685	0.55065	0.568418	0.35936	0.283858	0.355899	0.413503
ADGRG1	1.0	0.985757	0.763208	0.743982	0.180817	0.144386	0.212181	0.273983
ADGRG3	0.024341	0.025924	0.029595	0.028147	0.037799	0.021997	0.022407	0.020672
ADTRP	0.105051	0.086559	0.123751	0.120758	0.114207	0.119125	0.101776	0.103898
AGAP1	1.0	0.963482	0.92152	0.971341	0.792842	0.642855	0.72099	0.776886
AIRE	0.778703	0.837349	0.903847	0.785607	1.0	0.864137	0.764357	0.834351
AK5	0.167051	0.148498	0.17866	0.192236	0.194602	0.21342	0.22076	0.210497
AKAP6	0.012824	0.01321	0.019011	0.021141	0.010385	0.015239	0.012494	0.008633
AKR1C3	0.235712	0.218596	0.195486	0.173665	0.071004	0.064533	0.075384	0.077656
ALPL	0.003291	0.006464	0.003123	0.006907	0.041391	0.015619	0.007279	0.006599
ALS2CL	0.783505	0.715136	0.83043	0.97902	0.841502	0.859907	0.888929	1.0
ANKRD36BP2	0.421754	0.303221	0.402497	0.442697	0.498734	0.539878	0.475666	0.472761
ANKRD55	0.416781	0.397951	0.468847	0.505566	0.566846	0.676984	0.723007	0.659356
ANKUB1	0.244064	0.235805	0.112018	0.243006	0.312092	0.2419	0.31592	0.241268
ANXA3	0.041318	0.036643	0.052016	0.044411	0.08158	0.071213	0.058065	0.058593
APOE	0.000103	0.000127	0.000233	0.000267	0.000245	0.000236	0.000203	0.000316
AQP3	0.367114	0.314428	0.462916	0.516636	0.319184	0.312612	0.394457	0.413548
ARG1	0.149605	0.135212	0.180077	0.168575	0.258083	0.262272	0.204134	0.216167
ASGR1	0.828093	1.0	0.727014	0.656547	0.74095	0.665082	0.831133	0.728577
ASPHD1	0.088549	0.061415	0.092647	0.073542	0.062238	0.119466	0.076151	0.074286
B3GALT2	0.636073	0.829034	0.76763	0.441864	0.843788	0.774712	1.0	0.920548
B3GNT7	0.168038	0.174842	0.158026	0.145785	0.109827	0.096599	0.089208	0.109653
B4GALNT4	0.510542	0.614808	0.596241	0.638388	0.872375	0.792925	0.932415	1.0
BACE2	0.076947	0.085285	0.089956	0.116046	0.1241	0.134813	0.121083	0.109135
BANK1	0.034934	0.03417	0.038812	0.049505	0.065416	0.063489	0.04099	0.044997
BCORP1	0.756048	0.639295	0.797979	1.0	0.069471	0.066642	0.058983	0.043536
BICDL2	0.631654	0.594416	0.516626	0.534318	0.512728	0.533782	0.496577	0.496056
BLK	0.082926	0.083175	0.085094	0.13475	0.143142	0.150682	0.097096	0.113888
BLNK	0.083332	0.087596	0.083573	0.107563	0.116618	0.122561	0.086688	0.085979
BMX	0.001013	0.044138	0.051592	0.027385	0.080107	0.095391	0.057703	0.07357
BNC2	0.401031	0.327064	0.227216	0.235253	0.23649	0.26877	0.292915	0.212888
BOK	0.534737	0.522462	0.451924	0.376162	0.299927	0.340212	0.351546	0.38062
BTNL9	0.753952	0.646042	0.734319	1.0	0.291141	0.323112	0.346236	0.35342
C11ORF45	0.031135	0.016646	0.019246	0.01825	0.022381	0.020678	0.025594	0.021296
C1ORF186	0.096078	0.096402	0.086994	0.12675	0.091827	0.097139	0.093864	0.095078
C4BPB	0.87072	0.832168	0.837747	1.0	0.828284	0.970464	0.904584	0.941668
