Bleh	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
A2M-AS1	0.152849	0.018563	0.002018	0.35241	0.0	0.01116	0.001677	0.162898	1.0
AATBC	6e-06	0.585794	0.005318	0.00059	0.000858	0.000519	0.014388	0.0	0.001757
ABCA13	0.002107	0.025749	1.0	0.002646	0.0	0.0	0.001958	0.0	0.0
ABCB4	0.000181	0.002468	0.000138	0.002664	0.347188	1.0	0.023386	0.0	0.000496
ACER1	0.209595	0.001014	0.003542	0.0	0.0	0.0	0.0	0.111076	0.037219
ACSS3	0.000213	0.016828	1.0	0.001134	0.0	0.0	0.007384	0.0	0.0
ADAM23	0.096408	0.014242	0.007954	0.0	0.0	0.102372	0.0	1.0	0.063685
ADAMTS1	0.008163	4.6e-05	0.007848	1.0	0.0	0.0	0.0	0.0	0.055598
ADGRG1	0.002221	0.001136	0.005178	0.855928	0.000868	0.000819	0.0	0.001807	0.226713
ADGRG3	0.000151	0.001768	1.0	0.004794	0.0	0.0	0.0	0.0	0.000362
ADTRP	1.0	0.003609	0.004831	0.0	0.001162	0.001644	0.023506	0.134723	0.002041
AGAP1	0.06872	0.010716	0.024512	0.929547	0.0	0.0	0.035372	0.459508	0.982164
AIRE	0.00765	0.001046	0.008751	0.0	0.015146	0.015342	0.0	0.421533	0.01329
AK5	1.0	0.004345	0.001903	0.104262	0.001918	0.0	0.067612	0.097004	0.029659
AKAP6	0.036507	0.0	0.000114	0.000114	0.028917	1.0	0.018757	0.01019	0.005397
AKR1C3	0.016887	0.003245	0.012806	1.0	0.0	0.00074	0.008935	0.026175	0.011968
ALPL	0.0	0.000292	1.0	0.0	0.012264	0.000319	0.00169	0.000181	0.0
ALS2CL	0.821301	0.088644	0.006946	0.00037	0.001517	0.0	0.019887	0.761496	0.035392
ANKRD36BP2	1.0	0.000902	0.0034	0.004438	0.085741	0.017791	0.0	0.021972	0.012039
ANKRD55	1.0	0.012895	0.233338	0.0	0.007483	0.0	0.001294	0.244903	0.002703
ANKUB1	0.00026	0.005882	1.0	0.004846	0.0	0.025898	0.005513	0.0	0.0
ANXA3	0.000629	0.00253	1.0	0.0	0.001042	0.000677	0.00129	0.0	0.0
APOE	6.2e-05	3.3e-05	0.0	1e-05	4.7e-05	3.7e-05	1.0	1.8e-05	2.3e-05
AQP3	0.272436	0.001006	0.0	0.00463	0.00373	0.000312	0.000442	1.0	0.218054
ARG1	0.005404	0.001582	1.0	0.000909	0.002348	0.003499	0.000439	0.00067	0.0
ASGR1	0.003525	0.819007	0.002334	0.000643	0.0	0.0	0.01222	0.00234	0.0
