Gene	HD30PBMC0	HD30PBMC1	HD30PBMC3	HD30PBMC7	HD31PBMC0	HD31PBMC1	HD31PBMC3	HD31PBMC7
AADACP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AATK	0.063639	0.079324	0.040991	0.042525	0.117795	0.06303	0.092138	0.099268
ABCA12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA13	0.088643	0.05776	0.076304	0.096567	0.09211	0.080845	0.092864	0.113074
ABCA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA6	0.000345	0.000294	0.000544	0.0	0.000217	0.00098	0.000806	0.000246
ABCB1	0.076174	0.055719	0.072563	0.071758	0.059208	0.057931	0.054792	0.068396
ABCC2	0.008184	0.005702	0.00663	0.008512	0.006427	0.003712	0.006553	0.009586
ABCC9	0.886758	0.749606	0.864258	0.957297	1.0	0.96828	0.855389	0.755103
ABCG2	0.000122	0.001297	0.000313	0.0	0.001371	0.009006	0.001163	0.00141
ABI3	0.787166	1.0	0.645636	0.671044	0.468622	0.441395	0.487536	0.501479
ABI3BP	0.0	0.0	7.6e-05	0.0	4.3e-05	2.7e-05	0.0	0.0
ACAN	3.4e-05	1.8e-05	2.3e-05	1.1e-05	4.9e-05	4.1e-05	0.0	6.2e-05
ACKR2	0.01473	0.01848	0.022709	0.013336	0.023892	0.02297	0.020898	0.013238
ACKR4	0.000742	0.000897	0.000626	0.000142	0.000624	0.001269	0.000603	0.001115
ACOT12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACPP	0.575068	0.607728	0.480596	0.367505	0.610139	0.649377	0.648947	0.475831
ACSBG1	0.0	0.014991	0.020975	0.0	0.068405	0.0	0.0	0.0
ACSL5	0.703856	0.679242	0.698854	0.67861	0.646345	0.636038	0.609017	0.59999
ACSL6	0.152613	0.112481	0.172112	0.191562	0.177854	0.179809	0.156466	0.162615
ACSM5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTA2	1.2e-05	0.000316	0.000282	0.000243	0.000994	0.001412	0.001229	0.000941
ACTG2	0.0	0.0	0.0	0.0	0.000228	0.002875	0.000834	0.000228
ACTN2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR1C	0.014793	0.014509	0.035749	0.033389	0.055327	0.11745	0.081374	0.087405
ACVRL1	0.000214	0.000314	0.000226	0.000185	3.9e-05	0.0	0.00019	8.9e-05
ADAM12	0.00017	1.1e-05	0.000248	9.7e-05	0.000731	0.000613	0.000603	0.000358
ADAM33	0.005375	0.002283	0.006712	0.007907	0.006724	0.006088	0.00535	0.004694
ADAMTS12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTS16	0.014326	0.031489	0.018936	0.0	0.0	0.003759	0.024468	0.013153
ADAMTS18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTS19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTS4	0.022029	0.019109	0.020558	0.01946	0.017068	0.015781	0.016111	0.01957
ADAMTS5	0.000751	0.000515	0.000804	0.000338	0.000101	0.000148	0.000318	0.000338
ADAMTS9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTSL2	0.034235	0.036668	0.033024	0.027974	0.021995	0.018656	0.025	0.024709
ADAMTSL3	0.499785	0.403383	0.436857	0.48383	0.458523	0.532131	0.418862	0.415619
ADCY10	0.0	0.0	0.0	0.031294	0.0	0.015647	0.0	0.038644
ADD2	0.030533	0.047162	0.040149	0.051549	0.063626	0.046516	0.047019	0.055771
ADGRB3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADGRD1	0.20659	0.226456	0.163778	0.200621	0.084367	0.084955	0.185834	0.160044
ADGRF3	0.464689	0.366695	0.51588	0.489357	0.264522	0.424055	0.347263	0.318011
ADGRF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADGRF5	0.000158	1.3e-05	0.000168	0.000246	0.000294	0.00021	0.000297	0.000269
