TissueNames	Epithelial Cell Airway	Canonical Epithelial Cell	Epithelial Cell Placental	placental.pericyte	pulmonary.artery.endothelial.cell	vein.endothelial.cell	Glomerular Endothelial Cell	articular.chondrocyte.of.knee.joint	Canonical Endothelial	hair.follicular.keratinocyte	Cardiac Fibroblast	mononuclear.cell	myometrial.cell	kidney.epithelial.cell	subcutaneous.preadipocyte	Osteoblast	epithelial.cell.of.umbilical.artery	bronchus.fibroblast.of.lung	Smooth Muscle	hair.follicle.dermal.papilla.cell	thoracic.aorta.endothelial.cell	epithelial.cell.of.proximal.tubule	Endometrial or Mammary Endothelial	Skeletal Muscle Myoblast	skeletal.muscle.satellite.cell	Melanocyte	mesenchymal.stem.cell.of.Whartons.jelly	fibroblast.of.villous.mesenchyme
AADAC	0.065495	0.005542	0.0	0.020708	0.0	0.045943	0.234858	0.0	0.012573	0.0	0.688011	0.0	0.0	0.0	0.0	0.0	0.27158	0.0	0.893164	0.0	0.002123	0.020189	0.128986	0.019858	0.020283	0.0	0.068538	0.006981
AADACP1	0.074906	0.002288	0.0	0.028231	0.03033	1.028656	1.238302	0.0	0.293349	0.049127	0.23978	0.0	0.0	0.003821	0.0	0.0	3.547547	0.0	1.767146	0.004481	0.137193	0.011792	1.3375	0.0	0.043915	0.008608	0.010991	0.0
AATK	0.053703	0.062866	0.009387	0.0	0.283019	0.360212	0.668774	0.003585	0.283915	0.094363	0.026973	0.155377	0.0	0.034151	0.017783	0.0	0.492642	0.038703	0.053337	0.007123	0.215967	0.072995	0.308514	0.152099	0.023726	4.966533	0.016934	0.006981
ABCA12	1.388467	1.573213	0.631392	0.0	0.0	0.003726	0.029811	0.001533	0.00319	0.591179	0.006541	0.0	0.043066	0.621533	0.0	0.0	0.0	0.0	0.005464	0.004481	0.0	0.227783	0.006698	0.004434	0.010708	0.022995	0.016934	0.0
ABCA13	0.131274	0.132795	0.0	0.04467	0.0	0.0	0.039434	0.010425	0.000617	0.109552	0.0	0.008962	0.0	0.082689	0.0	0.285755	0.0	0.0	0.109729	0.039198	0.002123	0.12566	0.031557	0.014929	0.010708	0.063113	0.0	0.0
ABCA4	0.080849	0.064764	0.036368	0.008443	0.248208	1.152972	0.318915	0.048208	14.596612	0.786321	0.060755	0.0	0.0	0.0	0.0	0.031698	0.360802	0.0	0.043601	0.088396	0.129269	0.0	0.234458	0.246203	0.010708	0.0	0.006792	0.028868
ABCA6	0.014906	0.024169	0.047594	0.519269	5.766981	3.707524	0.41658	0.797311	1.540124	0.0125	8.454906	0.125849	1.632005	0.01066	11.702712	2.752925	3.001344	0.134387	3.269414	2.36684	2.568726	0.008443	0.239682	0.451887	1.957264	0.23954	0.55533	0.417524
ABCB1	0.0	11.14895	0.0	0.088915	0.564104	0.047736	0.223491	0.005991	0.451329	0.015094	0.008019	1.37434	0.028066	0.270377	0.004858	0.0	0.292358	0.0	0.430546	0.015613	0.656887	1.078939	5.856427	0.0	0.0	0.21809	0.0	0.055354
ABCC2	0.05	0.048113	0.211085	0.020708	0.100189	0.063585	0.026132	0.036557	0.066587	0.048514	0.08173	0.189528	0.0	0.003821	1.590047	0.024127	0.049882	0.020708	0.044112	0.026934	0.079175	0.077264	0.114328	0.033396	0.534363	9.198962	0.102052	0.01783
ABCC9	0.029858	0.09862	0.005283	0.030896	0.0	0.003726	0.086816	0.039104	0.00337	0.049127	0.253019	0.003113	0.495283	0.013019	0.890802	1.841156	0.011651	0.077005	1.479324	0.647524	0.002123	0.017783	0.015401	0.125094	1.571816	0.008986	0.030047	0.807311
ABCG2	0.083632	0.074351	0.256533	3.182453	0.91309	3.85467	1.036462	0.031533	2.397684	0.409623	0.084858	0.003113	0.126274	0.009127	0.042028	0.021014	0.508396	0.124292	0.197803	0.056769	0.841085	0.060047	1.011191	0.343632	0.086557	0.144422	1.243915	0.169858
ABI3	0.0	0.004788	0.0	0.164434	2.201038	3.665519	2.067476	0.003585	1.625369	0.0	0.127186	0.684528	0.0	0.033019	0.019717	0.00783	2.411887	0.395377	0.007068	0.113349	2.641415	0.106415	6.942889	0.0	0.166085	0.002807	0.0	0.075283
ABI3BP	0.157123	0.572866	2.578939	0.354646	1.136132	2.639788	0.300991	65.737736	1.130575	0.340425	8.48309	0.003113	1.558208	0.056085	9.27158	15.766557	2.845094	1.111038	3.591329	4.047382	2.844953	0.160755	1.990719	14.305849	14.402358	0.058797	0.36592	0.475024
ACAN	0.0	0.0	0.0	0.0	0.0	0.018255	0.101226	136.058962	0.164867	0.0	0.030204	0.0	0.0	0.016321	0.0	0.776651	0.0	0.020708	2.823597	0.561321	0.052807	0.0	0.09059	0.075637	0.010708	0.011533	0.0	0.056321
ACKR2	0.11033	0.364823	6.798373	0.004198	0.001745	0.0	0.024741	0.007547	1.548015	0.022075	0.143074	0.003113	0.0	0.443137	0.004858	0.0	0.0	0.046934	0.011824	0.0	0.002123	0.434434	0.061592	0.03434	0.049363	0.017807	0.010142	0.0
ACKR4	0.027547	0.020035	0.0	0.128962	0.621887	0.201604	0.061745	0.281627	0.06039	0.029528	0.082956	0.015283	0.104104	0.0	0.542146	0.019127	0.220967	0.0	4.833255	12.517972	0.192264	0.0	0.134458	0.029528	0.036038	0.126285	0.0	0.488137
ACOT12	0.0	0.000342	0.0	0.04783	0.011203	0.0	0.0	0.0	0.003671	0.0	0.021667	0.015283	0.028066	0.0	0.0	0.005	0.0	0.16717	0.053251	0.002642	0.0	0.0	0.0	0.007689	0.013019	0.042901	0.03684	0.0
ACPP	0.458491	0.233485	0.007123	1.018962	0.0	0.0	0.009788	0.0	0.0	0.040165	0.222673	1.96934	1.055094	0.075047	2.79684	0.0	0.0	0.535401	0.116183	0.0	0.00434	0.027217	0.0	0.004811	1.305142	0.003844	0.057759	0.51066
ACSBG1	0.0	0.000991	0.029057	0.0	0.0	0.0	0.0	0.001557	0.000137	0.0	0.005566	0.029811	0.062406	0.0	0.0	0.0	0.0	0.0	0.001659	0.0	0.010047	0.03059	0.055825	0.03434	0.010708	0.022995	0.0	0.0
ACSL5	0.028632	0.245012	0.109623	0.127783	1.581863	1.903962	2.00467	0.831604	5.018336	0.017547	1.260448	1.483491	0.233679	0.072736	0.181698	0.509033	0.535708	0.101604	0.173522	0.562783	1.708656	0.304741	6.83612	0.043396	0.045613	0.082052	0.048632	0.479033
ACSL6	0.0	0.008455	0.02	0.0	0.0	0.0	0.0	0.005991	0.076286	0.041368	0.004937	2.628962	0.0	0.033585	0.0	0.0	0.0	0.0	0.006439	0.006887	0.0	0.022759	0.006698	0.004811	0.0	0.038491	0.016981	0.010849
ACSM5	0.0	0.1548	0.0	0.004198	0.0	0.025236	0.027406	0.025542	0.227539	0.0	2.249458	0.0	0.0	0.0	0.484976	1.103939	0.0	0.0	0.004741	0.008302	0.0	0.011792	0.024764	0.834764	0.0	0.024198	0.010142	0.0
ACTA2	1.616274	1.540165	3.641108	41.168774	1.430425	1.183868	6.594552	3.470613	1.664254	2.061533	52.194796	0.106698	18.922146	2.779646	4.811156	79.656769	1.024528	5.443491	67.689045	32.42533	1.695825	1.906085	4.0623	101.062217	8.095142	2.442571	71.262264	302.942406
ACTG2	0.404976	0.001781	0.045142	9.161085	0.0	0.026604	0.056415	0.001533	0.013456	0.025896	0.149866	0.003113	1.142854	0.082311	0.029858	0.019127	0.075495	2.5525	2.968149	0.58	0.0	0.0	0.149599	0.274693	0.078703	0.163231	18.374528	8.321085
ACTN2	0.0	0.013844	0.076604	0.0	0.16658	0.014575	0.0	0.0	0.02512	0.0	0.208412	0.0	0.0	0.026274	0.01217	0.0	0.022288	0.0	0.042645	0.015943	0.181226	0.037311	0.009175	6.067358	0.211604	0.079634	0.017123	0.0
ACVR1C	0.019623	0.047901	0.0	0.008443	0.006462	0.0	0.020425	0.007547	0.002316	0.03967	0.012783	0.397075	0.0	0.011557	0.0	0.01283	0.011651	0.0	0.021038	0.53967	0.00434	0.025613	0.0	0.062453	0.013019	0.200896	0.006792	0.010849
ACVRL1	0.023915	0.08809	0.029057	1.023255	48.683066	49.357406	84.379811	0.732759	43.093353	0.079222	16.045708	0.015283	2.681627	0.524505	17.205849	0.876651	102.43967	1.997925	4.163227	7.213137	31.582241	0.283255	37.966769	6.516863	2.470283	0.101226	0.223585	1.269858
ADAM12	0.029764	0.580849	0.227925	4.002665	0.019033	0.067547	0.840024	19.045071	0.122011	0.104127	2.872822	0.125849	2.043797	2.127146	18.20816	37.113915	0.123726	0.40375	9.491053	13.143844	0.023302	0.363302	0.049387	0.952052	17.589835	1.613196	8.147736	7.59309
ADAM33	0.06684	0.008962	0.237241	1.313255	0.003396	0.0	0.0	0.180991	0.006244	0.0125	4.657146	0.0	2.176439	0.022736	10.496651	0.588467	0.067146	1.911981	4.386698	20.842594	0.0	0.0	0.0	0.015	1.428608	0.020719	1.275142	4.467288
ADAMTS12	0.252406	0.124623	0.519906	15.287382	0.022264	0.032453	0.614316	0.40408	0.241548	0.099693	4.635369	0.0	1.707665	0.248113	2.946203	0.602382	0.049882	1.963019	3.433432	1.340472	0.009292	0.260991	0.12145	2.779929	1.334151	0.104835	6.65783	6.905047
ADAMTS16	0.0	0.016633	0.0	0.025802	0.0	0.0	0.074292	0.00434	0.0	0.0	0.0	0.0	0.041698	0.148608	0.221698	0.087028	0.0	0.078349	0.115024	0.0	0.0	0.017311	0.0	0.018113	0.023726	0.002807	0.08684	0.097665
ADAMTS18	0.072972	0.008915	0.0	0.00783	2.487571	6.139646	2.726156	0.001533	2.980836	0.0	0.05695	0.0	0.0	0.094481	0.0	0.0	0.067146	0.0	0.188935	0.157571	0.764906	0.047524	1.718007	0.0	0.0	0.0	0.017123	0.0
ADAMTS19	0.023915	0.008762	0.0	1.560189	0.0	0.0	0.034434	0.0	0.001021	0.0125	0.078553	0.0	0.0	0.033726	0.042028	0.0	0.0	0.0	1.12491	0.0	0.0	0.054976	0.0	0.007311	0.0	0.0	2.057075	0.761816
ADAMTS4	0.020519	0.005991	0.0	1.261981	3.234198	2.475024	1.726462	0.019764	1.987547	0.136038	0.570401	0.008962	1.290377	0.023656	0.230943	0.16467	1.626038	0.501132	0.6702	1.55059	4.854316	0.0	2.092783	0.428137	0.929764	0.893903	0.757594	0.611934
ADAMTS5	0.0	0.755955	0.012406	0.964009	0.0	0.0	0.328514	21.051085	0.071209	0.0	0.833436	0.0	0.473892	1.331226	2.0325	3.523396	0.0	0.077005	0.890759	4.565637	0.002123	0.275448	0.058278	5.118538	3.61934	0.008986	0.416604	1.747146
ADAMTS9	0.019292	4.453384	1.121274	1.169434	4.55217	8.847571	7.159127	0.400755	6.10081	0.015094	1.455472	0.0	0.125425	20.340189	0.258467	0.231627	4.718679	0.362075	0.848895	0.619906	23.231415	5.158632	3.996757	0.838962	0.182642	0.473042	0.711958	0.12684
ADAMTSL2	0.0	5.9e-05	0.0	0.885613	0.0	0.003726	0.009788	0.005873	0.003199	0.0	2.267917	0.003113	0.0	0.059929	0.0	0.005	0.0	0.0	0.181671	0.0	0.0	0.0	0.0	0.103774	0.020283	0.0	0.010991	0.006981
ADAMTSL3	0.116179	0.381285	0.0	0.00783	0.003066	0.014575	0.081132	0.425047	1.628907	0.0125	0.330134	0.0	0.0	0.057311	0.017783	0.024127	0.0	0.086061	0.034921	0.006887	0.0	0.071557	0.10158	0.030566	0.020283	0.0	0.010991	0.0
ADCY10	0.0	0.007323	0.0	0.00783	0.001745	0.018255	0.003726	0.005873	0.002547	0.099481	0.003522	0.0	0.0	0.0	0.01217	0.01283	0.0	0.0	0.007123	0.0	0.002123	0.008443	0.0	0.009245	0.0	0.002807	0.0	0.0
ADD2	0.0	0.031787	0.0	0.004198	0.398656	0.104693	0.060189	0.0	1.039095	0.027594	0.033365	0.202264	0.0	0.695519	0.004858	0.0	0.294976	0.053208	0.005377	0.006887	0.60967	2.155873	0.839481	0.0	0.010708	0.106132	0.158679	0.0
ADGRB3	0.0	5.9e-05	0.024198	0.008443	0.0	0.0	0.0	0.00309	0.0	0.0	0.331698	0.003113	0.028066	0.060943	0.027736	0.0	0.0	0.073915	0.051215	0.09434	0.0	0.366274	0.030967	0.0	0.020283	0.052087	0.016981	0.006981
ADGRD1	0.0	5.9e-05	0.0	0.186863	0.0	0.0	0.0	0.101014	0.026685	0.0	1.202634	0.189528	0.0	0.005283	0.079528	0.024127	0.011651	0.070189	0.590031	0.011792	0.0	0.0	0.024328	0.328797	0.0	0.068561	0.105495	0.0
ADGRF3	0.0	0.000342	0.020896	0.0	0.001745	0.014575	0.042972	0.003585	0.010609	0.015094	0.0	0.015283	0.0	0.009717	0.112877	0.013184	0.0	0.0	0.004072	0.0	0.044717	0.036274	0.021969	0.012123	0.0	0.006792	0.0	0.0
ADGRF4	1.759387	2.052129	1.304245	0.016274	0.0	0.0	0.020708	0.0	0.0	0.390802	0.062146	0.0	0.043066	0.470943	0.0	0.0	0.0	0.0	0.022417	0.0	0.0	0.244906	0.0	0.0	0.023726	0.0	0.300637	0.01783
ADGRF5	0.0	0.014587	0.894057	0.036061	1.005684	14.93842	43.599623	0.0	13.2806	0.0	0.454072	0.0	0.0	0.024811	0.012925	0.0	0.564646	0.0	0.362716	0.0	0.560236	0.021085	12.476769	0.132335	0.010708	0.009575	0.0	0.283113
ADGRG6	2.966392	2.426256	11.495047	1.943349	1.169788	4.939363	6.201344	7.426203	1.805386	2.124976	0.675291	0.135377	2.025377	2.918231	0.032642	0.00783	16.035873	0.965024	0.432099	0.018679	1.829811	3.843656	11.459104	0.56125	0.072665	6.621557	2.764245	8.689009
ADGRL2	4.919835	5.260006	4.740991	1.423538	5.301392	14.893349	14.183208	0.403585	5.436252	0.752099	7.434371	0.0	0.836156	2.065566	16.846604	7.533892	5.383608	2.370425	8.095735	7.157288	3.658349	2.141038	4.040389	0.74309	24.233491	0.043278	2.789316	1.147429
ADGRL4	0.038585	0.409175	0.0	1.961509	12.579858	24.063797	15.279575	0.025708	16.94804	0.071745	2.398318	0.0	0.163774	1.849764	2.24691	1.731557	14.126557	1.121415	2.812335	0.233726	29.471179	1.129764	15.009776	1.067877	8.22625	0.030024	0.695189	0.250708
ADH1B	0.0	0.031922	0.0	0.0	0.0	0.0	0.0	0.157925	0.018375	0.0	26.385236	0.0	0.106085	0.003821	29.582594	0.021014	0.067146	0.500377	68.350098	1.951745	0.002123	0.0	0.0	0.02717	0.815118	0.011533	0.0	0.01783
ADIRF	5.727123	3.435731	0.119623	0.041132	2.40684	0.916085	2.530024	5.669976	3.088576	3.73934	1.1707	0.0	3.607571	0.019434	4.656061	1.274929	0.574481	2.503656	23.753439	1.466887	0.909693	0.10842	4.659953	10.902783	2.619387	0.0	2.835047	0.297193
ADRA1D	0.005566	5.9e-05	0.0175	0.201698	0.003066	0.0	0.058396	0.0	0.009228	0.022618	0.017736	0.0	0.757028	0.046226	0.004858	0.0	0.0	0.199363	0.07059	0.281415	0.002123	0.044104	0.433998	0.046226	0.0	0.0	0.016934	0.123726
ADRA2A	0.0	0.000531	0.1175	0.004198	0.036392	0.046887	0.103491	0.890684	0.004545	0.0	0.437673	0.008962	0.0	0.0	0.067358	0.024127	0.0	0.0	0.063632	0.220566	0.06434	0.008443	0.0	0.122241	0.0	0.0	0.006792	0.113868
ADRA2C	0.0	0.04839	0.016509	0.220094	0.017972	0.022264	0.050755	0.040425	0.01018	0.062972	0.2232	0.0	6.575425	0.127783	0.0	0.073679	0.046651	0.020708	0.048538	0.026934	0.002123	0.053679	0.018066	1.027547	0.033302	0.013443	0.027264	0.363726
ADRB1	0.05	0.268284	0.005283	0.0	0.023137	0.661085	0.041392	0.0	1.833821	0.154811	0.003522	0.202264	0.0	0.012948	0.0	0.0	0.0	0.020708	0.0	0.0	0.0	0.025755	0.296993	0.0	0.0	0.0	0.004198	0.0
AFP	0.052217	0.020183	0.095047	0.017972	0.0	0.007217	0.0	0.003585	0.000137	0.0	0.106447	0.0	0.097783	0.0	0.029858	0.0	0.0	0.323491	0.101211	0.007123	0.0	0.115047	0.0	0.030755	0.193538	0.003844	0.04717	0.006981
AGMO	0.149316	0.023101	0.0	0.00783	0.0	0.953349	0.003726	0.016887	0.214627	0.0	0.067469	0.0	0.0	0.003821	0.141274	0.03184	0.493821	0.0	0.057252	0.024245	0.0	0.0	0.173408	0.092783	0.702877	0.037311	0.004198	0.0
