Gene	HD30PBMC0	HD30PBMC1	HD30PBMC3	HD30PBMC7	HD31PBMC0	HD31PBMC1	HD31PBMC3	HD31PBMC7
ABLIM1	0.185196	0.154035	0.272194	0.258733	0.20574	0.236105	0.251411	0.239715
ACER3	0.014769	0.022859	0.012593	0.00935	0.015639	0.016066	0.016621	0.012342
ACSL1	0.042322	0.052909	0.036693	0.041863	0.093296	0.075005	0.073584	0.049598
ADAM28	0.044276	0.036889	0.040583	0.049926	0.042389	0.043618	0.030812	0.036889
ADM	0.006609	0.006118	0.004734	0.003724	0.012423	0.005527	0.005527	0.007138
AGAP1	0.045245	0.043764	0.042083	0.04406	0.037433	0.031726	0.034643	0.036736
AHI1	0.011021	0.009149	0.009756	0.010895	0.006085	0.006128	0.008296	0.00617
AIG1	0.074667	0.083333	0.0775	0.079501	0.111	0.089333	0.083167	0.083765
AIM2	0.025874	0.030624	0.025913	0.028405	0.043342	0.040723	0.026236	0.025897
AKR1C3	0.282463	0.254141	0.218808	0.187686	0.063091	0.056763	0.067444	0.069666
ALCAM	0.007842	0.009065	0.007326	0.010347	0.007518	0.007966	0.007014	0.005252
ALDH1A1	0.277489	0.375401	0.212853	0.19314	0.366325	0.387318	0.316872	0.323005
ALDH2	0.160374	0.178455	0.124655	0.113579	0.12429	0.120293	0.126829	0.148987
ALPL	0.007411	0.013211	0.007045	0.013952	0.057548	0.025618	0.014529	0.013431
ANAPC10	0.106503	0.111364	0.12569	0.116188	0.131391	0.141916	0.123373	0.143131
ANKRD9	0.031736	0.035892	0.028584	0.024019	0.037251	0.041705	0.031391	0.033828
ANXA3	0.022492	0.020835	0.026287	0.023527	0.037168	0.033273	0.028463	0.028692
APOBEC3A	0.172787	0.235933	0.174177	0.126932	0.405117	0.341034	0.211557	0.201516
AQP9	0.010028	0.016668	0.008628	0.007268	0.033384	0.017337	0.018369	0.014892
ARHGAP22	0.010522	0.017041	0.010138	0.011618	0.009275	0.010083	0.008509	0.008856
ASGR1	0.450366	0.575818	0.377036	0.33002	0.387396	0.335439	0.452787	0.378311
ATP8B2	0.573252	0.513247	0.696716	0.707841	0.537983	0.590557	0.617386	0.646759
AXL	0.012215	0.01319	0.013287	0.012559	0.011814	0.010116	0.011856	0.011699
B3GNT7	0.01347	0.014256	0.012407	0.011074	0.007175	0.005758	0.005039	0.007143
BACE2	0.006166	0.008222	0.009308	0.015461	0.017413	0.020082	0.016637	0.013729
