Gene	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
ABCA5	18.357393	10.105108	43.081697	63.346012	73.076468	48.077268	29.597695	25.896008	79.506033	39.50529	26.245044	25.200679	24.630897	24.961502	32.715378	25.803466	27.652544	26.229025	38.176285	39.971985
ABCB1	13.467953	10.767679	34.890575	145.813992	119.90832	57.477554	17.739191	20.129206	9.894063	64.56255	48.183484	25.32911	15.464132	13.566988	22.471434	16.537285	72.400943	23.327841	14.963645	24.630947
ABHD5	62.878568	62.184617	42.799906	39.96361	72.511256	32.940915	36.503646	305.903889	45.145228	37.270202	29.435261	42.279563	108.259229	85.51079	31.079591	48.108614	24.372796	160.347673	20.911453	43.056067
ACSM3	16.674591	20.602762	28.559812	22.376207	15.921404	26.571111	141.219472	29.871601	32.408563	16.1313	64.505493	19.400854	17.935193	17.679759	21.241892	16.49208	22.078196	26.259224	23.355754	25.03973
ADAM19	59.013501	25.443913	75.928879	27.926137	24.425808	40.256282	17.358176	101.632019	238.444664	54.904868	25.086707	27.322287	36.512586	33.11254	101.232847	71.165345	144.981964	83.520979	78.255723	50.67044
ADAMTS5	21.41203	7.780941	13.761461	15.14422	16.798546	11.283622	14.132145	9.323929	25.866576	10.716968	8.144641	10.378683	10.081041	9.472768	13.969449	12.476312	15.663982	16.41082	14.917738	17.534686
ADI1	175.233639	280.820902	101.859276	66.985409	91.497606	65.156425	228.944861	70.234628	429.764398	154.019524	506.489076	277.963617	48.616494	79.643998	167.628839	95.087371	112.140926	121.672799	283.591945	96.2212
AGPAT5	60.874784	34.47736	59.896004	42.977802	37.834632	61.088712	138.774291	62.642119	29.546383	103.105095	225.820959	118.05496	50.099996	42.497776	69.730675	33.006809	89.402142	26.834275	42.144666	37.625455
ALAS1	72.481163	49.816679	50.16654	49.933916	71.54163	54.231518	91.276152	54.995999	116.397675	227.115344	109.914422	135.253294	87.283585	64.273069	64.555141	69.648039	51.993896	74.656063	63.55002	36.414841
ALPL	20.888433	16.183821	20.806712	19.682995	17.369867	19.436412	12.224891	13.352205	10.610149	16.521383	11.668653	22.731139	16.650114	16.259466	23.76649	16.422647	31.64773	176.086115	20.903536	32.388276
ANK3	20.037642	20.572221	43.889888	23.281518	20.945178	33.510738	21.714311	32.725335	17.484595	43.28047	21.143514	19.373749	17.38314	16.623702	36.294236	28.881221	16.510135	26.186057	18.282531	71.229461
ANXA3	16.370895	10.758348	13.853159	20.118093	11.560226	12.253116	20.358849	44.42098	16.059386	10.935119	43.315327	23.259722	11.542702	8.375526	14.043116	24.779573	11.006687	221.181655	14.948483	21.947039
AOC2	18.728444	24.894589	21.765732	22.607971	22.785368	16.968518	23.614087	24.218308	22.553255	21.007011	10.887936	21.098569	20.521435	18.400852	18.547894	18.212057	24.422889	64.047855	23.516251	23.39956
APOBEC3A	201.281712	214.163792	37.0979	35.097324	48.439973	22.595628	16.08042	112.711083	121.953651	25.004092	30.126576	65.708487	263.131611	37.612708	13.564359	30.41563	15.739162	462.737999	16.359872	19.931906
APOBEC3G	73.857659	128.709939	77.585809	123.786255	162.794551	148.213874	49.662347	60.108886	31.542474	115.971051	90.610177	49.197742	114.312067	47.078507	112.678396	97.191192	143.000215	72.054576	60.373823	108.050586
APOE	15.884145	13.189759	21.426239	19.794743	32.429026	18.795805	28.712683	11.316233	20.799745	13.594209	46.364634	538.858299	770.980636	468.985784	21.086602	30.970875	20.22094	19.7299	21.627957	41.555091
ARID4A	57.564057	74.411078	73.935638	70.011649	357.439316	91.263607	43.117211	94.855299	202.355824	74.535052	87.161261	38.900076	62.114806	77.447609	70.077686	88.477007	88.781794	131.749877	33.691423	32.554447
ARNT2	13.194817	12.867907	13.884567	14.627766	12.634898	12.270679	18.562524	14.981438	8.278742	7.741324	15.993359	21.75715	16.374199	9.575317	10.102226	19.93476	9.173492	15.61899	19.144795	146.934312
ASGR1	140.600295	272.630042	36.832224	17.03982	25.38789	25.506307	25.414334	21.626749	12.488611	8.158054	28.063204	53.401871	81.902272	96.547202	13.579535	58.38034	15.045688	26.224349	14.237589	21.387726
