Gene	HD30PBMC0	HD30PBMC1	HD30PBMC3	HD30PBMC7	HD31PBMC0	HD31PBMC1	HD31PBMC3	HD31PBMC7
ABCB9	0.089267	0.085351	0.081198	0.091216	0.079178	0.081985	0.087152	0.090172
ACAP1	0.766656	0.747749	0.857711	1.0	0.839911	0.816903	0.994035	0.988879
ACHE	0.0	0.008407	0.000184	0.005749	0.000358	0.00694	0.000325	0.008879
ACP5	0.0	0.008318	0.002972	0.007607	0.011555	0.007609	0.005886	0.007888
ADAM28	0.068413	0.057297	0.062636	0.076167	0.065236	0.067664	0.048009	0.057404
ADAMDEC1	6.5e-05	0.000774	3e-05	0.0	0.000337	0.000587	0.000101	0.0
ADAMTS3	0.009963	0.010507	0.010493	0.001253	0.01469	0.001346	0.011517	0.0
ADRB2	0.024755	0.023916	0.016274	0.020733	0.015612	0.015694	0.0232	0.016184
AIF1	0.911259	0.896946	0.823395	0.739092	1.0	0.954565	0.932389	0.905867
AIM2	0.013932	0.017803	0.014001	0.016145	0.028437	0.025744	0.014235	0.01395
ALOX15	0.010936	0.011912	0.012119	0.012257	0.010696	0.011763	0.009737	0.01204
ALOX5	0.822734	1.0	0.751674	0.732028	0.946764	0.928253	0.895526	0.915834
AMPD1	0.0	6e-06	0.000272	0.002891	0.000129	1.5e-05	0.002828	0.000165
ANGPT4	0.114011	0.096605	0.089374	0.090877	0.0813	0.100049	0.084271	0.077072
ANKRD55	0.008339	0.006904	0.011656	0.014244	0.018208	0.026557	0.029711	0.024951
APOBEC3A	0.25403	0.382394	0.256091	0.166288	0.735892	0.586029	0.328864	0.308505
APOBEC3G	0.175253	0.206343	0.191343	0.159469	0.108367	0.083622	0.082926	0.101748
APOL3	0.18409	0.26723	0.208959	0.180895	0.255212	0.22989	0.168153	0.163696
APOL6	0.458069	0.665464	0.521562	0.457769	0.439021	0.36976	0.266906	0.238461
AQP9	0.015078	0.025233	0.01315	0.011051	0.058877	0.026344	0.028286	0.02235
ARHGAP22	0.014228	0.017217	0.014056	0.014704	0.013653	0.014045	0.013347	0.013477
ARRB1	0.964413	1.0	0.777339	0.688906	0.654424	0.627771	0.483885	0.549195
ASGR1	0.418468	0.557894	0.34555	0.300292	0.355049	0.305529	0.422076	0.346127
ASGR2	0.531073	1.0	0.359759	0.378726	0.394821	0.269108	0.310315	0.323888
ATP8B4	0.037228	0.029453	0.033808	0.030258	0.025023	0.025772	0.02504	0.021151
AZU1	0.055903	0.066869	0.081267	0.069867	0.070634	0.052967	0.068514	0.092155
BACH2	0.014981	0.013169	0.01888	0.022922	0.019164	0.023255	0.022167	0.020606
BANK1	0.01444	0.014132	0.016118	0.021424	0.030469	0.0295	0.017094	0.019178
BARX2	0.000643	0.000338	0.031379	0.000613	0.020514	0.028768	0.0	0.02878
