Gene	LAU125	LAU355	LAU1255	LAU1314
ABCA13	0.806339	0.187052	0.243364	0.400933
ABCB4	0.050875	0.409771	0.135836	0.503509
ACSS3	0.653566	0.075553	0.687769	0.328707
ADAM23	1.0	0.074574	0.034484	0.10158
ADAMTS1	1.0	0.052794	0.377887	0.078884
ADGRG3	0.020264	0.020761	0.011692	0.024155
ADTRP	0.030655	0.185842	0.056434	0.087196
AIRE	0.302441	0.520314	0.283911	1.0
AK5	0.07887	0.511133	0.130277	0.278191
AKAP6	1.0	0.058762	0.222017	0.067356
AKR1C3	0.015792	0.043908	0.017098	0.050649
ALDH1A1	1.0	0.012795	0.077133	0.006629
ALPL	0.183085	0.070777	0.023916	0.064143
ANAPC1P1	0.13417	0.818047	1.0	0.264303
ANKRD36BP2	0.211989	0.341206	0.267092	1.0
ANKUB1	0.005992	0.186706	0.165199	0.277726
ANXA3	0.197162	0.05164	0.798906	0.061186
AQP3	0.027484	0.244829	0.071172	0.196684
ARG1	0.110764	0.18519	0.064161	0.216204
ASGR1	0.070206	0.129185	0.124178	0.072005
B3GALT2	1.0	0.439211	0.414141	0.388227
B3GNT7	0.148512	0.18234	0.153866	0.177693
B4GALNT4	1.0	0.316441	0.2888	0.309882
BANK1	0.011777	1.0	0.044527	0.88394
BHLHE41	0.359954	0.228744	1.0	0.236408
BICDL2	0.283721	0.0045	0.020082	0.058209
BIRC7	1.0	0.019691	0.990764	0.040232
BLK	0.033231	0.697392	0.071704	0.845024
BLNK	0.029162	0.861483	0.094576	1.0
BMX	0.247919	0.131955	0.957756	0.614906
BNC2	1.0	0.075195	0.381792	0.041352
BOK	0.205081	0.112542	0.377214	0.128044
C12ORF74	0.211458	1.0	0.400424	0.856441
C4ORF50	0.006079	0.736661	1.0	0.866476
CA6	0.184868	1.0	0.807772	0.381488
CACHD1	0.959826	1.0	0.707748	0.68625
CACNA1E	0.0	0.116293	0.02027	0.106928
CAMP	0.076901	0.435267	0.164841	0.42672
CAV1	1.0	0.003091	0.076252	0.004011
CBS	0.902487	0.667389	0.824652	0.731547
CCL20	0.027345	0.045275	0.054989	0.031963
CCL22	0.23968	0.841022	0.305418	1.0
CCR3	0.00387	0.097288	0.101967	0.133644
CCR4	0.037803	0.130658	0.123975	0.172237
CCR5	0.14694	0.517085	1.0	0.929028
CCR8	0.189482	0.573765	1.0	0.924128
CD160	0.023298	0.071406	0.050168	0.058801
CD163	0.092716	1.0	0.867457	0.087801
CD1C	0.025799	1.0	0.0687	0.904538
CD200	1.0	0.169783	0.260343	0.302567
CD300E	0.040595	0.070555	0.057618	0.043382
CD34	0.278585	0.142908	1.0	0.36942
CD36	0.021535	0.094068	0.052726	0.031894
CD40LG	0.098451	1.0	0.215495	0.778526
CD70	0.137058	0.460924	0.318211	0.484413
CD8A	0.017534	0.207551	0.625102	0.268611
CD8B	0.012176	0.174793	0.23164	0.137725
CDH2	0.381882	0.277808	1.0	0.273689
CFAP58	0.184717	0.350148	0.161035	0.394056
CFH	0.88658	0.425779	0.453022	0.431626
CHL1	1.0	0.007358	0.048253	0.009538
CHN1	1.0	0.614186	0.778036	0.47681
CHRM3-AS2	0.015865	0.12245	0.042687	0.085002
CHSY3	1.0	0.073371	0.392217	0.058644
CLDN9	0.015083	0.197492	0.236919	0.022166
CLEC10A	0.160958	1.0	0.613213	0.68873
CLECL1	0.061179	0.42563	0.125384	0.348127
CLIC3	0.002444	0.032004	0.020909	0.034811
CMTM2	0.005184	0.005874	0.004507	0.007418
CNTNAP2	0.069965	0.382696	0.095305	0.478565
CNTNAP3	0.050951	0.01119	0.046371	0.042094
COBLL1	0.422553	0.612566	0.110166	0.609924
COL19A1	0.031954	0.144252	0.038709	0.133685
COL4A3	0.050598	0.248528	0.129619	0.240463
COL4A4	0.246302	1.0	0.499432	0.950898
COL5A3	0.936752	0.596199	0.781205	0.984113
COL6A2	0.281076	0.110528	0.091682	0.149891
CORO2B	1.0	0.029292	0.048174	0.045583
CPA5	0.046216	1.0	0.435313	0.972197
CPNE5	0.111427	0.651727	0.155103	1.0
CPNE7	0.558204	0.664812	0.614808	1.0
CPVL	0.027521	0.951293	0.265972	0.198612
CRTAM	0.074357	0.251783	1.0	0.371152
CSF3R	0.000713	0.001769	0.002018	0.001028
CTAG2	0.00555	0.0	1.0	0.009183
CTGF	1.0	0.021571	0.427602	0.076111
CTLA4	0.037188	0.3443	1.0	0.361077
CXCL10	0.034627	0.051508	1.0	0.03069
CXCL2	0.058159	0.071557	0.17889	0.027458
CXCR1	0.001436	0.002885	0.002045	0.003689
CXCR2	0.000554	0.00233	0.00144	0.00321
CXCR6	0.098185	0.302143	0.848884	0.547106
CYP1B1	0.048967	0.079591	0.076076	0.029088
CYP26B1	0.645882	0.202603	0.789439	0.267228
CYP4F22	0.0	0.864937	0.617446	1.0
CYP4F3	0.000733	0.000454	0.000177	0.0
DAB1	0.30783	0.928647	0.254279	1.0
DACT1	0.185439	0.315565	0.701683	0.320239
DBNDD1	0.435601	0.378939	1.0	0.406005
DCLK2	1.0	0.451984	0.383673	0.316356
DDO	1.0	0.321639	0.553698	0.285581
DKK3	1.0	0.029793	0.217617	0.093621
DLGAP1	1.0	0.42382	0.475203	0.585112
DNAJC5B	0.228793	1.0	0.465681	0.685247
DSC1	0.134	0.614968	0.217321	0.648129
DSP	0.136858	0.503898	0.108507	1.0
DUSP4	1.0	0.059758	0.636759	0.057257
EBI3	0.194957	0.78804	0.591392	1.0
ECSCR	1.0	0.186575	0.169012	0.169645
EDAR	0.078924	0.658283	0.206203	0.324053
EDARADD	0.13441	0.651851	0.726753	1.0
ELOVL4	0.580038	1.0	0.979036	0.721195
EML6	0.116669	0.265636	0.161304	0.35896
ENAH	1.0	0.039456	0.515601	0.066558
EPHB1	0.032583	0.024491	0.017103	0.026571
EPHX2	0.87446	0.395882	0.249228	0.318907
EREG	0.042635	0.099624	0.114734	0.055928
ESPN	1.0	0.091326	0.173812	0.198126
ESPNL	0.373788	1.0	0.281364	0.91075
FAM111B	0.149948	0.218038	0.148689	0.283679
FAM153A	0.03569	0.146478	0.063644	0.075101
FAM177B	0.2172	1.0	0.292048	0.653892
FAM198B	0.405924	0.121156	0.193067	0.082335
FAM69B	0.574042	0.40225	0.512104	0.275232
