Bleh	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
ABCA13	0.0	0.0	0.025749	0.002646	1.0	0.0	0.002107	0.0
ABCB4	1.0	0.347188	0.002468	0.002664	0.000138	0.0	0.000181	0.000496
ACSS3	0.0	0.0	0.016828	0.001134	1.0	0.0	0.000213	0.0
ADAM23	0.005002	0.0	0.000696	0.0	0.000389	0.048857	0.00471	0.003111
ADAMTS1	0.0	0.0	6e-06	0.121213	0.000951	0.0	0.00099	0.006739
ADGRG3	0.0	0.0	0.001768	0.004794	1.0	0.0	0.000151	0.000362
ADTRP	0.001644	0.001162	0.003609	0.0	0.004831	0.134723	1.0	0.002041
AIRE	0.020344	0.020085	0.001387	0.0	0.011604	0.558978	0.010144	0.017623
AK5	0.0	0.001918	0.004345	0.104262	0.001903	0.097004	1.0	0.029659
AKAP6	0.548094	0.015849	0.0	6.3e-05	6.3e-05	0.005585	0.020009	0.002958
AKR1C3	0.00074	0.0	0.003245	1.0	0.012806	0.026175	0.016887	0.011968
ALDH1A1	0.000351	0.0	0.04877	0.0	0.000867	0.0	0.000271	0.0
ALPL	0.000319	0.012264	0.000292	0.0	1.0	0.000181	0.0	0.0
ANAPC1P1	0.057204	0.04108	0.0	0.047756	0.01969	0.020924	0.099783	0.884655
ANKRD36BP2	0.014041	0.070531	0.0	0.00294	0.002077	0.017517	0.830595	0.009258
ANKUB1	0.025898	0.0	0.005882	0.004846	1.0	0.0	0.00026	0.0
ANXA3	0.000677	0.001042	0.00253	0.0	1.0	0.0	0.000629	0.0
AQP3	0.000312	0.00373	0.001006	0.00463	0.0	1.0	0.272436	0.218054
ARG1	0.003499	0.002348	0.001582	0.000909	1.0	0.00067	0.005404	0.0
ASGR1	0.0	0.0	1.0	0.000785	0.00285	0.002857	0.004305	0.0
B3GALT2	0.004152	0.0	0.000853	0.002104	0.032885	0.252356	0.007049	0.095489
B3GNT7	0.025336	0.079211	0.0	1.0	0.002519	0.000308	0.001449	0.017266
B4GALNT4	0.0	0.0	0.000296	0.015628	0.004201	0.074412	0.058428	0.324816
BANK1	0.48153	0.417391	0.00223	0.000488	0.0	4e-05	4e-06	3.8e-05
BHLHE41	0.005837	0.043718	5e-05	0.000117	0.001281	0.0	0.000433	0.0
BICDL2	0.009663	0.0	0.000387	0.0	1.0	0.005462	0.001392	0.00271
BIRC7	0.0	0.0	0.0	0.002447	0.000825	0.0	0.00259	0.01142
BLK	0.912967	1.0	0.000579	0.00101	0.0	0.001918	0.004394	0.005677
BLNK	0.362738	0.432539	0.002752	0.000605	0.000256	0.0	0.000414	0.0
BMX	0.0	0.0	0.004939	0.001132	1.0	0.0	0.015915	0.0
BNC2	0.0	0.001534	4.9e-05	0.441378	0.002045	0.001029	0.001096	0.006336
BOK	0.0	0.008034	0.000499	1.0	0.001116	0.0	0.002927	0.003593
C12ORF74	0.030331	0.218655	0.0	0.0	0.001623	0.0	0.000235	0.0
