Gene	LAU125	LAU355	LAU1255	LAU1314
ABLIM1	0.013365	0.397025	0.081602	0.350792
ACER3	0.097771	0.030034	0.149087	0.02379
ACSL1	0.031501	0.025556	0.046646	0.018925
ADAM28	0.025264	0.377407	0.079486	0.604807
ADM	0.249608	0.008532	0.357606	0.006994
AGAP1	0.117647	0.043657	0.077191	0.051764
AHI1	0.04809	0.039095	0.028951	0.036671
AIG1	0.831	0.414667	0.318333	0.451
AIM2	0.012105	0.317553	0.079839	0.32387
AKR1C3	0.01405	0.038045	0.015227	0.043905
ALCAM	0.086187	0.141152	0.083417	0.143612
ALDH1A1	1.0	0.025112	0.2103	0.0122
ALDH2	0.034361	0.022868	0.021496	0.026059
ALPL	0.325453	0.100165	0.035608	0.090284
ANAPC10	0.484428	0.53287	0.453437	0.536054
ANKRD9	0.040675	0.024128	0.059667	0.011293
ANXA3	0.089741	0.026172	0.469321	0.029708
APOBEC3A	0.009263	0.014648	0.031026	0.01122
AQP9	0.002056	0.003047	0.007922	0.0022
ARHGAP22	0.184224	0.551074	0.144036	0.325384
ASGR1	0.019714	0.039795	0.038166	0.020351
ATP8B2	0.131612	0.17111	0.114182	0.123415
AXL	0.023628	0.02856	0.049633	0.026633
B3GNT7	0.011373	0.015088	0.011935	0.014574
BACE2	1.0	0.097254	0.629529	0.135453
BANK1	0.00974	1.0	0.071858	0.946384
BATF3	0.0	0.014009	0.002259	0.007498
BCL11B	0.008266	0.045691	0.019617	0.030275
BLK	0.026466	0.868641	0.065237	1.0
BLNK	0.013152	0.50748	0.050855	0.557019
BNC2	0.774816	0.036664	0.221447	0.017276
BST1	0.157895	0.068634	0.192091	0.059033
BTBD11	0.002342	0.056024	0.031721	0.046537
BTBD3	0.868136	0.112717	0.274779	0.122839
BTLA	0.015385	0.349273	0.037935	0.391126
BTNL8	0.0	0.020871	0.020365	0.014412
C10ORF128	0.007909	0.27942	0.035677	0.247117
C12ORF57	0.112936	0.213496	0.20765	0.216679
C1ORF54	0.013729	0.015748	0.013787	6.6e-05
C5AR1	0.003008	0.008505	0.027615	0.003245
CACNA2D3	0.0073	0.037356	0.012445	0.031915
CADM1	1.0	0.031672	0.064672	0.036504
CAMK2N1	0.263963	0.126656	0.471038	0.153452
CAMK4	0.121432	1.0	0.286498	0.574171
CAPZA1	0.61165	0.701353	0.40288	1.0
CCDC50	0.208009	0.186453	0.228881	0.131718
CCDC88A	0.347731	0.124445	0.205463	0.167979
CCR2	0.006284	0.021448	0.018259	0.032
CCR3	0.0	0.015802	0.016366	0.020255
CCR6	0.053618	0.624523	0.113289	1.0
CCR7	5.5e-05	0.218744	0.035701	0.117982
CD14	0.003027	0.01139	0.030974	0.004365
CD160	0.023925	0.067752	0.04697	0.05527
CD163	0.019346	0.428074	0.370062	0.017814
CD1C	0.0	0.321063	0.015302	0.301798
CD1D	0.017148	0.080022	0.027415	0.079599
CD2	0.0	0.466717	0.31237	0.531532
CD200	1.0	0.136853	0.23761	0.284198
CD207	0.024561	0.08357	0.030961	0.081696
CD247	0.00857	0.342837	0.114589	0.284448
CD27	0.008967	0.666486	0.188655	0.743714
CD300LF	0.0	0.02884	0.021092	0.011884
CD33	0.0	0.04002	0.033821	0.014168
CD36	0.019767	0.135207	0.063132	0.032407
CD3D	0.00714	0.723065	0.372574	0.649341
CD3E	0.012003	1.0	0.521323	0.880105
CD3G	0.020356	0.399228	0.20146	0.436008
CD79A	0.009363	0.857944	0.108358	1.0
CD79B	0.025919	0.859866	0.030255	1.0
CD8A	0.003291	0.118081	0.319086	0.155671
CD8B	0.0	0.669471	0.911376	0.501902
CD96	0.045671	0.981084	0.813835	1.0
CDA	0.003108	0.007472	0.008925	0.001876
CDK14	0.635867	1.0	0.101946	0.926639
CEACAM8	0.116993	0.106837	0.093635	0.124955
CENPK	0.504058	0.604204	0.534812	0.452362
CEP78	0.033437	0.060974	0.036247	0.071393
CFP	0.0	0.049972	0.004113	0.017721
CHI3L1	0.006426	0.014714	0.080225	0.012672
CIITA	0.019706	0.983024	0.116164	1.0
CLC	0.0	0.003229	0.002085	0.005441
CLEC10A	0.004067	0.044894	0.022913	0.02683
CLEC2D	0.047469	1.0	0.391477	0.900077
CLEC4A	0.0	0.046418	0.011173	0.036126
CLEC4C	0.00346	0.025	0.011257	0.022014
CLIC2	0.073401	0.296217	0.134175	0.133998
CLIC3	0.002615	0.024511	0.016926	0.026443
CMTM2	0.006287	0.006864	0.005751	0.008096
CNTNAP3	0.127713	0.054264	0.119638	0.112209
CNTNAP3B	0.240801	0.158188	0.063572	0.173136
COBLL1	0.661417	1.0	0.118318	0.996645
COCH	0.051615	0.142147	0.058101	0.231576
COIL	0.131887	0.116612	0.089305	0.113699
COL24A1	0.288297	0.128346	0.112822	0.122838
CPNE5	0.067524	0.621996	0.099992	1.0
CPVL	0.002697	0.275496	0.094934	0.068502
CR2	0.010864	0.813117	0.046176	1.0
CREB5	0.039972	0.019137	0.046144	0.021063
CRISP3	0.224884	0.17587	0.177312	0.226325
CRISPLD2	0.010648	0.006419	0.009824	0.005424
CRTAM	0.058094	0.187375	1.0	0.300252
CSF3R	0.001945	0.007547	0.009018	0.00347
CST3	0.159146	0.282766	0.441156	0.089281
CST7	0.006955	0.134794	0.319727	0.275079
CSTA	0.0	0.005387	0.006039	0.004302
CTNND1	0.734554	0.071738	1.0	0.071784
CTSW	0.0	0.267303	0.218693	0.182688
CUX2	0.008586	0.045293	0.025318	0.040104
CXCL1	0.017726	0.012586	0.264724	0.0
CXCL10	0.028276	0.045782	1.0	0.024537
CXCL11	0.07313	0.101403	1.0	0.063214
CXCL9	0.010209	0.124258	1.0	0.023849
CXCR2	0.000581	0.002045	0.001371	0.002729
