Gene	LAU125	LAU355	LAU1255	LAU1314
ABCB1	0.102709	0.264118	0.184274	0.30969
ABHD5	0.13547	0.067842	0.167825	0.07557
ACSM3	0.0768	0.144938	0.10976	0.125206
ADAM19	0.046722	0.572527	0.115324	0.591092
ADAMTS5	0.834004	0.362014	0.553504	0.500855
ADI1	0.164684	0.217232	0.330654	0.176446
AGPAT5	0.763833	0.284918	0.19046	0.339426
ALAS1	0.229293	0.147759	0.422319	0.213226
ALPL	0.488645	0.200742	0.088356	0.185706
ANK3	0.144944	0.518235	0.269946	0.488498
ANXA3	0.212788	0.08001	0.728293	0.088356
AOC2	0.209475	0.278696	0.258659	0.263974
APOBEC3A	0.033969	0.047684	0.087406	0.038985
APOBEC3G	0.137475	1.0	0.618729	0.887847
APOE	1.0	0.12897	0.873714	0.032455
ARID4A	0.134727	0.222278	0.164554	0.188158
ASGR1	0.048226	0.059965	0.059119	0.048583
ASGR2	0.066911	0.123475	0.132854	0.100654
ASRGL1	0.114889	0.095267	0.094692	0.129179
ATP2A1	0.206792	0.222403	0.210368	0.197621
ATP2B1	0.320174	0.316913	0.129728	0.32464
BEX1	0.007449	0.023315	0.015295	0.022599
BMX	0.200603	0.158945	0.477887	0.334118
C1QA	0.032161	0.633056	1.0	0.078945
C1QB	0.031354	0.643627	0.96026	0.068497
CA4	0.019409	0.025197	0.053826	0.022204
CACNA2D3	0.117356	0.270181	0.143007	0.241549
CALB2	0.037872	0.010676	0.009971	0.011578
CALML4	0.33171	0.463655	0.296453	0.429067
CAMK4	0.173035	0.902127	0.350096	0.616891
CASP1	0.405196	0.384894	1.0	0.365367
CCR2	0.062155	0.149293	0.130321	0.204692
CCR3	0.002513	0.014173	0.014523	0.016901
CD14	0.017613	0.036662	0.068931	0.020948
CD160	0.039616	0.09556	0.069472	0.080529
CD163	0.080593	0.630505	0.57877	0.077213
CD19	0.022138	0.519354	0.052703	0.551625
CD1D	0.063218	0.183009	0.084217	0.182461
CD1E	0.132937	0.375145	0.208885	0.439037
CD207	0.196497	0.401746	0.218069	0.396291
CD209	0.015347	0.036107	0.029873	0.020119
CD38	0.0	0.064534	0.103592	0.101924
CD3D	0.016256	0.423945	0.225049	0.374534
CD3E	0.033624	1.0	0.534114	0.870981
CD3G	0.025238	0.26789	0.159152	0.287347
CD4	0.075127	1.0	0.422613	0.639615
CD40LG	0.145706	1.0	0.251159	0.789483
CD79A	0.020163	0.922558	0.160235	1.0
CD8A	0.00789	0.102442	0.234318	0.125491
CDC14B	0.664998	0.422556	0.391873	0.479859
CDC42EP4	0.166973	0.06036	0.10768	0.072241
CDK2AP2	0.0	0.450708	0.186766	0.496314
CDKN1C	0.151912	0.053721	0.091698	0.003435
CDR2L	0.296722	0.134591	0.246408	0.0
CEACAM1	0.290393	0.149299	0.794145	0.164422
CEACAM3	0.0	0.090452	0.044334	0.084284
CECR1	0.020225	0.263074	0.151583	0.155941
CES1	0.063369	0.137794	0.131688	0.113689
CETN1	0.114422	0.245225	0.158536	0.187571
CFB	0.039002	0.036994	0.131288	0.035693
CHMP7	0.277205	1.0	0.112348	0.876024
CHST7	0.031547	0.051224	0.043578	0.050771
CIB2	0.206661	0.226831	0.188592	0.213131
CIITA	0.044695	0.985501	0.191172	1.0
CLCC1	0.996165	0.633567	1.0	0.773674
CLCF1	0.0	0.131488	0.022155	0.204979
CLEC4E	0.041976	0.071624	0.075019	0.051574
CLIC2	0.123049	0.342429	0.189797	0.189527
CNNM1	0.149721	0.089328	0.184517	0.069161
CNOT1	0.297492	0.641709	0.244797	0.815422
COL4A3	0.383383	0.973981	0.600735	0.944592
CP	0.22379	0.19123	0.242135	0.169652
CRISPLD2	0.075282	0.055485	0.071021	0.051104
CRLF2	0.149215	0.21316	0.199442	0.19449
CSTA	0.025427	0.052938	0.056685	0.048157
CTLA4	0.052075	0.420005	1.0	0.439593
CXCL10	0.030444	0.043761	0.464046	0.027224
CXCL9	0.037449	0.188549	1.0	0.061178
CYCS	0.608968	0.405321	0.592528	0.36989
CYP2B6	0.149176	0.118051	0.131696	0.165681
CYP4F3	0.010243	0.008651	0.006058	0.000605
CYSLTR1	0.382741	1.0	0.353928	0.883104
DEFB1	0.388694	0.377359	0.451248	0.161889
DENND3	0.0534	0.462066	0.139208	0.578977
DPYD	0.091287	0.320002	0.242498	0.270485
DUSP4	1.0	0.089505	0.717504	0.086376
DYSF	0.038208	0.039828	0.038895	0.021735
EDN1	0.012093	0.026518	0.020574	0.025251
EIF1	0.36905	0.434706	0.445717	0.382217
ELSPBP1	0.14075	0.120346	0.150704	0.126208
EMILIN2	0.027066	0.052896	0.054978	0.026516
ESPL1	0.102611	0.092857	0.08323	0.139787
EVL	0.000199	0.480258	0.181897	0.384754
FARS2	0.462732	0.776284	0.664424	0.688072
FBLN1	0.365283	0.1623	1.0	0.152757
FCHO1	0.0	0.377341	0.077441	0.467594
FCN1	0.006455	0.023769	0.024105	0.008479
FGFR3	0.133217	0.080562	0.123657	0.100073
FGR	0.008464	0.102087	0.051133	0.077604
FKBP11	0.106824	0.038559	0.094461	0.048993
FLT4	0.576374	0.960959	0.677268	0.914508
FMO5	1.0	0.805315	0.551453	0.76714
FST	0.151989	0.044373	0.303925	0.109892
FSTL1	1.0	0.01696	0.162385	0.021365
FUT3	0.047673	0.036787	0.045126	0.027905
