Gene	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
ABCA5	27.652544	32.715378	18.357393	10.105108	73.076468	63.346012	26.229025	43.081697	48.077268	25.200679	24.630897	24.961502	29.597695	25.896008	79.506033	39.50529	26.245044	25.803466	38.176285	39.971985
ABCB1	72.400943	22.471434	13.467953	10.767679	119.90832	145.813992	23.327841	34.890575	57.477554	25.32911	15.464132	13.566988	17.739191	20.129206	9.894063	64.56255	48.183484	16.537285	14.963645	24.630947
ABHD5	24.372796	31.079591	62.878568	62.184617	72.511256	39.96361	160.347673	42.799906	32.940915	42.279563	108.259229	85.51079	36.503646	305.90389	45.145228	37.270202	29.435261	48.108614	20.911453	43.056067
ACSM3	22.078196	21.241892	16.674591	20.602762	15.921404	22.376207	26.259224	28.559812	26.571111	19.400854	17.935193	17.679759	141.219473	29.871601	32.408563	16.1313	64.505493	16.49208	23.355754	25.03973
ADAM19	144.981964	101.232847	59.013501	25.443913	24.425808	27.926137	83.520979	75.928879	40.256282	27.322287	36.512586	33.11254	17.358176	101.632019	238.444664	54.904868	25.086707	71.165345	78.255723	50.67044
ADAMTS5	15.663982	13.969449	21.41203	7.780941	16.798546	15.14422	16.410819	13.761461	11.283622	10.378683	10.081041	9.472768	14.132145	9.323929	25.866576	10.716968	8.144641	12.476312	14.917738	17.534686
ADI1	112.140926	167.628839	175.233639	280.820902	91.497606	66.985409	121.6728	101.859276	65.156425	277.963617	48.616494	79.643998	228.944861	70.234628	429.764398	154.019524	506.489076	95.087371	283.591945	96.2212
AGPAT5	89.402142	69.730675	60.874784	34.47736	37.834632	42.977802	26.834275	59.896004	61.088712	118.05496	50.099996	42.497776	138.774291	62.642119	29.546383	103.105095	225.820959	33.006809	42.144666	37.625455
ALAS1	51.993896	64.555141	72.481163	49.816679	71.54163	49.933916	74.656063	50.16654	54.231518	135.253294	87.283585	64.273069	91.276152	54.995999	116.397675	227.115344	109.914422	69.648039	63.55002	36.414841
ALPL	31.64773	23.76649	20.888433	16.183821	17.369867	19.682995	176.086115	20.806712	19.436412	22.731139	16.650114	16.259466	12.224891	13.352205	10.610149	16.521383	11.668653	16.422647	20.903536	32.388276
ANK3	16.510135	36.294236	20.037642	20.572221	20.945178	23.281518	26.186057	43.889888	33.510738	19.373749	17.38314	16.623702	21.714311	32.725335	17.484595	43.28047	21.143514	28.881221	18.282531	71.229461
ANXA3	11.006687	14.043116	16.370895	10.758348	11.560226	20.118093	221.181655	13.853159	12.253116	23.259722	11.542702	8.375526	20.358849	44.42098	16.059386	10.935119	43.315327	24.779573	14.948483	21.947039
AOC2	24.422889	18.547894	18.728444	24.894589	22.785368	22.607971	64.047855	21.765732	16.968518	21.098569	20.521435	18.400852	23.614087	24.218308	22.553255	21.007011	10.887936	18.212057	23.516251	23.39956
APOBEC3A	15.739162	13.564359	201.281712	214.163793	48.439973	35.097324	462.737999	37.0979	22.595628	65.708487	263.131611	37.612708	16.08042	112.711083	121.953651	25.004092	30.126576	30.41563	16.359872	19.931906
APOBEC3G	143.000215	112.678396	73.857659	128.709939	162.794551	123.786255	72.054576	77.585809	148.213874	49.197742	114.312067	47.078507	49.662347	60.108886	31.542474	115.971051	90.610177	97.191192	60.373823	108.050586
APOE	20.22094	21.086602	15.884145	13.189759	32.429026	19.794743	19.7299	21.426239	18.795805	538.858299	770.980636	468.985784	28.712683	11.316233	20.799745	13.594209	46.364634	30.970875	21.627957	41.555091
ARID4A	88.781794	70.077686	57.564057	74.411078	357.439316	70.011649	131.749877	73.935638	91.263607	38.900076	62.114806	77.447609	43.117211	94.855299	202.355824	74.535052	87.161261	88.477007	33.691423	32.554447
ASGR1	15.045688	13.579535	140.600295	272.630042	25.38789	17.03982	26.224349	36.832224	25.506307	53.401871	81.902272	96.547202	25.414334	21.626749	12.488611	8.158054	28.063204	58.38034	14.237589	21.387726
ASGR2	15.229247	14.185641	142.25931	51.104341	25.793229	19.560407	26.82692	31.086518	21.336228	16.999527	30.691987	66.222538	25.975198	16.72404	12.893578	12.389689	31.629568	60.045543	18.651424	13.906146
ASRGL1	26.044055	29.116377	74.411848	68.928055	30.267593	24.382692	55.159844	25.029637	25.868801	145.314363	31.970687	45.722372	68.674952	98.71851	114.873755	28.706376	105.59808	27.164827	67.122424	25.840743
ATP2A1	17.039793	20.058652	14.159643	11.773832	12.278413	19.769636	18.436155	17.036712	17.740006	17.188248	14.153152	13.166605	19.514867	12.2373	11.38194	15.60252	10.26772	15.50115	21.676975	65.427033
ATP2B1	71.140593	123.289259	88.356462	109.453156	302.793434	52.512033	194.134189	68.629203	76.495653	25.326154	40.32152	63.084047	50.90737	63.11492	97.140807	81.751397	81.959032	101.994221	29.319128	23.981886
BEX1	24.407666	20.039824	22.882346	20.722256	17.054413	25.425604	57.479842	30.148889	28.771967	24.378334	18.210612	16.860058	79.551389	45.841571	31.554277	25.776316	426.883748	22.412296	31.49768	18.350546
BMX	17.938389	12.968528	16.511541	16.44281	10.70607	16.44275	76.416615	13.590641	12.191803	21.59575	14.978727	13.811169	14.969839	31.589067	17.971716	9.55078	15.946248	16.640389	19.755565	28.430477
C1QA	15.213718	14.768833	37.025317	191.812813	20.815828	16.797357	18.491922	20.015365	15.083354	217.748076	183.454527	174.396667	28.944671	26.418303	13.943833	13.095449	66.136872	49.538256	39.762163	42.509328
C1QB	16.173906	14.142485	32.671373	132.231801	19.979445	18.783939	22.053111	22.534824	14.091555	205.124781	760.979895	415.591757	23.700596	9.389307	20.561566	18.313906	68.514611	50.605069	34.815491	22.477422
CA4	15.646496	19.019709	20.27253	24.569423	23.154585	20.406474	155.653683	21.257089	21.464622	35.907715	23.785935	24.440038	12.656114	33.026137	30.353548	16.821874	14.844328	21.98809	15.133387	33.579161
CACNA2D3	11.423714	10.836007	93.221814	40.964032	20.091957	19.841107	15.532819	22.518841	13.164363	27.82382	14.996063	16.45717	11.710015	8.649551	15.245701	15.916757	20.804703	46.407508	8.62016	20.495342
CALB2	15.721697	15.964724	21.309289	18.128875	18.005529	26.810909	35.262557	18.591293	19.874902	15.271307	19.918485	17.77292	501.989056	20.073812	10.474318	26.832723	16.146406	28.150913	30.558164	22.527328
CALML4	20.003468	25.996012	69.769884	98.795953	31.635083	32.305428	35.785375	41.217551	27.804843	34.419479	52.953172	61.126032	20.562176	42.861155	13.282003	25.320313	27.943086	41.916118	41.02233	25.345669
CAMK4	20.424547	22.831132	13.618714	14.236686	20.321903	22.497244	27.895837	96.272896	102.391638	20.055544	10.568397	9.461182	12.404983	12.896523	14.632959	57.99162	8.447203	14.928068	18.234476	11.726074
CASP1	105.06892	120.613341	447.354739	368.522872	197.498286	130.713996	261.430316	95.665688	137.932268	31.967738	227.559695	128.462902	38.812145	153.044664	155.709702	180.319532	115.818952	197.824783	76.883692	14.666447
CCR2	19.004742	51.97032	164.884485	30.265271	14.507383	26.658494	37.592348	37.097477	33.323381	20.935893	19.011265	26.252999	18.724855	55.950177	39.942942	62.540419	23.786194	33.233829	151.157249	26.657726
