Gene symbol	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils
ABCB4	555.713449	10.744235	6.202496	13.682839	4.556713	14.906888	4.60586	7.406442	8.043976	4.31128	7.95136	27.55771	121.432277	4.727985	34.113659	7.225819	6.469993	7.833082	9.312295	114.636747	4.872184	15.03053
ABCB9	15.603544	22.094787	20.309426	21.863723	16.396143	33.679147	35.671507	30.048192	38.455423	24.223723	56.251887	29.380878	40.39026	53.466757	23.615746	653.392328	17.604795	46.073657	19.715722	123.993306	23.384603	29.786442
ACAP1	215.305951	321.621021	190.879024	512.636909	387.581742	596.025961	1790.09717	922.152747	340.883425	1055.613378	48.972217	30.974254	23.05515	104.200198	73.607932	38.616872	1107.798265	1995.482601	280.075719	61.38655	26.412923	696.442802
ACHE	15.117949	16.648847	16.375268	16.653738	13.441268	22.766494	27.187732	18.444927	13.441268	13.428288	13.692963	1373.06962	48.585761	13.948778	20.501249	22.123737	14.805542	24.652712	33.658448	16.715474	193.159977	40.414927
ACP5	605.897384	1935.201479	512.931382	340.820137	239.277068	307.142798	744.6566	557.81982	248.546932	306.312519	13644.1723	1062.475909	7633.960182	263.49793	323.381277	1120.104684	711.949744	958.916018	493.96912	13825.05363	3989.865169	860.563374
ADAM28	1943.742699	1148.120138	58.311203	193.609392	94.405818	128.686066	40.061713	21.233311	15.20962	22.689718	54.966487	274.639997	360.682044	137.853628	116.879504	324.7808	24.281406	74.766335	24.370752	37.291726	53.219649	546.006157
ADAMDEC1	371.033593	318.478799	106.301336	68.277586	48.399246	185.505923	80.9645	47.433514	30.552976	44.616287	4464.262133	8524.022801	5004.969419	730.192171	1569.761722	127.967448	68.737893	156.707655	231.827254	164.841249	1784.613941	175.169911
ADAMTS3	146.195568	106.052311	54.797071	31.435269	50.819674	124.357143	79.241795	57.385906	53.413024	42.390416	45.560491	32.340167	33.351428	650.182587	406.233488	74.33917	35.411076	76.280618	65.267988	48.69797	44.226935	100.736021
ADRB2	486.343816	510.08134	664.88395	1957.53925	2360.471299	735.663486	77.153955	595.210549	142.831911	899.648502	143.017878	787.623974	363.185006	4628.681578	2887.874236	289.79845	97.174226	217.06277	2378.452129	175.633473	82.911661	1969.028818
AIF1	24.074298	20.321859	8655.680002	105.734553	23.170426	6260.640469	718.614787	35.172248	39.50876	742.815819	1841.269508	1611.228571	11610.29035	1851.124125	1672.630327	21.969573	19.077684	29.367035	1086.959659	3285.640815	26.923859	51.176463
