	ascites_7873_1	ascites_7873_2	ascites_7882_1	ascites_7882_2	ascites_7892_1	ascites_7892_2
Adipocytes	0	0	0	0	0	1e-04
Astrocytes	0	0	0.0014	0	0.0051	0.0042
B-cells	0.0068	0.0076	0	0	0	3e-04
Basophils	0.0141	0.0243	0	0.0036	0.0089	0.0079
CD4+ T-cells	0	0	0	0	0.0017	0.0014
CD4+ Tcm	0	0	0	0	0.0096	0.0035
CD4+ Tem	0	0.0182	0	0.0033	0.0068	0.0142
CD4+ memory T-cells	9e-04	0	0	4e-04	0	3e-04
CD4+ naive T-cells	0	0	0	0	0	0
CD8+ T-cells	0.0055	0.0051	0	6e-04	0.0045	0.0041
CD8+ Tcm	0.0011	0.0019	0	0.0035	0	0.0026
CD8+ Tem	0	0	0	0	0	0
CD8+ naive T-cells	0	0	0	0	7e-04	4e-04
CLP	0	0	0	0	0	0
CMP	0.0045	0.005	7e-04	0.0017	0	0
Chondrocytes	0	0	0	0	0	0
Class-switched memory B-cells	0.0043	0.0034	0	0	2e-04	0
DC	8e-04	3e-04	0	0	0	0
Endothelial cells	0	0	0	0	0	0
Eosinophils	0	0	0	0	0	0
Epithelial cells	0	0	0.0276	0.035	0.0331	0.0311
Erythrocytes	0	0	0	0	0	0
Fibroblasts	0	0	0.0022	0	0	0.0014
GMP	0.036	0.0286	0	0	0	0.0028
HSC	0.0107	0.0072	0.0049	0	0	0
Hepatocytes	0	0	0	0	2e-04	0
Keratinocytes	0	0	0.0013	0.0019	0.0013	0.0018
MEP	0.006	0.0075	0.0104	0.0151	0	0.0054
MPP	0	0	0	0	0	0
MSC	0.0084	0.0348	0.0083	0.0176	0	0.0034
Macrophages	0.0091	0.0116	0.0038	0.0025	0	3e-04
Macrophages M1	7e-04	0.0021	0.0022	0.0019	0	4e-04
Macrophages M2	0.0109	0.0131	0.0031	0.0019	0	3e-04
Mast cells	0.0067	0.0047	0.001	0	5e-04	0
Megakaryocytes	0	0	0	0	0	0
Melanocytes	4e-04	4e-04	0	1e-04	0	0
Memory B-cells	0.0023	0.0034	0	6e-04	0	4e-04
Mesangial cells	0	0	0.0088	0.008	0.0137	0.0092
Monocytes	0.0043	0.0084	0	0	0	0
Myocytes	0	0	0	2e-04	0	4e-04
NK cells	0	0	0	0	0	0
NKT	0.0033	0.0134	5e-04	0	8e-04	0.0011
Neurons	0	0	0	0	0	0
Neutrophils	0	1e-04	0	0	0	4e-04
Osteoblast	0	0	0.0305	0.0367	0.0048	0.0129
Pericytes	0	0	0.0086	0.0152	0.0094	0
Plasma cells	0	4e-04	3e-04	1e-04	0	2e-04
Platelets	0.0016	0	0	0	0	0
Preadipocytes	0	0	0	0	0	0
Sebocytes	0	0	2e-04	0	0	0
Skeletal muscle	0	0	0	0	0	0
Smooth muscle	0.0614	0.0149	0.0246	0.0313	0	0.0192
Tgd cells	0	0	0	0	0	0
Th1 cells	0	0	0.0071	0.0076	0.0029	0.005
Th2 cells	0	0	0	0.0025	0	0.0032
Tregs	0.0044	0	0	0	0	0
aDC	4e-04	0.002	0	0	0	0
cDC	0.0444	0.0488	0	8e-04	0	0.0044
iDC	0.02	0.0248	0	0	0	0.0012
ly Endothelial cells	0	0	0	0	0	0
mv Endothelial cells	0	0	0.0024	0.002	0	0
naive B-cells	0	0	0	0	1e-04	3e-04
pDC	0.0039	0.0049	0	0	0	5e-04
pro B-cells	0	0	0	4e-04	0	0
ImmuneScore	0.0221	0.0252	0.0032	0.0021	0.0045	0.0043
StromaScore	0	0	0.0011	0	0	8e-04
MicroenvironmentScore	0.0221	0.0252	0.0043	0.0021	0.0045	0.0051
