Adipocytes	Astrocytes	B-cells	Basophils	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	CLP	CMP	Chondrocytes	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	HSC	Hepatocytes	Keratinocytes	MEP	MPP	MSC	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	Mesangial cells	Monocytes	Myocytes	NK cells	NKT	Neurons	Neutrophils	Osteoblast	Pericytes	Plasma cells	Platelets	Preadipocytes	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	aDC	cDC	iDC	ly Endothelial cells	mv Endothelial cells	naive B-cells	pDC	pro B-cells	ImmuneScore	StromaScore	MicroenvironmentScore
A	0.0097	0	0.2512	0.2015	0.2038	0.196	0	0.2608	0.1114	0.1615	0.093	0.244	0.0134	0.0484	0.0091	0.0039	0.0452	0.0599	0	0.1044	0	0	0	0.1272	0	0	0.0393	0	0.183	0.0635	0.0318	0.0231	0	0.0045	0	0.0307	0.168	0.0175	0.469	0.0106	0.2386	0.0046	0.0111	0.206	0.0118	0	0.0564	0	0.0075	0.0048	0	0	0.0644	0.0189	0.0523	0.0231	0.0671	0.0897	0.0356	0.0225	0	0.1324	0.0456	0.0385	1.1538	0.0048	1.1586
B	0	0	0.267	0.2155	0.1993	0.1938	0.0068	0.2757	0.1124	0.1766	0.0927	0.2365	0	0.0254	0.0134	0.0727	0.0428	0.074	0	0.0182	0.03	0	0	0.1002	0	0	0.0358	0	0.1825	0	0.0376	0.0178	0	9e-04	0	0.0067	0.1893	0.0318	0.4793	0.0165	0.2289	0.0287	0.0084	0.2159	0	0.0082	0.0446	0	0	0.0032	0	0	0.0707	0.0036	0.0815	0.0253	0.0506	0.1081	0.0644	0	0	0.148	0.0435	0.0289	1.1318	0	1.1318
C	0	0	0.0903	0.0794	0.4417	0.4478	0.1021	0.5193	0.2677	0.2153	0.1511	0.2583	0.0364	0.0726	0	0.0624	0	0	0.0107	0	0.0312	0.0593	0.0446	0.0437	0.0524	0.0145	0.0298	0.058	0	0	0	0.0091	0.001	0.0033	0	0	0.0753	0.0031	0.1385	0.0366	0.1654	0	0.0324	0.049	0.1505	0.0045	0.0684	0.0021	0.0214	0.0021	0.006	0.0464	0.0635	0.1188	0.0734	0.0773	0.0232	0.0049	0	0.017	0.0087	0.0298	0	0.0172	0.7357	0.0276	0.7633
D	0	0	0.1002	0.0441	0.4528	0.4256	0.1164	0.5204	0.2658	0.2146	0.146	0.2602	0.0417	0.0601	0	0.0243	0.0106	0.0083	0.0173	0.0133	0	0.04	0.0462	0.0617	0.0044	0	0.0121	0.0212	0	0.2225	0	0	0	0.0079	0	0	0.0669	0	0.1387	0.0164	0.1439	0	0.0192	0.0483	0.1556	0.0016	0.0854	0	0.0165	0.0017	0.0064	0.0738	0.0655	0.1366	0.0712	0.0868	0.0434	0.0207	0	0	0	0.0273	0.0351	0.0297	0.752	0.0318	0.7837
E	0	0.0087	0.1049	0.1232	0.286	0.2396	0.0472	0.3336	0.1633	0.3105	0.196	0.3571	0.0195	0.047	0	0.0206	0	0.0055	0	0	0.0277	0.1332	0.0285	0.0086	0	0	0.0489	0	0.0077	0.035	0.0079	0.0095	0	0	0	0	0.0633	0.0186	0.2742	0.0291	0.268	0	0.0128	0.0982	0.1414	0	0.1034	0	0.0176	0.0034	0.0131	0.0573	0.0897	0.1188	0.09	0	0.0019	0	0.0084	0.0157	0	0.0071	0.0195	0.0089	0.9035	0.0142	0.9177
F	0	0	0.0801	0.2892	0	0	0	0	0	0.08	0.0042	0.3602	0	0.0182	0	0.0231	0	0.009	0.0212	0	0.0029	0.0787	0.098	0.0288	0	0	0.039	0	0.0551	0	0.0386	0.0309	0.0033	0	0	0.0014	0.0641	0.0577	0.366	0.0355	0.4943	0	0	0.0977	0.1261	0.0191	0.0699	0.0067	0.0419	0.0034	0	0.0464	0.096	0	0.0251	0	0.0365	0.0034	0.0051	0.034	0	0	0	0	0.7771	0.0596	0.8367
G	0	0	0.185	0.0233	0.0392	0.043	0	0.0551	0.0299	0.0127	0	0.0667	0	0.014	0.0722	0	0.0247	0.0555	0	0.5722	0.0303	0	0	0.0997	0	0	0.0287	0	0.2566	0	0.0457	0.0359	0	0	0	0.0324	0.1314	0.0252	0.4796	0	0.027	0.2489	0	0.397	0	0.0138	0.0344	0	0	0.009	0	0	0.0265	0	0.0021	0.0156	0.0287	0.0765	0.0312	0.0152	0	0.0999	0.0299	0.0093	1.2093	0	1.2093
H	0.0121	0	0.1482	0.2088	0	0	0	0	0	0	0	0	0	0.0584	0.0258	0.0311	0	0.1145	0.0364	0.09	0.0492	0	0.027	0.1799	0.0147	0	0.0599	0	0.2076	0.2262	0.1386	0.0741	0	0	0.0027	0.0537	0.1342	0	0.6523	0	0	0.1159	0	0.16	0	0.0095	0.0393	0	0.0081	0.0091	0	0	0	0	0	0	0.0749	0.167	0.057	0.068	0.0329	0.063	0.0818	0.0115	0.8691	0.0378	0.9068
I	0	0	0.1265	0.2819	0	0	0	0	0	0	0	0	0	0.039	0.0282	0.0201	0	0.1318	0.0432	0.0958	0.0443	0	0.0085	0.1566	1e-04	0	0.0562	0	0.203	0.1479	0.1307	0.0737	0.035	0	0	0.0451	0.1225	0.0121	0.6488	0	0	0.0914	0	0.1491	0.0201	0.0314	0.0419	0	0.0029	0.0057	0.0089	0	0	0	0	0	0.0958	0.173	0.0614	0.0564	0.058	0.052	0.0572	0	0.8551	0.0258	0.881
J	0.0523	0	0.082	0	0.5054	0.479	0.152	0.5733	0.3014	0.0657	0.1052	0.1758	0.0227	0.1006	0.0076	0	0.0036	0.005	0.0076	0	0.027	0.0339	0.1023	0.0641	0.0254	0.0072	0	0.064	0	0.0883	0	0.0043	0	0	0	0	0.0607	0.0105	0	0.0378	0.0524	0.0622	0.0306	0	0.1774	0.0251	0.0874	0	0	0	0.0284	0.0577	0.046	0.1513	0.0856	0.1213	0.027	0.0175	0	0.0455	0.0059	0.0284	0	0.0119	0.4737	0.0811	0.5548
